,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,8,6,0.1,0.1,1.2,"21,883","7,233.40",3.5 ( 1 ),0.2 ( 1 ),0
2. Bighorn,68,67,1.7,1.6,11.7,"762,351","8,864.60",8.7 ( 8 ),9.4 ( 7 ),0.9
3. Cheyenne,6,5,0,0,0.4,"15,584","15,359.30",4.0 ( 2 ),0.6 ( 2 ),0
4. Gallatin,81,75,5.5,5.1,35.4,"503,866","1,848.40",15.1 ( 4 ),14.9 ( 4 ),4.7
5. Glendo,39,8,3.2,0.7,8.1,"24,816",714.1,4.8 ( 4 ),5.3 ( 2 ),0.1
6. Jefferson,95,74,6.1,4.6,33.3,"2,168,008","8,812.20",12.3 ( 14 ),11.0 ( 12 ),2.7
7. Lower Bighorn,38,38,0.5,0.4,5.1,"78,152","3,259.10",NA,NA,0.2
8. Lower No Platte,20,1,0.9,0,0.2,999,824,NA,NA,0
9. Lower Shoshone,33,33,0.2,0.2,3.5,"18,043","1,474.60",NA,NA,0
10. Madison Headwaters in WY,91,77,7.4,6.3,47.4,"859,303","2,557.60",13.9 ( 7 ),13.1 ( 7 ),7.2
11. Powder,24,28,0.3,0.2,2.3,"172,907","13,397.20",5.2 ( 5 ),3.8 ( 5 ),0.1
12. Smith-Judith-Musselshell,70,83,2.5,2.7,44.2,"1,181,723","8,339.80",11.3 ( 9 ),10.8 ( 9 ),0.4
13. Snake,101,83,12.4,10.6,70.9,"3,236,689","5,741.50",17.3 ( 10 ),16.4 ( 11 ),10.1
14. Sun-Teton-Marias,120,134,2.5,2.6,28.1,"1,486,016","10,541.30",8.6 ( 5 ),6.5 ( 5 ),1.4
15. Sweetwater,34,21,2.1,1.2,12.4,"78,032","1,201.20",8.9 ( 2 ),7.2 ( 2 ),0.6
16. Tongue,44,45,0.6,0.5,5.1,"154,481","5,405.20",5.4 ( 5 ),4.8 ( 5 ),0.4
17. Upper Clark Fork,116,116,6.4,6.4,52,"2,044,613","6,006.90",14.9 ( 11 ),13.9 ( 11 ),5.3
18. Upper Green,60,49,4.5,3.5,25.4,"1,778,993","9,583.60",11.0 ( 21 ),9.6 ( 21 ),3.1
19. Upper Missouri,60,60,2.1,1.9,17.7,"303,468","2,956.30",6.4 ( 2 ),5.4 ( 2 ),0.5
20. Upper No Platte,51,28,3.1,1.8,19.4,"717,408","7,590.10",14.2 ( 16 ),12.5 ( 16 ),1.9
21. Upper Shoshone,115,113,8.6,8.9,51.9,"717,450","1,505.30",12.4 ( 4 ),10.4 ( 4 ),7.6
22. Upper Snake Basins,69,37,5.8,3,22.5,"1,129,706","6,974.50",10.5 ( 10 ),10.1 ( 11 ),3
23. Upper Yellowstone,97,96,5.6,5.8,37.9,"3,475,492","11,233.00",14.0 ( 20 ),13.6 ( 19 ),5.7
24. Wind,80,78,2.8,2.7,18.1,"1,110,980","7,750.00",10.9 ( 8 ),9.5 ( 8 ),2.2
25. Wood and Lost Basins,67,51,5,3.5,27.5,"1,402,362","7,420.10",10.5 ( 16 ),8.9 ( 16 ),2.2
