,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,51,30,4.3,2.3,22.8,"789,478","6,323.40",11.5 ( 18 ),8.9 ( 18 ),2.3
2. Beaver,30,15,0.8,0.3,4.6,"14,130",835.5,6.2 ( 2 ),5.3 ( 2 ),0.5
3. Blue,64,50,6.5,5.4,51.2,"198,411",683.9,8.7 ( 5 ),7.9 ( 5 ),4.2
4. Canadian,3,0,0.1,0,0.1,629,"1,265.80",1.0 ( 2 ),0.1 ( 2 ),0
5. Colorado Headwaters§,58,43,5.2,3.7,45.1,"568,414","2,906.10",9.9 ( 11 ),8.3 ( 12 ),3.3
6. Colorado Headwaters-Plateau,42,24,3.3,1.9,25.2,"179,346","1,813.00",6.6 ( 1 ),5.6 ( 1 ),1.6
7. Eagle,54,38,4.9,3.6,35.5,"175,559",918,7.2 ( 3 ),5.3 ( 3 ),3.9
8. Gila,7,3,0,0,0.1,"1,093","4,926.30",0.1 ( 6 ),0.0 ( 6 ),0
9. Gunnison§,45,27,3.7,2.1,28.4,"729,151","6,459.70",7.5 ( 11 ),5.4 ( 11 ),2.3
10. Little Colorado,1,1,0,0,0,"1,288","16,398.00",2.7 ( 5 ),2.0 ( 5 ),0
11. Lower Colorado Mainstream,7,3,0.1,0,0.3,"10,190","10,697.40",4.5 ( 4 ),2.0 ( 5 ),0
12. Lower Green§,40,28,3.2,2.1,24.4,"626,166","5,693.80",6.3 ( 22 ),3.6 ( 24 ),1.9
13. Lower Rio Grande,3,1,0,0,0.3,"1,448","1,796.70",1.2 ( 6 ),0.4 ( 6 ),0
14. Lower Sevier,20,6,0.8,0.2,3.3,"9,644",906.4,6.1 ( 2 ),2.7 ( 4 ),0.1
15. Pecos,9,2,0.3,0.1,1.2,"1,207",332.1,0.1 ( 2 ),0.0 ( 2 ),0.3
16. Provo-Utah Lake-Jordan,38,23,2.6,1.5,18.5,"219,438","2,694.10",12.4 ( 15 ),8.0 ( 18 ),2.1
17. Rio Chama-Upper Rio Grande,18,10,0.5,0.3,4.4,"74,002","5,227.90",3.1 ( 13 ),2.1 ( 13 ),0.5
18. Rio Grande Headwaters,38,25,1.5,0.9,11.3,"385,602","7,613.30",4.9 ( 14 ),3.1 ( 14 ),0.8
19. Roaring Fork,56,42,6.2,4.8,48.2,"346,438","1,360.30",9.2 ( 7 ),7.8 ( 7 ),5.4
20. Salt,1,1,0,0,0.2,"1,000","2,360.60",0.2 ( 8 ),0.0 ( 8 ),0
21. San Juan**,28,19,1.3,0.9,9.4,"292,716","6,425.50",6.1 ( 14 ),3.7 ( 15 ),1
22. San Pitch,37,24,2,1.2,15.3,"54,692",859.5,6.8 ( 5 ),4.1 ( 5 ),0.9
23. South Platte,46,27,1.9,1.2,11.4,"347,496","5,641.90",7.8 ( 21 ),7.2 ( 21 ),1.1
24. Southwestern Utah,21,13,0.4,0.2,3,"13,912","1,446.90",3.2 ( 5 ),2.0 ( 5 ),0.1
25. Toole Valley-Vernon Creek,25,13,0.6,0.2,2.3,"11,512",902.1,2.7 ( 3 ),3.5 ( 4 ),0.3
26. Upper Arkansas,40,25,1.3,0.8,7.9,"252,986","5,892.20",3.7 ( 7 ),2.7 ( 7 ),0.5
27. Upper Colorado-Dirty Devil,24,13,1.1,0.5,7.9,"69,446","2,608.00",3.1 ( 7 ),1.9 ( 7 ),1
28. Upper Colorado-Dolores§,31,16,1.9,0.8,13.2,"141,089","3,453.30",7.8 ( 8 ),4.1 ( 9 ),1.1
29. Upper Sevier,23,11,1.1,0.5,6.9,"91,726","3,767.80",3.8 ( 16 ),2.3 ( 16 ),0.4
30. Verde,0,0,0,0,0,72,"1,820.70",0.1 ( 6 ),0.0 ( 7 ),0
31. Weber-Ogden§,39,23,2.9,1.7,22.6,"183,474","2,046.60",9.9 ( 16 ),6.8 ( 17 ),2.4
32. White-Yampa,51,30,4.4,2.6,28.8,"832,631","5,952.40",11.8 ( 15 ),9.6 ( 15 ),2.5
33. Animas,43,28,3.9,2.5,27,"121,126",922.5,6.8 ( 6 ),5.0 ( 6 ),2.9
