,3/8/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026,3/15/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026
Basin,%3/8 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,4,8,0.1,0.1,2.3,"44,225","7,233.40",2.7 ( 1 ),3.5 ( 1 ),0.4
2. Bighorn,52,68,1.6,1.7,14.2,"798,737","8,864.60",7.8 ( 8 ),8.7 ( 8 ),1.3
3. Cheyenne,4,6,0,0,0.9,"30,909","15,359.30",4.0 ( 2 ),4.0 ( 2 ),0.2
4. Gallatin,70,81,5,5.5,35.6,"543,397","1,848.40",14.4 ( 4 ),15.1 ( 4 ),5.8
5. Glendo,36,39,3.5,3.2,32,"120,453",714.1,4.4 ( 4 ),4.8 ( 4 ),0.7
6. Jefferson,80,95,5.8,6.1,44.4,"2,860,771","8,812.20",11.0 ( 14 ),12.3 ( 14 ),4.5
7. Lower Bighorn,22,38,0.4,0.5,4.8,"93,884","3,259.10",NA,NA,0.7
8. Lower No Platte,20,20,1.2,0.9,9.9,"38,824",824,NA,NA,0.1
9. Lower Shoshone,17,33,0.2,0.2,2.8,"18,467","1,474.60",NA,NA,0.1
10. Madison Headwaters in WY,85,91,7,7.4,51.6,"1,011,882","2,557.60",13.6 ( 7 ),13.9 ( 7 ),8.7
11. Powder,17,24,0.3,0.3,2.9,"189,295","13,397.20",4.7 ( 5 ),5.2 ( 5 ),0.4
12. Smith-Judith-Musselshell,45,70,1.9,2.5,30.5,"1,099,518","8,339.80",9.7 ( 9 ),11.3 ( 9 ),1.6
13. Snake,101,101,12,12.4,84.4,"3,805,296","5,741.50",17.3 ( 11 ),17.3 ( 10 ),12.4
14. Sun-Teton-Marias,59,120,1.6,2.5,24.4,"1,421,317","10,541.30",6.2 ( 5 ),8.6 ( 5 ),2.4
15. Sweetwater,38,34,2.8,2.1,27.1,"137,340","1,201.20",8.8 ( 2 ),8.9 ( 2 ),1.2
16. Tongue,25,44,0.5,0.6,5.4,"182,219","5,405.20",4.0 ( 6 ),5.4 ( 5 ),0.9
17. Upper Clark Fork,97,116,6,6.4,52.8,"2,057,438","6,006.90",11.6 ( 11 ),14.9 ( 11 ),8
18. Upper Green,60,60,5.2,4.5,35.7,"2,296,874","9,583.60",10.8 ( 21 ),11.0 ( 21 ),3.9
19. Upper Missouri,44,60,1.8,2.1,19.5,"334,734","2,956.30",5.2 ( 2 ),6.4 ( 2 ),1.9
20. Upper No Platte,47,51,3.5,3.1,35.5,"1,257,430","7,590.10",13.8 ( 16 ),14.2 ( 16 ),2.7
21. Upper Shoshone,112,115,8.4,8.6,55,"686,931","1,505.30",11.2 ( 4 ),12.4 ( 4 ),9.6
22. Upper Snake Basins,69,69,5.7,5.8,50.4,"2,150,653","6,974.50",10.7 ( 10 ),10.5 ( 10 ),4.5
23. Upper Yellowstone,90,97,5.4,5.6,37.3,"3,366,761","11,233.00",12.8 ( 20 ),14.0 ( 20 ),7.1
24. Wind,70,80,2.8,2.8,21.6,"1,163,863","7,750.00",9.3 ( 9 ),10.9 ( 8 ),2.7
25. Wood and Lost Basins,70,67,5.9,5,40.9,"1,994,310","7,420.10",10.6 ( 16 ),10.5 ( 16 ),3.7
