,3/1/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026,3/8/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026
Basin,%3/1 Avg.,%3/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,32,22,6.3,4.9,57,"84,230",321.4,7.0 ( 7 ),5.7 ( 7 ),3.8
1. Upper Sacramento,37,27,6.9,5.8,57,"35,476",115.2,9.8 ( 2 ),8.4 ( 2 ),6.8
2. McCloud,38,29,6.3,5.2,70.7,"45,962",164.9,11.2 ( 1 ),8.9 ( 1 ),13.8
3. Pit,33,21,2.4,1.5,14.4,"161,502","2,086.20",8.4 ( 5 ),7.6 ( 5 ),2.3
4. Sacramento at Bend Bridge,25,18,3.1,2.5,19.1,"31,754",240,NA,NA,4.2
5. Feather§,59,30,5,3.1,42.6,"353,985","2,117.50",12.3 ( 7 ),10.0 ( 7 ),5.7
6. Yuba§,59,38,9.3,6.8,59.5,"191,266",525.6,19.5 ( 4 ),19.0 ( 4 ),10.5
7. American,66,48,11.7,9.5,66,"407,685",807,13.8 ( 13 ),12.7 ( 13 ),8.3
8. Cosumnes,82,41,9.2,5.4,46.9,"26,540",91.9,NA,NA,3.9
9. Mokelumne,71,55,12.7,10.7,65.9,"182,015",317.9,22.5 ( 3 ),18.1 ( 3 ),11.4
10. Stanislaus,71,60,13,11.7,67,"350,864",562.9,21.9 ( 4 ),21.5 ( 4 ),11
11. Tuolumne§,82,67,15.4,10.7,65.4,"524,286",915,16.4 ( 7 ),17.5 ( 8 ),13.3
12. Merced§,87,71,12.6,11.8,68.6,"339,489",539.4,24.5 ( 2 ),24.0 ( 2 ),16.9
13. San Joaquin§,89,79,15.8,13.4,74.4,"878,340","1,225.40",19.0 ( 7 ),16.6 ( 7 ),17
14. Kings,94,83,16.5,15.9,70.4,"1,028,456","1,213.40",21.7 ( 7 ),21.7 ( 5 ),16.7
15. Kaweah§,107,73,11.5,8.5,52.3,"142,653",314.4,12.2 ( 2 ),18.7 ( 1 ),10.7
16. Tule,165,67,10,4.9,34.5,"35,737",137.6,8.5 ( 1 ),3.1 ( 1 ),4.6
17. Kern§,117,80,9.8,6.8,42.8,"609,196","1,682.80",17.3 ( 5 ),11.0 ( 3 ),5.1
18. Truckee,64,47,10.4,8.8,71,"199,009",425.4,12.9 ( 6 ),12.0 ( 6 ),10.7
19. Tahoe,41,29,6.8,5.3,33.3,"144,017",508.3,11.8 ( 7 ),11.4 ( 7 ),8.8
20. W Carson,76,64,14.6,13.3,84.9,"46,451",65.3,17.1 ( 3 ),16.9 ( 3 ),13.1
21. E Carson,75,58,10.1,8.4,54.8,"158,970",355.2,10.0 ( 4 ),10.9 ( 4 ),7.3
22. W Walker,77,75,14,13.9,77.4,"133,362",179.8,16.9 ( 4 ),16.3 ( 4 ),13.6
23. E Walker,53,50,4.8,4.3,57,"81,330",356.3,13.2 ( 1 ),13.4 ( 1 ),5.2
24. Mono,46,49,2.4,2.3,33,"133,051","1,085.80",NA,NA,2.9
25. Upper Owens,72,66,6.8,6.8,58.6,"137,873",382.7,26.6 ( 1 ),28.2 ( 1 ),8.4
26. Owens,74,76,3.5,3.6,26.2,"341,089","1,772.90",12.2 ( 4 ),12.3 ( 4 ),2.5
