,,4/5/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026,4/12/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026
Basin,Elevation Band,%4/5 Avg.,%4/12 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,"5,000-6,000'",1,1,0.1,0.1,2.7,950,152.3,0.1 ( 2 ),1.3 ( 1 ),0.6
0. Trinity,"6,000-7,000'",5,8,1.5,1.8,29.3,"12,694",133,0.2 ( 5 ),1.5 ( 5 ),1.5
0. Trinity,"7,000-8,000'",11,20,3.3,6.2,53.3,"11,708",35.1,NA,NA,2.1
0. Trinity,"8,000-9,000'",15,44,5.1,16.6,49.7,856,1,NA,NA,2.6
1. Upper Sacramento,"5,000-6,000'",1,0,0.2,0.1,1.3,233,64.1,0.0 ( 1 ),2.1 ( 1 ),0.6
1. Upper Sacramento,"6,000-7,000'",6,6,1.5,1.4,23.1,"2,727",36.2,0.6 ( 1 ),1.8 ( 1 ),1.8
1. Upper Sacramento,"7,000-8,000'",9,19,2.6,5,51,"2,365",8.8,NA,NA,9.1
1. Upper Sacramento,"8,000-9,000'",11,38,3.4,11.3,63.9,"1,391",2.3,NA,NA,25.5
1. Upper Sacramento,"9,000-10,000'",15,63,5.1,22.3,77.7,"2,063",1.7,NA,NA,47.4
1. Upper Sacramento,"10,000-11,000'",18,92,7.2,39.7,86.7,"1,840",0.9,NA,NA,50.3
1. Upper Sacramento,">11,000'",20,106,8.6,52.3,69.6,"3,232",1.2,NA,NA,44.6
2. McCloud,"5,000-6,000'",1,0,0.1,0,1,227,96.8,0.0 ( 1 ),0.0 ( 1 ),0.9
2. McCloud,"6,000-7,000'",8,13,1.8,2.5,39.1,"5,502",41.7,NA,NA,3.2
2. McCloud,"7,000-8,000'",11,35,3.1,8.8,74.6,"6,658",14.2,NA,NA,17.1
2. McCloud,"8,000-9,000'",13,52,3.8,14.8,69.3,"5,093",6.5,NA,NA,39.9
2. McCloud,"9,000-10,000'",16,63,5.1,21.2,72.3,"3,494",3.1,NA,NA,49.2
2. McCloud,"10,000-11,000'",18,75,6.7,31.9,83.5,"2,464",1.4,NA,NA,62
2. McCloud,">11,000'",23,83,11.5,48.6,93.4,"3,004",1.2,NA,NA,56.3
3. Pit,"5,000-6,000'",0,0,0,0,0,59,"1,428.20",0.9 ( 1 ),1.5 ( 1 ),0.1
3. Pit,"6,000-7,000'",4,6,0.4,0.5,7.1,"14,597",507.2,1.5 ( 2 ),1.6 ( 2 ),0.5
3. Pit,"7,000-8,000'",12,19,2.1,3.4,34.6,"23,263",129.4,0.5 ( 2 ),0.5 ( 2 ),1.2
3. Pit,"8,000-9,000'",35,54,7.8,12.7,80.5,"13,116",19.4,NA,NA,2.3
3. Pit,">9,000'",42,66,11.3,19.7,78.5,"2,033",1.9,NA,NA,10.2
4. Sacramento at Bend Bridge,"5,000-6,000'",0,0,0,0,0,0,156.3,NA,NA,0.5
4. Sacramento at Bend Bridge,"6,000-7,000'",3,4,0.5,0.6,10.8,"2,180",63.1,NA,NA,1.6
4. Sacramento at Bend Bridge,"7,000-8,000'",13,28,3.7,7.9,57.5,"6,574",15.6,NA,NA,4.7
4. Sacramento at Bend Bridge,"8,000-9,000'",15,49,5,17.6,64.8,"4,067",4.3,NA,NA,9.8
4. Sacramento at Bend Bridge,">9,000'",16,48,5.5,17.8,73.8,549,0.6,NA,NA,19.1
5. Feather§,"5,000-6,000'",0,0,0,0,0.1,360,"1,257.10",0.0 ( 1 ),0.7 ( 1 ),0.5
5. Feather§,"6,000-7,000'",3,4,0.5,0.6,8.8,"24,229",732.9,0.4 ( 5 ),1.6 ( 4 ),1.3
5. Feather§,"7,000-8,000'",10,14,2.2,4.4,37.5,"29,072",122.6,0.0 ( 1 ),0.0 ( 1 ),2.4
5. Feather§,"8,000-9,000'",16,31,4.3,17.8,53.3,"4,572",4.8,NA,NA,6.7
6. Yuba§,"5,000-6,000'",0,0,0,0,0,0,193.5,NA,NA,0.8
6. Yuba§,"6,000-7,000'",6,7,1.4,1,22.2,"11,096",213.6,5.7 ( 4 ),5.9 ( 4 ),1.8
6. Yuba§,"7,000-8,000'",15,25,5,10.9,60.1,"65,838",113.1,NA,NA,3.7
6. Yuba§,"8,000-9,000'",17,45,9,42.5,72.4,"12,046",5.3,NA,NA,14.9
7. American§,"5,000-6,000'",0,0,0,0,0.1,0,294.8,0.0 ( 4 ),0.6 ( 3 ),0.4
7. American§,"6,000-7,000'",4,4,0.6,0.6,12.9,"8,334",267.6,5.1 ( 2 ),1.9 ( 2 ),1
7. American§,"7,000-8,000'",14,20,4.2,7,56,"62,308",168.1,1.3 ( 4 ),2.1 ( 4 ),4.2
7. American§,"8,000-9,000'",18,39,7.6,19.3,72.4,"71,217",69.1,16.6 ( 3 ),16.5 ( 3 ),9.6
7. American§,"9,000-10,000'",19,48,7.8,22.7,74.3,"9,010",7.4,NA,NA,11.8
8. Cosumnes,"5,000-6,000'",0,0,0,0,0,0,60.5,NA,NA,0.5
8. Cosumnes,"6,000-7,000'",1,1,0.1,0.1,1.9,107,23.7,NA,NA,1
8. Cosumnes,"7,000-8,000'",13,12,3,2.8,52.3,"1,150",7.6,NA,NA,2.1
9. Mokelumne,"5,000-6,000'",0,0,0,0,0,0,82.5,NA,NA,0.2
9. Mokelumne,"6,000-7,000'",0,0,0.1,0.1,0.9,200,63.5,0.0 ( 1 ),2.2 ( 1 ),0.8
9. Mokelumne,"7,000-8,000'",14,15,3.2,3.4,46.9,"15,463",86.4,NA,NA,3.1
9. Mokelumne,"8,000-9,000'",19,29,5.1,8.2,68.3,"34,115",77.9,13.8 ( 2 ),14.4 ( 2 ),8
