,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,Elevation Band,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
8. Gila,"8,000-9,000'",15,3,0.2,0,1.1,"1,374",791.6,1.4 ( 4 ),0.8 ( 4 ),NA,0
8. Gila,"9,000-10,000'",85,45,2.5,1.2,25.6,"6,695",105.5,NA,NA,NA,2
8. Gila,"10,000-11,000'",145,107,6.1,4.8,59.3,"2,735",10.7,NA,NA,NA,6.9
9. Gunnison,"7,000-8,000'",18,24,1,1,29.8,"54,294","1,038.70",NA,NA,NA,0.5
9. Gunnison,"8,000-9,000'",38,40,3.2,2.9,56.7,"264,556","1,716.10",8.1 ( 1 ),8.0 ( 1 ),NA,2.8
9. Gunnison,"9,000-10,000'",51,52,4.6,4.4,67.1,"368,905","1,555.90",8.1 ( 4 ),8.2 ( 4 ),4.0 ( 1 ),4.5
9. Gunnison,"10,000-11,000'",56,61,4.9,5.5,65.1,"362,918","1,228.40",7.5 ( 3 ),8.0 ( 3 ),2.8 ( 1 ),6.2
9. Gunnison,"11,000-12,000'",64,69,7.4,8.5,76,"284,199",630,5.9 ( 3 ),6.3 ( 3 ),NA,7.1
9. Gunnison,"12,000-13,000'",66,68,9.5,10.5,87.6,"152,285",270.9,NA,NA,NA,6.4
9. Gunnison,"13,000-14,000'",68,70,10,10.9,85.7,"11,476",19.7,NA,NA,NA,4
10. Little Colorado,"6,000-7,000'",5,1,0,0,0.2,"1,060","9,987.30",NA,NA,NA,0
10. Little Colorado,"7,000-8,000'",9,3,0.1,0,2.5,"7,582","5,643.60",1.9 ( 3 ),0.0 ( 3 ),NA,0
10. Little Colorado,"8,000-9,000'",15,8,0.4,0.1,6.2,"4,727",604.3,2.3 ( 2 ),1.6 ( 2 ),NA,0
10. Little Colorado,"9,000-10,000'",39,13,2.2,0.6,16.8,"4,492",144.2,0.6 ( 1 ),0.0 ( 1 ),NA,0.3
10. Little Colorado,"10,000-11,000'",53,44,3.3,3,32.9,"2,283",14.3,13.2 ( 1 ),13.8 ( 1 ),NA,5.7
10. Little Colorado,">11,000'",69,71,5.9,7,52.7,"1,627",4.3,NA,NA,NA,11.4
11. Lower Colorado Mainstream,"5,000-6,000'",5,0,0.2,0,2.3,"1,155","5,707.90",NA,NA,NA,0
11. Lower Colorado Mainstream,"6,000-7,000'",19,2,0.6,0.1,16.3,"22,565","3,486.30",NA,NA,NA,0
11. Lower Colorado Mainstream,"7,000-8,000'",21,15,0.9,0.7,48.5,"34,127",879.5,3.2 ( 1 ),1.0 ( 1 ),NA,0.4
11. Lower Colorado Mainstream,"8,000-9,000'",35,31,2.1,2,61.9,"57,362",541,4.3 ( 1 ),3.0 ( 1 ),NA,1.1
11. Lower Colorado Mainstream,"9,000-10,000'",64,58,5.3,5.5,80.5,"23,812",81,11.5 ( 2 ),10.4 ( 2 ),NA,4.9
11. Lower Colorado Mainstream,"10,000-11,000'",74,92,5.6,8.5,89.8,742,1.6,NA,NA,NA,10.7
12. Lower Green,"7,000-8,000'",25,29,1.3,1.4,31.6,"168,358","2,289.00",6.4 ( 2 ),6.0 ( 2 ),NA,0.4
12. Lower Green,"8,000-9,000'",50,51,4,4.3,63.8,"408,231","1,779.70",3.8 ( 9 ),3.5 ( 9 ),NA,2.9
12. Lower Green,"9,000-10,000'",70,68,7.2,7.8,82.4,"370,745",889,6.4 ( 8 ),6.6 ( 8 ),NA,6.8
12. Lower Green,"10,000-11,000'",78,75,9.3,10.1,89.1,"273,923",509.3,11.0 ( 5 ),11.6 ( 5 ),NA,10
12. Lower Green,"11,000-12,000'",78,76,10.3,11.1,86.2,"119,881",201.6,NA,NA,NA,8.8
12. Lower Green,">12,000'",80,79,11.1,12,87.3,"16,157",25.2,NA,NA,NA,4.5
13. Lower Rio Grande,"8,000-9,000'",4,0,0.1,0,0,42,"1,490.30",1.2 ( 3 ),0.1 ( 3 ),0.0 ( 1 ),0
13. Lower Rio Grande,"9,000-10,000'",24,10,0.8,0.3,6.2,"4,044",257.5,5.1 ( 1 ),4.8 ( 1 ),NA,0.4
13. Lower Rio Grande,"10,000-11,000'",57,49,2.9,2.4,39.1,"5,845",45.8,3.8 ( 2 ),3.4 ( 2 ),NA,1.4
13. Lower Rio Grande,"11,000-12,000'",24,17,2.1,1.5,17.1,261,3.2,NA,NA,NA,3.8
14. Lower Sevier,"6,000-7,000'",1,14,0,0.4,11.4,"11,462",504.3,7.0 ( 1 ),6.4 ( 1 ),NA,0.5
14. Lower Sevier,"7,000-8,000'",11,26,0.6,1.4,33.3,"19,527",256.2,2.7 ( 2 ),2.0 ( 2 ),NA,1.5
14. Lower Sevier,"8,000-9,000'",38,52,3,4.2,65.8,"25,392",114.1,NA,NA,NA,3.8
14. Lower Sevier,"9,000-10,000'",73,69,7.5,7.6,88.2,"12,894",31.8,6.9 ( 1 ),5.5 ( 1 ),NA,5.9
15. Pecos,"9,000-10,000'",18,4,0.4,0.1,2.2,677,193.4,NA,NA,NA,0.1
15. Pecos,"10,000-11,000'",42,19,2.3,1,19.4,"5,125",94.9,0.6 ( 1 ),0.0 ( 1 ),NA,1.8
15. Pecos,"11,000-12,000'",49,47,4.3,4.1,58.9,"9,299",42.7,2.4 ( 1 ),0.7 ( 1 ),NA,3.7
15. Pecos,"12,000-13,000'",57,56,6.7,6.6,70.9,408,1.2,NA,NA,NA,4.6
16. Provo-Utah Lake-Jordan,"5,000-6,000'",12,11,0.3,0.2,11.2,"7,994",683.2,NA,NA,0.0 ( 1 ),0
16. Provo-Utah Lake-Jordan,"6,000-7,000'",16,17,1,0.9,28.6,"35,592",711.3,5.1 ( 1 ),4.8 ( 1 ),1.0 ( 1 ),0.3
16. Provo-Utah Lake-Jordan,"7,000-8,000'",37,36,3.3,3.4,63.6,"117,343",653.4,4.1 ( 3 ),3.7 ( 3 ),6.2 ( 4 ),3.5
16. Provo-Utah Lake-Jordan,"8,000-9,000'",62,59,7.1,7.5,87.6,"156,224",390.1,9.2 ( 9 ),9.2 ( 9 ),NA,8.1
16. Provo-Utah Lake-Jordan,"9,000-10,000'",75,72,10.3,11.3,94.2,"126,071",209,15.0 ( 5 ),16.2 ( 5 ),20.6 ( 1 ),12.1
16. Provo-Utah Lake-Jordan,"10,000-11,000'",73,72,11.4,12.6,88.4,"30,944",46,NA,NA,NA,14.2
16. Provo-Utah Lake-Jordan,"11,000-12,000'",64,61,10.9,11.4,77.2,705,1.2,NA,NA,NA,8.6
17. Rio Chama-Upper Rio Grande,"7,000-8,000'",1,0,0,0,0,0,"2,440.90",NA,NA,NA,0
17. Rio Chama-Upper Rio Grande,"8,000-9,000'",10,5,0.3,0.1,4.2,"7,858","1,222.80",2.7 ( 2 ),1.9 ( 2 ),NA,0.2
17. Rio Chama-Upper Rio Grande,"9,000-10,000'",31,26,1.4,1.2,29.5,"53,828",848.3,2.8 ( 5 ),2.2 ( 5 ),0.6 ( 2 ),2.3
17. Rio Chama-Upper Rio Grande,"10,000-11,000'",45,41,2.9,2.9,43.5,"82,248",532.9,4.4 ( 4 ),3.6 ( 4 ),NA,5.2
17. Rio Chama-Upper Rio Grande,"11,000-12,000'",40,40,3.3,3.3,44.5,"27,508",154.6,7.0 ( 1 ),6.9 ( 1 ),10.5 ( 1 ),5.1
17. Rio Chama-Upper Rio Grande,"12,000-13,000'",55,54,6.2,5.9,62.1,"9,002",28.4,NA,NA,NA,3.3
18. Rio Grande Headwaters,"7,000-8,000'",1,0,0,0,0,83,"2,682.20",NA,NA,NA,0
18. Rio Grande Headwaters,"8,000-9,000'",6,4,0.2,0.1,4.8,"8,648","1,420.70",NA,NA,NA,0
18. Rio Grande Headwaters,"9,000-10,000'",22,24,1.2,1.2,29.4,"81,317","1,270.60",3.4 ( 3 ),2.9 ( 3 ),NA,1.3
18. Rio Grande Headwaters,"10,000-11,000'",42,48,2.9,3.4,49.8,"205,859","1,141.30",5.5 ( 8 ),5.5 ( 8 ),NA,4.6
18. Rio Grande Headwaters,"11,000-12,000'",66,68,6.5,7.1,72.9,"315,835",839.3,6.9 ( 4 ),7.1 ( 4 ),NA,5.9
18. Rio Grande Headwaters,"12,000-13,000'",67,68,8.2,8.7,76.8,"114,977",248.2,NA,NA,NA,5.6
18. Rio Grande Headwaters,"13,000-14,000'",62,65,7.8,8,68.8,"4,760",11.1,NA,NA,NA,3.3
19. Roaring Fork,"7,000-8,000'",15,27,1.1,1.6,46.7,"16,558",196.1,NA,NA,NA,1
19. Roaring Fork,"8,000-9,000'",34,42,3,3.4,64,"47,918",262,4.4 ( 1 ),4.8 ( 1 ),NA,4.6
19. Roaring Fork,"9,000-10,000'",46,53,4.2,4.9,69,"69,997",267.9,7.6 ( 2 ),7.9 ( 2 ),NA,7
19. Roaring Fork,"10,000-11,000'",49,57,5.3,6.4,65.9,"90,360",263.2,9.1 ( 4 ),9.9 ( 4 ),NA,8.3
19. Roaring Fork,"11,000-12,000'",67,71,9.8,11.3,87,"151,327",251.7,NA,NA,NA,8.8
19. Roaring Fork,"12,000-13,000'",69,72,11.2,12.8,93.4,"77,081",113.1,NA,NA,NA,7
19. Roaring Fork,"13,000-14,000'",70,72,11.9,13.6,89.4,"4,552",6.3,NA,NA,NA,4
20. Salt§,"6,000-7,000'",0,0,0,0,0,0,"1,239.40",NA,NA,NA,0
20. Salt§,"7,000-8,000'",1,1,0,0,1.4,150,514.8,1.4 ( 3 ),0.1 ( 3 ),NA,0
20. Salt§,"8,000-9,000'",24,3,0.5,0.1,4.5,"1,506",404,2.5 ( 2 ),0.0 ( 1 ),NA,0.1
20. Salt§,"9,000-10,000'",35,14,1.2,0.5,23.1,"4,316",171,1.7 ( 2 ),0.0 ( 2 ),NA,0.3
20. Salt§,">10,000'",49,40,3.5,3.2,40.8,"5,300",31.5,NA,NA,NA,2.1
21. San Juan**,"7,000-8,000'",9,4,0.2,0.1,4.5,"12,225","3,769.40",NA,NA,NA,0
21. San Juan**,"8,000-9,000'",14,20,0.7,0.9,34.6,"51,542","1,062.20",4.5 ( 2 ),3.8 ( 2 ),NA,0.7
21. San Juan**,"9,000-10,000'",35,44,2.3,3.2,62.2,"97,503",572.5,4.3 ( 4 ),3.5 ( 4 ),NA,4.4
21. San Juan**,"10,000-11,000'",58,63,5.3,6.5,72.6,"155,589",449.3,9.9 ( 7 ),9.7 ( 7 ),NA,8.2
21. San Juan**,"11,000-12,000'",73,73,8.8,10,83.7,"207,609",390,9.9 ( 3 ),10.0 ( 3 ),NA,9.4
21. San Juan**,"12,000-13,000'",73,73,10.4,11.5,84.9,"107,989",175.1,NA,NA,NA,8.1
21. San Juan**,"13,000-14,000'",72,74,11.2,12.4,84.7,"4,658",7.1,NA,NA,NA,4.7
22. San Pitch,"5,000-6,000'",0,1,0,0,0.7,138,273.8,NA,NA,NA,0
22. San Pitch,"6,000-7,000'",0,2,0,0.1,3.9,843,213.6,NA,NA,NA,0.2
22. San Pitch,"7,000-8,000'",11,14,0.8,0.8,24.5,"6,486",143.1,NA,NA,NA,1.7
22. San Pitch,"8,000-9,000'",52,53,4.7,4.9,65.7,"30,533",117.4,5.6 ( 4 ),5.0 ( 4 ),NA,4.9
22. San Pitch,"9,000-10,000'",78,75,9.5,10,89.6,"40,795",76.5,11.6 ( 1 ),11.6 ( 1 ),NA,7.4
22. San Pitch,"10,000-11,000'",76,74,11.2,12,91.9,"22,433",34.9,8.6 ( 1 ),8.6 ( 1 ),NA,8.3
23. South Platte,"7,000-8,000'",0,0,0,0,0,0,"1,420.90",NA,NA,NA,0
23. South Platte,"8,000-9,000'",3,3,0.1,0.1,2,"8,084","1,477.20",1.6 ( 3 ),1.5 ( 3 ),1.0 ( 3 ),0.1
