,4/5/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026,4/12/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026
Basin,%4/5 Avg.,%4/12 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,18,17,1.2,0.9,12.3,"297,776","6,323.40",5.9 ( 18 ),4.0 ( 18 ),1.4
2. Beaver,13,9,0.3,0.1,2.4,"6,586",835.5,3.3 ( 2 ),3.1 ( 2 ),0.2
3. Blue§,27,21,2.1,1.8,28,"65,478",683.9,5.9 ( 5 ),5.3 ( 5 ),3.3
4. Canadian,1,1,0,0,0.2,608,"1,265.80",0.7 ( 2 ),0.1 ( 2 ),0
5. Colorado Headwaters§,21,17,1.8,1.3,20.6,"205,387","2,906.10",5.6 ( 13 ),4.8 ( 13 ),2
6. Colorado Headwaters-Plateau,16,17,1.1,0.9,13.4,"89,939","1,813.00",2.7 ( 1 ),0.7 ( 1 ),0.5
7. Eagle,22,17,2.1,1.5,20.2,"71,546",918,0.6 ( 3 ),0.0 ( 3 ),2.8
8. Gila,0,0,0,0,0,0,"4,926.30",0.0 ( 6 ),0.0 ( 6 ),0
9. Gunnison§,16,16,1.1,1,15.8,"354,815","6,459.70",2.7 ( 11 ),1.6 ( 11 ),0.9
10. Little Colorado,2,2,0,0,0,580,"16,398.00",0.5 ( 5 ),0.2 ( 5 ),0
11. Lower Colorado Mainstream,1,1,0,0,0.1,"1,005","10,697.40",1.1 ( 5 ),0.1 ( 5 ),0
12. Lower Green§,16,15,1.1,0.9,13.9,"282,021","5,693.80",2.1 ( 23 ),1.3 ( 24 ),0.9
13. Lower Rio Grande,0,0,0,0,0,86,"1,796.70",0.3 ( 6 ),0.1 ( 6 ),0
14. Lower Sevier,5,2,0.1,0,0.9,"1,624",906.4,0.5 ( 4 ),0.0 ( 4 ),0
15. Pecos,5,3,0.1,0.1,1.7,"1,391",332.1,0.2 ( 2 ),0.1 ( 2 ),0.1
16. Provo-Utah Lake-Jordan,13,14,0.8,0.7,11.4,"106,155","2,694.10",4.6 ( 18 ),3.1 ( 18 ),0.7
17. Rio Chama-Upper Rio Grande,5,6,0.1,0.1,2.3,"25,148","5,227.90",1.1 ( 13 ),0.8 ( 12 ),0.2
18. Rio Grande Headwaters,14,14,0.4,0.4,6.7,"167,196","7,613.30",1.8 ( 14 ),1.5 ( 14 ),0.3
19. Roaring Fork§,26,25,2.6,2.3,32.9,"167,148","1,360.30",5.2 ( 7 ),3.8 ( 7 ),4
20. Salt,0,0,0,0,0,81,"2,360.60",0.0 ( 8 ),0.0 ( 8 ),0
21. San Juan**,16,18,0.6,0.5,8.4,"181,914","6,425.50",2.4 ( 15 ),1.6 ( 15 ),0.6
22. San Pitch,17,15,0.7,0.5,7.8,"24,270",859.5,1.0 ( 6 ),0.0 ( 6 ),0
23. South Platte§,19,17,0.6,0.5,7,"139,673","5,641.90",4.8 ( 21 ),3.8 ( 21 ),0.9
24. Southwestern Utah,7,3,0.1,0,0.7,"2,127","1,446.90",1.1 ( 5 ),0.2 ( 5 ),0
25. Toole Valley-Vernon Creek,8,7,0.1,0.1,1.1,"4,119",902.1,1.2 ( 4 ),0.3 ( 4 ),0.1
26. Upper Arkansas,19,17,0.5,0.4,5,"123,814","5,892.20",1.0 ( 7 ),0.6 ( 7 ),0.4
27. Upper Colorado-Dirty Devil,8,5,0.3,0.1,2.1,"17,120","2,608.00",1.4 ( 7 ),1.1 ( 7 ),0.5
28. Upper Colorado-Dolores§,10,10,0.4,0.3,6.7,"63,818","3,453.30",2.7 ( 9 ),1.9 ( 9 ),0.6
29. Upper Sevier,7,4,0.2,0.1,2,"20,729","3,767.80",1.3 ( 15 ),1.0 ( 16 ),0.1
30. Verde,0,0,0,0,0,19,"1,820.70",0.0 ( 7 ),0.0 ( 7 ),0
31. Weber-Ogden§,12,13,0.8,0.7,13.5,"80,028","2,046.60",3.6 ( 17 ),2.5 ( 17 ),0.9
32. White-Yampa§,18,14,1.4,1,14.3,"310,682","5,952.40",6.3 ( 15 ),4.5 ( 15 ),1.5
33. Animas,23,22,1.9,1.7,25.3,"82,483",922.5,2.9 ( 6 ),1.8 ( 6 ),2.2
