,4/12/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026,4/19/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026
Basin,%4/12 Avg.,%4/19 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,0,0,0,0,0,0,"7,233.40",0.0 ( 1 ),0.0 ( 1 ),0
2. Bighorn,53,62,1.1,1.2,7.4,"555,623","8,864.60",8.2 ( 7 ),9.5 ( 6 ),1.2
3. Cheyenne,0,0,0,0,0,0,"15,359.30",0.0 ( 2 ),0.1 ( 2 ),0
4. Gallatin,62,71,3.8,4.2,26.1,"416,603","1,848.40",15.0 ( 4 ),16.2 ( 4 ),6.1
5. Glendo,0,0,0,0,0,0,714.1,1.0 ( 4 ),0.8 ( 4 ),0.2
6. Jefferson,47,57,2.5,2.5,16.7,"1,175,215","8,812.20",10.9 ( 14 ),11.6 ( 14 ),3
7. Lower Bighorn,45,54,0.4,0.4,4,"64,291","3,259.10",NA,NA,0.4
8. Lower No Platte,0,0,0,0,0,22,824,NA,NA,0
9. Lower Shoshone,21,26,0.1,0.1,0.8,"6,263","1,474.60",NA,NA,0
10. Madison Headwaters in WY,52,61,4.2,4.7,31.2,"639,832","2,557.60",12.3 ( 6 ),11.9 ( 7 ),7.9
11. Powder,25,31,0.1,0.1,1,"88,341","13,397.20",2.4 ( 4 ),2.4 ( 4 ),0.2
12. Smith-Judith-Musselshell,37,46,0.7,0.7,5.3,"292,594","8,339.80",10.3 ( 9 ),10.0 ( 8 ),0.7
13. Snake,59,65,7.1,7.5,47.3,"2,310,693","5,741.50",11.7 ( 11 ),11.9 ( 11 ),8.7
14. Sun-Teton-Marias,81,103,1.2,1.2,6.7,"693,030","10,541.30",5.3 ( 5 ),4.9 ( 5 ),1.5
15. Sweetwater,8,13,0.3,0.3,2.8,"19,015","1,201.20",3.9 ( 2 ),4.0 ( 2 ),0.5
16. Tongue,46,52,0.4,0.4,4.1,"128,716","5,405.20",3.8 ( 6 ),4.3 ( 5 ),0.6
17. Upper Clark Fork,89,107,3.6,3.6,23.1,"1,160,422","6,006.90",12.0 ( 12 ),12.9 ( 11 ),4.9
18. Upper Green§,40,46,1.9,1.8,14.1,"943,654","9,583.60",5.7 ( 21 ),5.5 ( 21 ),2.8
19. Upper Missouri,38,50,0.7,0.7,5.4,"112,966","2,956.30",NA,0.0 ( 2 ),0.5
20. Upper No Platte,13,13,0.6,0.5,7.4,"209,600","7,590.10",8.5 ( 16 ),8.6 ( 16 ),1.4
21. Upper Shoshone,91,102,7.3,8.3,41.1,"665,523","1,505.30",7.4 ( 3 ),7.8 ( 3 ),8.3
22. Upper Snake Basins,28,34,1.6,1.8,11.5,"659,521","6,974.50",5.8 ( 11 ),6.3 ( 11 ),2.7
23. Upper Yellowstone,81,91,4.8,5.4,30.6,"3,240,359","11,233.00",12.3 ( 18 ),12.9 ( 18 ),6.7
24. Wind,62,73,1.9,2.2,12.8,"891,022","7,750.00",5.7 ( 8 ),6.0 ( 8 ),2.7
25. Wood and Lost Basins,41,54,2.1,2.2,15.8,"890,057","7,420.10",4.9 ( 16 ),5.4 ( 16 ),1.8
