,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
9. Mokelumne,"8,000-9,000'",32,19,8.4,5.5,65.4,"23,002",77.9,13.3 ( 2 ),12.5 ( 2 ),12.1 ( 4 ),7
9. Mokelumne,">9,000'",33,21,9.5,6.8,52.8,"2,714",7.5,NA,NA,NA,9.1
10. Stanislaus,"5,000-6,000'",0,0,0,0,0,0,105.6,NA,NA,NA,0
10. Stanislaus,"6,000-7,000'",7,0,1.2,0.1,1.2,451,133.9,NA,NA,0.0 ( 2 ),0.2
10. Stanislaus,"7,000-8,000'",27,10,5.7,2.1,31.6,"16,442",143.8,11.2 ( 1 ),6.6 ( 1 ),2.3 ( 6 ),1.5
10. Stanislaus,"8,000-9,000'",33,19,8.2,5,59.4,"30,868",115.4,17.9 ( 2 ),12.5 ( 2 ),14.2 ( 2 ),6.6
10. Stanislaus,"9,000-10,000'",34,21,9.8,6.7,64.2,"18,436",51.6,18.4 ( 1 ),11.4 ( 1 ),10.8 ( 2 ),9.9
10. Stanislaus,"10,000-11,000'",34,21,11.2,8.1,62.1,"5,268",12.2,NA,NA,NA,10.1
10. Stanislaus,"11,000-12,000'",38,23,12,8.8,43.5,181,0.4,NA,NA,NA,6.3
11. Tuolumne,"5,000-6,000'",0,0,0,0,0,0,168,NA,NA,NA,0
11. Tuolumne,"6,000-7,000'",4,1,0.6,0.1,1.6,807,140.9,0.0 ( 1 ),0.5 ( 1 ),0.0 ( 6 ),0.1
11. Tuolumne,"7,000-8,000'",25,10,5.4,2.3,26.3,"18,050",149.1,15.0 ( 2 ),9.0 ( 2 ),8.8 ( 4 ),2.1
11. Tuolumne,"8,000-9,000'",33,18,8.1,4.8,56,"42,999",167.9,10.3 ( 3 ),5.8 ( 3 ),13.1 ( 4 ),9.5
11. Tuolumne,"9,000-10,000'",35,21,9.5,6.4,67.2,"59,701",176.1,19.5 ( 2 ),13.2 ( 2 ),16.6 ( 4 ),16.6
11. Tuolumne,"10,000-11,000'",38,23,11.2,7.8,71.2,"36,209",86.6,NA,NA,NA,16.5
11. Tuolumne,"11,000-12,000'",41,24,12.8,9.2,71.6,"11,772",24,NA,NA,NA,12.3
11. Tuolumne,"12,000-13,000'",42,26,13.6,10,63.2,"1,284",2.4,NA,NA,NA,10.8
12. Merced§,"5,000-6,000'",0,0,0,0,0,0,69.7,NA,NA,NA,0
12. Merced§,"6,000-7,000'",3,0,0.3,0,0.2,32,78.3,NA,NA,NA,0.1
12. Merced§,"7,000-8,000'",26,8,4.8,1.4,23.5,"9,664",131.9,NA,NA,3.0 ( 1 ),2.8
12. Merced§,"8,000-9,000'",37,19,8.2,4.4,60.8,"28,718",123.4,17.7 ( 2 ),10.7 ( 2 ),15.5 ( 2 ),10.8
