,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
10. Little Colorado,"9,000-10,000'",31,1.5,59.5,"11,789",144.2,1.5 ( 1 ),NA,1.5
10. Little Colorado,"10,000-11,000'",33,1.7,32.6,"1,258",14.3,8.4 ( 1 ),NA,5
10. Little Colorado,">11,000'",46,3.1,53.2,727,4.3,NA,NA,9.5
11. Lower Colorado Mainstream,"5,000-6,000'",0,0,0,0,"5,707.90",NA,NA,0
11. Lower Colorado Mainstream,"6,000-7,000'",0,0,0.1,80,"3,486.30",NA,NA,0
11. Lower Colorado Mainstream,"7,000-8,000'",0,0,0.5,651,879.5,0.0 ( 1 ),NA,0
11. Lower Colorado Mainstream,"8,000-9,000'",9,0.5,11.8,"14,826",541,1.9 ( 1 ),NA,0.3
11. Lower Colorado Mainstream,"9,000-10,000'",33,2.5,53.6,"10,599",81,5.5 ( 2 ),NA,2.1
11. Lower Colorado Mainstream,"10,000-11,000'",48,3.1,44.9,270,1.6,NA,NA,5.8
12. Lower Green,"7,000-8,000'",11,0.6,7.4,"68,517","2,289.00",3.8 ( 2 ),NA,0.3
12. Lower Green,"8,000-9,000'",31,2.2,31.8,"205,547","1,779.70",2.4 ( 9 ),NA,1.7
12. Lower Green,"9,000-10,000'",53,4.4,61.1,"208,920",889,4.5 ( 8 ),NA,4
12. Lower Green,"10,000-11,000'",68,6.4,74.3,"174,834",509.3,8.2 ( 5 ),NA,6.5
12. Lower Green,"11,000-12,000'",73,7.8,74.6,"83,442",201.6,NA,NA,5.7
12. Lower Green,">12,000'",78,8.5,77.3,"11,376",25.2,NA,NA,2.6
13. Lower Rio Grande,"8,000-9,000'",20,0.4,16.9,"34,730","1,490.30",1.1 ( 3 ),NA,0.1
13. Lower Rio Grande,"9,000-10,000'",38,1.1,28.2,"14,826",257.5,4.1 ( 1 ),NA,0.6
13. Lower Rio Grande,"10,000-11,000'",57,2.4,49.3,"5,749",45.8,3.8 ( 2 ),NA,1.8
13. Lower Rio Grande,"11,000-12,000'",32,2.1,35,364,3.2,NA,NA,3.1
14. Lower Sevier,"6,000-7,000'",1,0.1,2.8,"1,748",504.3,4.5 ( 1 ),NA,0.5
14. Lower Sevier,"7,000-8,000'",8,0.5,10.2,"6,214",256.2,0.9 ( 2 ),NA,0.8
14. Lower Sevier,"8,000-9,000'",31,2.1,35.7,"12,945",114.1,NA,NA,1.7
14. Lower Sevier,"9,000-10,000'",57,5,77.1,"8,498",31.8,4.3 ( 1 ),NA,2.9
15. Pecos,"9,000-10,000'",24,0.6,22.2,"5,789",193.4,NA,NA,1.3
15. Pecos,"10,000-11,000'",37,1.6,39.4,"8,190",94.9,2.1 ( 1 ),NA,2.3
