,4/26/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026
Basin,%4/26 Avg.,%5/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
0. Trinity,8,6,2.1,1.6,36.5,"26,753",321.4,0.7 ( 6 ),0.1 ( 6 ),0.5 ( 2 ),0.6
1. Upper Sacramento,15,7,3.7,1.7,34.5,"10,614",115.2,0.5 ( 2 ),0.0 ( 2 ),9.5 ( 2 ),2.7
2. McCloud,20,8,4.4,1.6,23,"14,269",164.9,0.3 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),5.5
3. Pit,13,14,0.4,0.4,4.1,"42,883","2,086.20",0.5 ( 5 ),0.4 ( 5 ),0.0 ( 2 ),0.1
4. Sacramento at Bend Bridge,13,8,1.6,0.8,11.9,"10,108",240,NA,NA,NA,1
5. Feather§,7,6,0.3,0.2,7,"26,167","2,117.50",0.3 ( 4 ),0.0 ( 6 ),0.1 ( 22 ),0.2
6. Yuba,19,15,3.2,2.1,33.5,"58,214",525.6,3.5 ( 4 ),3.1 ( 4 ),3.9 ( 17 ),0.8
7. American,25,17,3.8,2,30.1,"86,353",807,4.9 ( 12 ),4.4 ( 13 ),0.8 ( 14 ),1.6
8. Cosumnes,12,8,0.8,0.4,9.3,"2,006",91.9,NA,NA,NA,0.1
9. Mokelumne,29,23,4.1,2.8,42.5,"47,084",317.9,10.4 ( 3 ),9.3 ( 3 ),9.9 ( 6 ),3.2
10. Stanislaus,29,23,3.9,2.7,39.5,"81,144",562.9,11.3 ( 4 ),11.0 ( 4 ),6.0 ( 12 ),3.7
11. Tuolumne,33,28,5.3,3.8,46,"184,814",915,7.4 ( 8 ),6.3 ( 8 ),4.0 ( 5 ),8.2
12. Merced,26,25,3.4,3.1,41.8,"87,779",539.4,7.5 ( 2 ),6.8 ( 2 ),8.4 ( 5 ),8.1
13. San Joaquin§,30,27,4.6,6.2,38.7,"405,238","1,225.40",1.5 ( 7 ),0.9 ( 7 ),5.9 ( 8 ),6.4
14. Kings,30,27,4.7,3.2,36.5,"206,427","1,213.40",7.5 ( 7 ),7.3 ( 7 ),6.0 ( 21 ),7.1
15. Kaweah,22,21,2.2,1.7,24.5,"28,783",314.4,0.0 ( 1 ),0.0 ( 1 ),2.9 ( 4 ),2.8
16. Tule,6,7,0.2,0.2,4.4,"1,443",137.6,0.5 ( 1 ),0.0 ( 1 ),NA,0.1
17. Kern§,24,20,1.7,1.3,9.8,"116,043","1,682.80",2.9 ( 5 ),2.8 ( 5 ),1.1 ( 10 ),1.6
18. Truckee,20,16,2.2,1.3,19,"30,375",425.4,5.3 ( 6 ),5.2 ( 6 ),2.0 ( 1 ),1.9
19. Tahoe,16,12,1.9,1.2,16.1,"33,452",508.3,0.0 ( 7 ),0.0 ( 7 ),NA,1.5
20. W Carson,27,21,3.5,2.6,33.3,"9,143",65.3,4.9 ( 3 ),3.6 ( 3 ),0.5 ( 1 ),2.2
21. E Carson,32,27,2.7,1.9,26.1,"35,900",355.2,1.3 ( 4 ),1.0 ( 4 ),NA,2.3
22. W Walker,46,34,6.9,4.2,49.2,"40,688",179.8,13.5 ( 4 ),13.4 ( 4 ),1.5 ( 1 ),9.4
23. E Walker,35,45,1.8,2,18,"38,372",356.3,6.2 ( 1 ),5.8 ( 1 ),NA,2.7
24. Mono,34,35,0.9,0.8,8.1,"45,901","1,085.80",NA,NA,NA,1.1
25. Upper Owens,28,30,1.4,1.5,19.1,"29,849",382.7,19.4 ( 1 ),19.6 ( 1 ),NA,0.9
26. Owens,43,39,1.1,0.9,12.4,"85,802","1,772.90",1.5 ( 4 ),1.3 ( 4 ),NA,1.1
