No.,Basin Code,Area (mi2),SWE (in.),Vol (AF)
01,AND,975.68,4.55,0.0
02,BEU,447.3,0.87,435271.0
03,BUL,552.61,0.01,32399.0
04,BUM,69.5,5.16,0.0
05,CCL,6.66,0.0,5039.0
06,CCR,112.55,1.91,114718.0
07,CLE,202.03,8.95,16302.0
08,CMO,53.76,13.46,21838.0
09,CSC,614.19,6.42,907575.0
10,DED,109.17,11.62,0.0
11,GRS,3.86,7.87,208.0
12,HEII,4918.27,6.08,5671.0
13,HGH,1660.82,11.21,0.0
14,HRSI,1492.86,4.75,0.0
15,ISL,499.81,4.15,316913.0
16,JCK,804.44,10.82,255.0
17,KAC,63.13,4.4,0.0
18,KEE,54.44,5.9,0.0
19,LUC,1711.11,3.23,449568.0
20,MAN,56.18,0.44,6275.0
21,MCK,194.21,0.0,209083.0
22,NACW,685.52,1.63,0.0
23,OCH,290.83,0.01,24974.0
24,"OWY (Above 5,750')",2103.39,0.17,1877707.0
25,"OWY (Below 5,750')",8594.05,0.0,219388.0
26,PARW,2401.75,0.46,0.0
27,PRV,2664.49,0.0,3665243.0
28,PWDO,347.97,0.77,806677.0
29,RIM,186.0,3.27,284704.0
30,RIR,638.42,0.07,168128.0
31,TEAI,874.62,4.12,1075738.0
32,UNY,310.23,0.49,202358.0
33,VALO,2567.48,0.0,0.0
34,WAR,1075.0,0.23,507468.0
35,WLD,203.28,0.01,3074.0
36,WOD,273.84,3.03,106078.0
