,4/26/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026
Basin,%4/26 Avg.,%5/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Central Columbia,70,78,10.9,8.1,35.5,"918,664","2,129.50",12.8 ( 7 ),11.4 ( 7 ),NA,19.7
2. Central Puget Sound,90,75,11.3,6.4,34.8,"428,297","1,246.10",20.6 ( 5 ),16.7 ( 5 ),NA,20.4
3. Hood-Sandy-Lower Deschutes,29,33,0.5,0.4,2.3,"98,551","5,083.40",4.7 ( 11 ),4.4 ( 10 ),NA,2.1
4. Klamath,13,12,0.2,0.1,1.1,"57,257","7,543.00",0.4 ( 16 ),0.1 ( 16 ),6.0 ( 3 ),0.1
5. Lewis,21,25,0.8,0.7,3.9,"20,614",583.2,10.1 ( 7 ),8.6 ( 7 ),NA,4.6
6. Lower Cowlitz,32,33,2,1.4,9.2,"14,270",190.5,6.8 ( 2 ),5.6 ( 2 ),NA,1.9
7. Naches,47,48,3.5,2.6,17.6,"84,156",614,21.8 ( 4 ),19.0 ( 4 ),NA,14.3
8. North Puget Sound,103,99,11.1,6.8,31.6,"855,291","2,342.10",25.5 ( 9 ),23.3 ( 9 ),NA,28.4
9. Olympic,57,50,10.7,6.3,33.8,"79,541",236.4,12.3 ( 3 ),10.1 ( 3 ),4.2 ( 2 ),16.7
10. Rogue-Umpqua,20,11,0.7,0.3,2.7,"50,704","3,388.60",0.1 ( 6 ),0.1 ( 6 ),0.0 ( 10 ),0.3
11. South Puget Sound,48,73,2.3,2.2,10.9,"134,429","1,146.00",10.0 ( 12 ),7.3 ( 14 ),NA,12.6
12. Upper Columbia,81,105,3.4,2.7,13.1,"784,918","5,486.20",8.0 ( 7 ),7.8 ( 7 ),NA,6.1
13. Upper Cowlitz,49,46,3.7,2.5,15.4,"95,062",717.7,12.7 ( 3 ),9.2 ( 3 ),NA,15.2
14. Upper Deschutes-Crooked,22,23,0.6,0.4,2.2,"110,607","5,681.70",1.8 ( 7 ),1.7 ( 7 ),NA,0.5
15. Upper Yakima,41,36,3.2,1.9,12.1,"106,860","1,031.70",1.6 ( 3 ),0.0 ( 3 ),NA,5.5
16. Willamette,25,23,0.3,0.2,1.1,"103,783","11,470.90",0.1 ( 18 ),0.0 ( 18 ),NA,0.2
