,,4/19/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026,4/26/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026
Basin,Elevation Band,%4/19 Avg.,%4/26 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
10. Stanislaus,"9,000-10,000'",13,47,8,13.9,74.3,"38,285",51.6,13.7 ( 1 ),14.8 ( 1 ),14
10. Stanislaus,"10,000-11,000'",12,62,9.8,23.7,68.4,"15,351",12.2,NA,NA,15.8
10. Stanislaus,"11,000-12,000'",13,69,7.8,25.2,61.2,519,0.4,NA,NA,11.5
11. Tuolumne§,"5,000-6,000'",1,0,0,0,0.1,11,168,NA,NA,0.1
11. Tuolumne§,"6,000-7,000'",12,7,0.4,0.3,15,"2,122",140.9,0.3 ( 1 ),2.3 ( 1 ),1
11. Tuolumne§,"7,000-8,000'",17,21,1.4,1.2,66.2,"9,234",149.1,6.0 ( 2 ),6.4 ( 2 ),3.1
11. Tuolumne§,"8,000-9,000'",14,27,4.7,4.6,71.7,"40,940",167.9,5.5 ( 3 ),6.2 ( 3 ),11.5
11. Tuolumne§,"9,000-10,000'",13,40,8.1,11.8,75,"110,734",176.1,12.3 ( 2 ),12.6 ( 2 ),19.1
11. Tuolumne§,"10,000-11,000'",13,49,9.6,16,79,"73,771",86.6,NA,NA,18.2
11. Tuolumne§,"11,000-12,000'",13,51,8.6,14.5,80,"18,554",24,NA,NA,12.6
11. Tuolumne§,"12,000-13,000'",15,48,6.8,10,76,"1,288",2.4,NA,NA,9.8
12. Merced§,"5,000-6,000'",0,0,0,0,0,0,69.7,NA,NA,0.1
12. Merced§,"6,000-7,000'",2,2,0.1,0.1,3.1,218,78.3,NA,NA,0.8
12. Merced§,"7,000-8,000'",9,9,1.3,0.7,24.7,"5,207",131.9,NA,NA,2.6
12. Merced§,"8,000-9,000'",16,25,3.7,3.2,71.8,"21,051",123.4,6.8 ( 2 ),7.5 ( 2 ),10.5
12. Merced§,"9,000-10,000'",15,32,6.2,6.5,83.4,"29,255",84.1,NA,NA,20.8
12. Merced§,"10,000-11,000'",13,40,8.9,12.3,79.3,"25,946",39.7,NA,NA,22.5
12. Merced§,"11,000-12,000'",10,61,10.8,24.2,79.2,"14,353",11.1,NA,NA,21.1
12. Merced§,"12,000-13,000'",9,67,15.4,28.5,94.1,"2,057",1.4,NA,NA,21.5
13. San Joaquin§,"5,000-6,000'",0,0,0,0,0.3,69,137.2,NA,NA,0
13. San Joaquin§,"6,000-7,000'",1,0,0,0,1.3,358,177.6,0.0 ( 3 ),0.3 ( 3 ),0.3
13. San Joaquin§,"7,000-8,000'",5,6,0.4,0.3,12,"3,647",214.2,2.4 ( 3 ),2.7 ( 3 ),1.4
13. San Joaquin§,"8,000-9,000'",13,20,3.4,2.2,48.7,"22,604",195.3,NA,NA,7.6
13. San Joaquin§,"9,000-10,000'",14,32,9.1,6.3,71.7,"67,279",201.4,2.2 ( 1 ),1.3 ( 1 ),13.8
13. San Joaquin§,"10,000-11,000'",14,38,14.5,10.5,79.1,"88,013",157.5,NA,NA,13.1
13. San Joaquin§,"11,000-12,000'",12,43,15.7,14.7,79.8,"89,739",114.6,NA,NA,11.9
13. San Joaquin§,"12,000-13,000'",12,54,12.8,19.2,78.5,"26,779",26.2,NA,NA,8.1
13. San Joaquin§,"13,000-14,000'",14,44,6.8,13.2,75.3,"1,016",1.4,NA,NA,4.8
14. Kings§,"5,000-6,000'",0,0,0,0,0,0,95.6,NA,NA,0.1
14. Kings§,"6,000-7,000'",0,0,0,0,0,0,128.5,0.0 ( 1 ),0.0 ( 1 ),0.3
14. Kings§,"7,000-8,000'",1,1,0.1,0.1,1.5,654,168.2,0.0 ( 1 ),0.7 ( 1 ),1
14. Kings§,"8,000-9,000'",9,14,1.2,1.9,28,"21,315",212.7,0.0 ( 1 ),0.0 ( 1 ),5.8
14. Kings§,"9,000-10,000'",14,29,4,5.3,61.3,"60,710",216.8,18.3 ( 1 ),15.5 ( 2 ),10.9
14. Kings§,"10,000-11,000'",15,35,7.6,7.9,74,"83,001",196.9,9.7 ( 2 ),10.6 ( 2 ),12.1
14. Kings§,"11,000-12,000'",13,46,10.1,13,75.4,"102,368",147.8,NA,NA,13.1
14. Kings§,"12,000-13,000'",12,51,10,15.6,72.4,"36,691",44.1,NA,NA,11.1
14. Kings§,"13,000-14,000'",13,53,8.4,15.8,74.4,"2,359",2.8,NA,NA,6.9
15. Kaweah,"5,000-6,000'",0,0,0,0,0,0,55.5,NA,NA,0.1
15. Kaweah,"6,000-7,000'",0,0,0,0,0,0,59.5,0.0 ( 1 ),0.0 ( 1 ),0.4
15. Kaweah,"7,000-8,000'",3,1,0.2,0.1,1.5,198,60.1,NA,NA,1
15. Kaweah,"8,000-9,000'",11,13,1.5,1.6,32.6,"4,835",56.8,NA,NA,3.2
15. Kaweah,"9,000-10,000'",14,26,3.7,4.5,65.4,"10,540",43.4,NA,NA,6.5
15. Kaweah,"10,000-11,000'",14,35,6.2,8.6,78.4,"13,680",29.8,NA,NA,9.6
15. Kaweah,">11,000'",13,47,8.3,16.6,73.1,"8,212",9.3,NA,NA,12.8
16. Tule,"5,000-6,000'",0,0,0,0,0,0,51.6,NA,NA,0.1
16. Tule,"6,000-7,000'",0,0,0,0,0,0,40,NA,NA,0.3
16. Tule,"7,000-8,000'",0,0,0,0,0,0,26.8,0.0 ( 1 ),0.5 ( 1 ),0.4
16. Tule,"8,000-9,000'",3,5,0.4,0.6,13.3,496,15.2,NA,NA,0.8
16. Tule,"9,000-10,000'",14,24,3.1,4.5,68.8,964,4.1,NA,NA,1.3
17. Kern§,"5,000-6,000'",0,0,0,0,0,0,246.2,NA,NA,0
17. Kern§,"6,000-7,000'",0,0,0,0,0,0,341.5,NA,NA,0
17. Kern§,"7,000-8,000'",0,0,0,0,0.1,65,326.6,0.0 ( 1 ),0.2 ( 1 ),0.1
17. Kern§,"8,000-9,000'",1,1,0.1,0.1,1.1,"1,135",314.7,NA,NA,0.1
17. Kern§,"9,000-10,000'",5,11,1,1.1,12.3,"11,488",189.2,0.0 ( 1 ),0.0 ( 1 ),0.7
