,,2/1/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026,2/8/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026
Basin,Elevation Band,%2/1 Avg.,%2/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,"5,000-6,000'",24,9,1.3,0.5,7.9,"33,583","1,268.90",NA,NA,0.5
1. Bear,"6,000-7,000'",47,39,3.3,3,41.4,"393,554","2,464.70",2.5 ( 3 ),2.4 ( 3 ),1.5
1. Bear,"7,000-8,000'",63,52,5,4.8,58.5,"457,472","1,789.30",6.7 ( 6 ),7.9 ( 5 ),3.8
1. Bear,"8,000-9,000'",79,69,7.7,7.8,91.5,"245,184",585.8,10.6 ( 7 ),10.6 ( 7 ),9
1. Bear,"9,000-10,000'",82,73,8.1,8.4,85.9,"61,323",136.8,5.4 ( 2 ),5.3 ( 2 ),8.4
1. Bear,"10,000-11,000'",73,64,7.9,8.1,78.9,"26,428",61.1,NA,NA,8.2
1. Bear,"11,000-12,000'",74,64,8.9,9.1,71,"7,600",15.7,NA,NA,5.4
1. Bear,"12,000-13,000'",72,63,8.8,8.9,70.2,506,1.1,NA,NA,3.5
2. Beaver,"6,000-7,000'",0,0,0,0,0,0,479.9,NA,NA,0
2. Beaver,"7,000-8,000'",4,1,0.2,0,0.6,163,180.6,NA,NA,0
2. Beaver,"8,000-9,000'",21,11,1.1,0.6,11.7,"2,275",75.9,3.2 ( 1 ),NA,0.8
2. Beaver,"9,000-10,000'",53,39,3.4,2.8,43.8,"9,801",66.3,NA,NA,3.4
2. Beaver,"10,000-11,000'",66,53,5.5,5.1,62.7,"7,427",27.4,6.3 ( 1 ),6.1 ( 1 ),5.6
2. Beaver,"11,000-12,000'",65,58,7.6,7.5,84.1,"2,175",5.4,NA,NA,6.9
3. Blue,"7,000-8,000'",12,5,0.7,0.3,2.6,541,32.9,NA,NA,1.6
3. Blue,"8,000-9,000'",41,39,2.6,2.6,44.7,"14,390",101.8,NA,NA,2.4
3. Blue,"9,000-10,000'",45,42,2.9,3,53.7,"23,994",150.2,3.6 ( 1 ),3.6 ( 1 ),3.2
3. Blue,"10,000-11,000'",47,43,2.9,3,46.3,"25,788",162.3,5.9 ( 2 ),6.0 ( 2 ),4.4
3. Blue,"11,000-12,000'",63,57,5.9,6.2,73.4,"53,997",163.9,5.3 ( 2 ),5.5 ( 2 ),4.7
3. Blue,"12,000-13,000'",67,60,7.3,7.7,79.9,"27,349",66.3,NA,NA,3.5
3. Blue,">13,000'",67,60,7.7,8.2,70.3,"2,837",6.5,NA,NA,2
4. Canadian,"8,000-9,000'",6,2,0.1,0,1.2,"1,909",737,NA,NA,0
