,,3/1/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026,3/8/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026
Basin,Elevation Band,%3/1 Avg.,%3/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,"5,000-6,000'",26,25,1.6,1.3,31.6,"86,015","1,268.90",NA,NA,0.7
1. Bear,"6,000-7,000'",44,49,3.6,4.3,45.7,"559,174","2,464.70",3.0 ( 3 ),3.4 ( 3 ),2.3
1. Bear,"7,000-8,000'",63,73,6.5,8.3,72.4,"791,361","1,789.30",9.6 ( 6 ),10.7 ( 6 ),6.6
1. Bear,"8,000-9,000'",82,87,11,12.7,96.2,"396,065",585.8,15.6 ( 7 ),17.6 ( 7 ),14.9
1. Bear,"9,000-10,000'",87,91,11.9,13.5,92.6,"98,248",136.8,8.4 ( 2 ),9.9 ( 2 ),13.8
1. Bear,"10,000-11,000'",78,89,11.9,14.3,87.2,"46,541",61.1,NA,NA,14.6
1. Bear,"11,000-12,000'",78,88,12.9,15.4,86.9,"12,938",15.7,NA,NA,10.8
1. Bear,"12,000-13,000'",79,86,13,14.9,86.5,845,1.1,NA,NA,8.5
2. Beaver,"6,000-7,000'",6,0,0.2,0,0,0,479.9,NA,NA,0.1
2. Beaver,"7,000-8,000'",15,1,0.7,0,1.2,399,180.6,NA,NA,0.4
2. Beaver,"8,000-9,000'",38,24,2.3,1.5,21.6,"6,063",75.9,5.1 ( 1 ),3.2 ( 1 ),2.1
2. Beaver,"9,000-10,000'",67,72,5.9,6.4,65.8,"22,695",66.3,NA,NA,6.2
2. Beaver,"10,000-11,000'",71,88,8.5,10.7,74.6,"15,633",27.4,8.5 ( 1 ),8.8 ( 1 ),9.4
2. Beaver,"11,000-12,000'",64,80,10.1,12.9,86.7,"3,724",5.4,NA,NA,10.3
3. Blue,"7,000-8,000'",4,1,0.3,0.1,0.7,127,32.9,NA,NA,0.3
3. Blue,"8,000-9,000'",44,38,3.3,3.2,43.6,"17,455",101.8,NA,NA,2
3. Blue,"9,000-10,000'",60,57,5,5.1,74.4,"41,004",150.2,5.4 ( 1 ),6.1 ( 1 ),5.1
3. Blue,"10,000-11,000'",66,71,5.6,6.4,75.3,"55,220",162.3,9.3 ( 2 ),10.1 ( 2 ),7.5
3. Blue,"11,000-12,000'",72,79,9.2,10.8,87.8,"94,049",163.9,7.4 ( 2 ),8.2 ( 2 ),7.7
3. Blue,"12,000-13,000'",74,79,11,12.4,91.4,"43,974",66.3,NA,NA,5.6
3. Blue,">13,000'",71,77,11.2,12.9,92.7,"4,462",6.5,NA,NA,3.5
4. Canadian,"8,000-9,000'",0,0,0,0,0,3,737,NA,NA,0
