,4/19/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026,4/26/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026
Basin,%4/19 Avg.,%4/26 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,28,38,0.7,0.6,4.6,"11,052",322.7,NA,NA,0.4
2. Bitterroot,97,103,7.8,6.8,42.6,"703,927","1,955.00",11.1 ( 4 ),10.9 ( 4 ),9.4
3. Carson,13,29,0.7,0.9,10.1,"68,456","1,407.70",3.4 ( 7 ),2.8 ( 7 ),0.7
4. Clearwater Basin,93,103,5.3,4.8,30.5,"1,895,598","7,475.20",19.5 ( 11 ),19.1 ( 11 ),9.2
5. Clover Valley and Franklin,19,23,0.1,0.1,0.7,"17,554","4,115.00",0.0 ( 2 ),0.2 ( 2 ),0
6. Donner und Blitzen,34,49,2.4,2.6,18.9,"30,241",219.9,5.0 ( 2 ),5.0 ( 2 ),2
7. Dry Lake Valley,3,4,0,0,0.4,394,296.3,NA,NA,0
8. Eastern Nevada,5,7,0.1,0.1,1,"16,443","4,375.20",0.6 ( 8 ),0.4 ( 8 ),0.1
9. Flathead,136,150,6.8,6.1,31.4,"2,492,740","7,644.30",19.7 ( 13 ),19.1 ( 13 ),11.2
10. Grande Ronde-Burnt-Powder-Imnaha,52,58,2.2,1.9,11,"550,452","5,316.00",3.8 ( 11 ),3.5 ( 11 ),1.9
11. Guano,0,0,0,0,0,0,"2,062.90",0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,0,0,0,0,0,0,280.6,NA,NA,0
13. John Day,25,36,0.9,1,8.9,"81,386","1,504.70",0.0 ( 2 ),0.8 ( 2 ),0.5
14. Kootenai,95,102,4.4,3.8,21.1,"342,530","1,671.80",16.0 ( 5 ),15.2 ( 5 ),9.5
15. Lake County-Goose Lake,7,8,0.1,0.1,1.1,"23,348","3,623.70",1.4 ( 2 ),0.7 ( 2 ),0
16. Little Humboldt,5,9,0.1,0.1,0.8,"2,396",420.8,0.1 ( 3 ),0.0 ( 3 ),0
17. Lower Clark Fork,109,125,7.8,7,41.7,"548,682","1,474.70",39.0 ( 4 ),41.0 ( 3 ),16
18. Lower Humboldt,7,9,0.1,0,0.5,651,272.6,0.0 ( 1 ),0.0 ( 1 ),0
19. Lower Pend Oreille,99,98,8.1,6.7,39.9,"47,749",133.4,13.5 ( 1 ),11.3 ( 1 ),15.3
20. Lower Snake-Asotin,25,30,0.3,0.2,2.4,"3,614",333.7,0.0 ( 1 ),0.0 ( 1 ),0.3
21. Lower Snake-Tucannon,40,53,1.3,1.2,11.4,"6,710",108.3,NA,NA,2.2
22. Lower Yakima,20,24,0.6,0.5,4.4,"12,673",485,7.3 ( 2 ),6.3 ( 2 ),1
23. Malheur,23,34,0.6,0.7,5.5,"34,948",989.2,0.0 ( 3 ),0.0 ( 3 ),0.1
24. Middle Humboldt,3,4,0,0,0,357,633,NA,NA,0
25. Northern Big Smoky Valley,7,11,0.2,0.2,3,"5,651",572.8,NA,NA,0.1
26. Northern Great Basin,9,13,0.1,0.1,0.4,"6,266","2,224.90",0.0 ( 2 ),0.0 ( 2 ),0
27. Panhandle Basins,91,91,4.2,3.7,21.8,"325,835","1,644.60",20.8 ( 3 ),19.6 ( 3 ),7.7
28. Reese,3,7,0.1,0.1,1.8,"2,771",496.9,0.0 ( 2 ),0.1 ( 2 ),0.1
29. Rock,1,1,0,0,0,75,835.5,0.0 ( 1 ),0.2 ( 1 ),0
30. Salmon Basin,81,83,7.2,6.1,45.4,"3,913,644","11,950.50",15.3 ( 11 ),14.9 ( 11 ),7.1
31. Silver,0,0,0,0,0,0,444.3,NA,NA,0
32. Silvies,6,8,0,0,0.3,"2,398","1,317.40",0.0 ( 2 ),0.0 ( 2 ),0
33. Southern Snake Basins,11,18,0.1,0.1,0.8,"65,466","12,552.70",1.8 ( 13 ),1.5 ( 13 ),0.1
34. Spokane,72,94,1.6,1.5,9.7,"244,387","3,142.80",5.9 ( 8 ),4.1 ( 8 ),4.2
35. St. Mary,107,113,10,8.9,43.3,"316,147",668.1,0.0 ( 1 ),0.2 ( 1 ),8.5
36. Truckee,9,19,0.6,0.8,8.3,"59,318","1,443.60",5.6 ( 9 ),5.8 ( 9 ),0.9
37. Umatilla-Walla Walla-Willow,9,13,0.1,0.1,0.9,"6,519","1,434.30",3.8 ( 7 ),3.1 ( 7 ),0.3
38. Upper Humboldt,26,30,0.3,0.2,1.9,"60,283","5,035.80",1.1 ( 8 ),1.2 ( 8 ),0.1
39. Walker,19,37,0.9,1,10.3,"108,462","1,942.90",8.5 ( 7 ),8.8 ( 7 ),1.5
40. West Central Basins,58,63,5,4.4,30.3,"1,326,425","5,702.10",9.2 ( 16 ),8.6 ( 16 ),5.5
