,4/19/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026,4/26/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026
Basin,%4/19 Avg.,%4/26 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,18,18,0.8,0.6,9.8,"191,769","6,323.40",3.8 ( 18 ),3.4 ( 18 ),1.4
2. Beaver,11,9,0.2,0.1,2.5,"4,181",835.5,3.6 ( 2 ),2.7 ( 2 ),0.2
3. Blue§,19,16,2,1,21.8,"36,249",683.9,5.2 ( 5 ),3.4 ( 5 ),2.8
4. Canadian,1,0,0,0,0,73,"1,265.80",0.0 ( 2 ),0.0 ( 2 ),0
5. Colorado Headwaters§,17,12,1.6,0.7,12.6,"108,869","2,906.10",5.0 ( 13 ),3.8 ( 13 ),1.6
6. Colorado Headwaters-Plateau,17,11,0.9,0.4,7.8,"38,617","1,813.00",0.7 ( 1 ),0.3 ( 1 ),0.4
7. Eagle,16,13,1.3,0.9,13.7,"42,005",918,0.0 ( 3 ),0.0 ( 3 ),2.4
8. Gila,0,0,0,0,0,0,"4,926.30",0.1 ( 6 ),0.1 ( 6 ),0
9. Gunnison§,16,12,0.9,0.5,9.2,"178,904","6,459.70",1.5 ( 11 ),1.1 ( 11 ),0.6
10. Little Colorado,5,5,0,0,0,409,"16,398.00",0.1 ( 4 ),0.1 ( 5 ),0
11. Lower Colorado Mainstream,1,0,0,0,0,118,"10,697.40",0.1 ( 5 ),0.0 ( 5 ),0
12. Lower Green§,15,11,0.8,0.5,9.8,"137,528","5,693.80",1.2 ( 24 ),0.9 ( 24 ),0.7
13. Lower Rio Grande,0,1,0,0,0,54,"1,796.70",0.4 ( 6 ),0.0 ( 6 ),0
14. Lower Sevier,3,1,0,0,0.3,550,906.4,0.0 ( 3 ),0.0 ( 4 ),0
15. Pecos,2,1,0,0,0.2,197,332.1,0.0 ( 2 ),0.0 ( 2 ),0
16. Provo-Utah Lake-Jordan,13,11,0.6,0.3,8.4,"47,399","2,694.10",2.8 ( 18 ),2.4 ( 18 ),0.4
17. Rio Chama-Upper Rio Grande,9,3,0.1,0,0.7,"7,711","5,227.90",0.7 ( 13 ),0.7 ( 13 ),0.2
18. Rio Grande Headwaters§,16,10,0.4,0.2,4.4,"68,057","7,613.30",1.5 ( 14 ),1.2 ( 14 ),0.2
19. Roaring Fork§,21,16,2.1,1.3,25.2,"94,338","1,360.30",3.7 ( 7 ),2.2 ( 7 ),3.4
20. Salt,0,0,0,0,0,0,"2,360.60",0.1 ( 8 ),0.1 ( 8 ),0
21. San Juan**,20,13,0.6,0.3,6.6,"95,430","6,425.50",1.5 ( 15 ),0.9 ( 15 ),0.5
22. San Pitch,15,13,0.5,0.3,7.1,"14,171",859.5,0.0 ( 6 ),0.1 ( 6 ),0
23. South Platte§,17,12,0.5,0.3,5.4,"79,977","5,641.90",3.8 ( 21 ),2.3 ( 21 ),0.7
24. Southwestern Utah,6,5,0,0,0.6,"1,407","1,446.90",0.3 ( 5 ),0.0 ( 5 ),0
25. Toole Valley-Vernon Creek,9,9,0.1,0.1,0.5,"2,568",902.1,0.0 ( 4 ),0.0 ( 4 ),0
26. Upper Arkansas,17,13,0.4,0.2,3.7,"74,285","5,892.20",0.4 ( 7 ),0.2 ( 7 ),0.3
27. Upper Colorado-Dirty Devil,9,9,0.2,0.1,3,"18,112","2,608.00",1.0 ( 7 ),0.3 ( 7 ),0.4
28. Upper Colorado-Dolores§,11,9,0.4,0.2,4.2,"31,995","3,453.30",1.9 ( 9 ),1.5 ( 9 ),0.5
29. Upper Sevier,8,7,0.2,0.1,2.9,"20,515","3,767.80",1.2 ( 16 ),0.9 ( 16 ),0.1
30. Verde,2,3,0,0,0,24,"1,820.70",0.1 ( 6 ),0.1 ( 7 ),0
31. Weber-Ogden§,13,11,0.6,0.4,9.2,"47,298","2,046.60",2.6 ( 17 ),1.6 ( 17 ),0.6
32. White-Yampa§,14,11,1,0.6,9.4,"182,209","5,952.40",4.4 ( 15 ),3.2 ( 15 ),1.2
33. Animas,21,15,1.6,0.9,19.9,"45,578",922.5,1.9 ( 6 ),0.8 ( 6 ),2
