No.,Basin Code,Area (mi2),SWE (in.),Vol (AF)
01,AND,975.68,4.98,0.0
02,BEU,447.3,0.61,277586.0
03,BUL,552.61,0.0,19465.0
04,BUM,69.5,3.26,0.0
05,CCL,6.66,0.0,3341.0
06,CCR,112.55,1.26,94837.0
07,CLE,202.03,5.88,7408.0
08,CMO,53.76,16.38,12538.0
09,CSC,614.19,6.84,528775.0
10,DED,109.17,12.45,0.0
11,GRS,3.86,8.18,144.0
12,HEII,4918.27,6.17,1210.0
13,HGH,1660.82,11.31,0.0
14,HRSI,1492.86,5.11,0.0
15,ISL,499.81,4.15,296328.0
16,JCK,804.44,11.11,0.0
17,KAC,63.13,2.54,0.0
18,KEE,54.44,2.95,0.0
19,LUC,1711.11,3.52,257354.0
20,MAN,56.18,0.28,2865.0
21,MCK,194.21,0.0,136245.0
22,NACW,685.52,1.2,0.0
23,OCH,290.83,0.0,13996.0
24,"OWY (Above 5,750')",2103.39,0.1,1920818.0
25,"OWY (Below 5,750')",8594.05,0.0,101211.0
26,PARW,2401.75,0.29,0.0
27,PRV,2664.49,0.0,3072650.0
28,PWDO,347.97,0.69,785492.0
29,RIM,186.0,2.62,226764.0
30,RIR,638.42,0.05,116636.0
31,TEAI,874.62,4.33,1136707.0
32,UNY,310.23,0.33,93675.0
33,VALO,2567.48,0.0,0.0
34,WAR,1075.0,0.18,274815.0
35,WLD,203.28,0.0,1654.0
36,WOD,273.84,3.2,97294.0
