,4/12/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026,4/19/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026
Basin,%4/12 Avg.,%4/19 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,17,18,0.9,0.8,11,"262,789","6,323.40",4.0 ( 18 ),3.8 ( 18 ),1.6
2. Beaver,9,11,0.1,0.2,2.9,"7,284",835.5,3.1 ( 2 ),3.6 ( 2 ),0.3
3. Blue,21,19,1.8,2,28.8,"72,528",683.9,5.3 ( 5 ),5.2 ( 5 ),3.3
4. Canadian,1,1,0,0,0,220,"1,265.80",0.1 ( 2 ),0.0 ( 2 ),0
5. Colorado Headwaters§,17,17,1.3,1.6,18.7,"253,025","2,906.10",4.8 ( 13 ),5.0 ( 13 ),2.1
6. Colorado Headwaters-Plateau,17,17,0.9,0.9,12.4,"85,016","1,813.00",0.7 ( 1 ),0.7 ( 1 ),0.6
7. Eagle,17,16,1.5,1.3,18.4,"64,397",918,0.0 ( 3 ),0.0 ( 3 ),3
8. Gila,0,0,0,0,0,0,"4,926.30",0.0 ( 6 ),0.1 ( 6 ),0
9. Gunnison§,16,16,1,0.9,13.6,"318,424","6,459.70",1.6 ( 11 ),1.5 ( 11 ),0.9
10. Little Colorado,2,5,0,0,0,676,"16,398.00",0.2 ( 5 ),0.1 ( 4 ),0
11. Lower Colorado Mainstream,1,1,0,0,0.1,"1,402","10,697.40",0.1 ( 5 ),0.1 ( 5 ),0
12. Lower Green§,15,15,0.9,0.8,12.1,"245,440","5,693.80",1.3 ( 24 ),1.2 ( 24 ),0.9
13. Lower Rio Grande,0,0,0,0,0,72,"1,796.70",0.1 ( 6 ),0.4 ( 6 ),0
14. Lower Sevier,2,3,0,0,1,"1,865",906.4,0.0 ( 4 ),0.0 ( 3 ),0
15. Pecos,3,2,0.1,0,0.4,507,332.1,0.1 ( 2 ),0.0 ( 2 ),0.1
16. Provo-Utah Lake-Jordan,14,13,0.7,0.6,10,"91,431","2,694.10",3.1 ( 18 ),2.8 ( 18 ),0.8
17. Rio Chama-Upper Rio Grande,6,9,0.1,0.1,2.1,"27,983","5,227.90",0.8 ( 12 ),0.7 ( 13 ),0.2
18. Rio Grande Headwaters,14,16,0.4,0.4,6.8,"174,032","7,613.30",1.5 ( 14 ),1.5 ( 14 ),0.3
19. Roaring Fork§,25,21,2.3,2.1,31.2,"149,742","1,360.30",3.8 ( 7 ),3.7 ( 7 ),4.2
20. Salt,0,0,0,0,0,0,"2,360.60",0.0 ( 8 ),0.1 ( 8 ),0
21. San Juan**,18,20,0.5,0.6,8.8,"182,373","6,425.50",1.6 ( 15 ),1.5 ( 15 ),0.6
22. San Pitch,15,15,0.5,0.5,8.3,"22,226",859.5,0.0 ( 6 ),0.0 ( 6 ),0.1
23. South Platte§,17,17,0.5,0.5,7.3,"136,421","5,641.90",3.8 ( 21 ),3.8 ( 21 ),1
24. Southwestern Utah,3,6,0,0,0.9,"2,863","1,446.90",0.2 ( 5 ),0.3 ( 5 ),0
25. Toole Valley-Vernon Creek,7,9,0.1,0.1,0.9,"3,981",902.1,0.3 ( 4 ),0.0 ( 4 ),0.1
26. Upper Arkansas,17,17,0.4,0.4,5,"120,382","5,892.20",0.6 ( 7 ),0.4 ( 7 ),0.4
27. Upper Colorado-Dirty Devil,5,9,0.1,0.2,4.1,"25,375","2,608.00",1.1 ( 7 ),1.0 ( 7 ),0.6
28. Upper Colorado-Dolores§,10,11,0.3,0.4,5.5,"65,308","3,453.30",1.9 ( 9 ),1.9 ( 9 ),0.6
29. Upper Sevier,4,8,0.1,0.2,4,"33,340","3,767.80",1.0 ( 16 ),1.2 ( 16 ),0.2
30. Verde,0,2,0,0,0,38,"1,820.70",0.0 ( 7 ),0.1 ( 6 ),0
31. Weber-Ogden§,13,13,0.7,0.6,12.2,"70,179","2,046.60",2.5 ( 17 ),2.6 ( 17 ),0.9
32. White-Yampa§,14,14,1,1,12,"302,203","5,952.40",4.5 ( 15 ),4.4 ( 15 ),1.6
33. Animas,22,21,1.7,1.6,24.9,"77,818",922.5,1.8 ( 6 ),1.9 ( 6 ),2.3
