,4/19/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026,4/26/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026
Basin,%4/19 Avg.,%4/26 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,0,0,0,0,0,0,"7,233.40",0.0 ( 1 ),0.0 ( 1 ),0.1
2. Bighorn,62,63,1.2,1,6.5,"496,163","8,864.60",9.5 ( 6 ),8.6 ( 7 ),1.4
3. Cheyenne,0,0,0,0,0,0,"15,359.30",0.1 ( 2 ),0.1 ( 2 ),0.2
4. Gallatin,71,78,4.2,3.9,23.9,"381,820","1,848.40",16.2 ( 4 ),16.4 ( 4 ),6.2
5. Glendo,0,0,0,0,0,8,714.1,0.8 ( 4 ),0.2 ( 4 ),0.1
6. Jefferson,57,72,2.5,2.3,15.4,"1,100,269","8,812.20",11.6 ( 14 ),11.7 ( 14 ),3.1
7. Lower Bighorn,54,54,0.4,0.3,3.2,"57,035","3,259.10",NA,NA,0.4
8. Lower No Platte,0,0,0,0,0,0,824,NA,NA,0
9. Lower Shoshone,26,25,0.1,0.1,0.4,"4,762","1,474.60",NA,NA,0.3
10. Madison Headwaters in WY,61,70,4.7,4.5,30.4,"607,226","2,557.60",11.9 ( 7 ),12.2 ( 7 ),8.1
11. Powder,31,34,0.1,0.1,0.8,"78,982","13,397.20",2.4 ( 4 ),2.4 ( 4 ),0.3
12. Smith-Judith-Musselshell,46,56,0.7,0.5,4.1,"233,892","8,339.80",10.0 ( 8 ),9.0 ( 8 ),1
13. Snake,65,70,7.5,6.7,43.7,"2,061,056","5,741.50",11.9 ( 11 ),10.9 ( 11 ),8.3
14. Sun-Teton-Marias,103,125,1.2,1.1,5.6,"613,244","10,541.30",4.9 ( 5 ),4.0 ( 5 ),1.5
15. Sweetwater,13,16,0.3,0.3,2.4,"17,015","1,201.20",4.0 ( 2 ),2.8 ( 2 ),0.3
16. Tongue,52,52,0.4,0.4,3.5,"116,408","5,405.20",4.3 ( 5 ),3.1 ( 6 ),0.6
17. Upper Clark Fork,107,134,3.6,3.3,20.2,"1,041,406","6,006.90",12.9 ( 11 ),11.5 ( 12 ),5.2
18. Upper Green§,46,50,1.8,1.4,12.9,"725,250","9,583.60",5.5 ( 21 ),5.0 ( 20 ),2.7
19. Upper Missouri,50,72,0.7,0.6,4.5,"96,865","2,956.30",0.0 ( 2 ),0.5 ( 2 ),0.8
20. Upper No Platte,13,11,0.5,0.3,6.5,"129,566","7,590.10",8.6 ( 16 ),7.1 ( 16 ),1
21. Upper Shoshone,102,105,8.3,7.6,37.9,"607,601","1,505.30",7.8 ( 3 ),6.9 ( 4 ),8.7
22. Upper Snake Basins,34,45,1.8,1.7,11.3,"616,278","6,974.50",6.3 ( 11 ),6.6 ( 11 ),2.7
23. Upper Yellowstone,91,96,5.4,5,28.7,"2,975,153","11,233.00",12.9 ( 18 ),11.7 ( 20 ),6.6
24. Wind,73,75,2.2,2,12.1,"810,339","7,750.00",6.0 ( 8 ),5.5 ( 8 ),2.6
25. Wood and Lost Basins,54,60,2.2,1.9,13.9,"767,227","7,420.10",5.4 ( 16 ),4.8 ( 16 ),1.5
