,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,Elevation Band,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
0. Trinity,"5,000-6,000'",24,16,3.1,2.5,36.1,"20,141",152.3,3.6 ( 2 ),2.4 ( 2 ),NA,4.6
0. Trinity,"6,000-7,000'",51,40,9.9,8.7,78.1,"62,020",133,9.0 ( 5 ),8.9 ( 5 ),11.5 ( 1 ),7.2
0. Trinity,"7,000-8,000'",56,49,14.5,13.3,86.5,"24,891",35.1,NA,NA,13.5 ( 1 ),7.7
0. Trinity,"8,000-9,000'",60,51,20.1,16,79.4,825,1,NA,NA,NA,8.5
1. Upper Sacramento,"5,000-6,000'",37,26,4.7,3.8,49,"12,975",64.1,6.4 ( 1 ),2.5 ( 1 ),6.5 ( 1 ),5
1. Upper Sacramento,"6,000-7,000'",55,43,9.9,9,72,"17,280",36.2,16.4 ( 1 ),17.1 ( 1 ),NA,8.9
1. Upper Sacramento,"7,000-8,000'",59,50,12.8,12,73.6,"5,626",8.8,NA,NA,31.0 ( 1 ),17.1
1. Upper Sacramento,"8,000-9,000'",59,55,14.2,14.8,71.9,"1,827",2.3,NA,NA,NA,31.2
1. Upper Sacramento,"9,000-10,000'",63,55,19.3,16.8,79.7,"1,555",1.7,NA,NA,NA,48.3
1. Upper Sacramento,"10,000-11,000'",67,72,25.6,26.6,79.8,"1,234",0.9,NA,NA,NA,47.4
1. Upper Sacramento,">11,000'",66,72,30,30.1,75.7,"1,861",1.2,NA,NA,NA,41.7
2. McCloud,"5,000-6,000'",43,29,4.5,3.8,59.1,"19,762",96.8,15.5 ( 1 ),11.2 ( 1 ),NA,10.4
2. McCloud,"6,000-7,000'",58,42,8.4,7.4,84.2,"16,493",41.7,NA,NA,NA,13.7
2. McCloud,"7,000-8,000'",58,48,10.9,10.5,81.5,"7,945",14.2,NA,NA,NA,27
2. McCloud,"8,000-9,000'",61,55,13.4,13.6,78.4,"4,680",6.5,NA,NA,NA,45.6
2. McCloud,"9,000-10,000'",61,59,17.8,17.5,81.3,"2,884",3.1,NA,NA,NA,50.6
2. McCloud,"10,000-11,000'",61,61,23,21.9,94.5,"1,688",1.4,NA,NA,NA,58.8
2. McCloud,">11,000'",67,63,38,30.9,97.3,"1,911",1.2,NA,NA,NA,53.1
3. Pit,"5,000-6,000'",19,17,0.7,0.9,31.6,"69,063","1,428.20",17.0 ( 1 ),12.1 ( 1 ),NA,1.9
3. Pit,"6,000-7,000'",42,38,4.1,4.3,56.3,"115,945",507.2,10.5 ( 2 ),9.9 ( 2 ),5.0 ( 1 ),4.5
3. Pit,"7,000-8,000'",59,57,8.9,9.3,70.5,"64,201",129.4,6.0 ( 2 ),5.1 ( 2 ),NA,8.3
3. Pit,"8,000-9,000'",71,71,13.1,13.6,81.2,"14,036",19.4,NA,NA,NA,11.4
3. Pit,">9,000'",71,72,16.4,16.7,87.2,"1,716",1.9,NA,NA,NA,18.2
4. Sacramento at Bend Bridge,"5,000-6,000'",6,5,0.5,0.4,5.2,"3,603",156.3,NA,NA,NA,3.9
4. Sacramento at Bend Bridge,"6,000-7,000'",46,36,6.3,5.6,42.7,"18,962",63.1,NA,NA,NA,7.3
4. Sacramento at Bend Bridge,"7,000-8,000'",70,63,15.3,14.6,75.6,"12,206",15.6,NA,NA,NA,13.7
4. Sacramento at Bend Bridge,"8,000-9,000'",67,68,18.4,19.2,69.5,"4,446",4.3,NA,NA,NA,21.1
4. Sacramento at Bend Bridge,">9,000'",69,68,20.7,20.9,51.7,644,0.6,NA,NA,NA,28.6
5. Feather§,"5,000-6,000'",69,54,3,3.3,70.9,"224,042","1,257.10",18.5 ( 1 ),16.3 ( 1 ),7.6 ( 10 ),6
5. Feather§,"6,000-7,000'",84,62,7,6.6,85.9,"257,232",732.9,13.7 ( 5 ),12.4 ( 5 ),14.8 ( 8 ),9
5. Feather§,"7,000-8,000'",79,67,11.4,11.6,89.6,"75,802",122.6,7.8 ( 1 ),8.0 ( 1 ),13.0 ( 2 ),9.2
5. Feather§,"8,000-9,000'",78,71,18.7,18.5,92.7,"4,758",4.8,NA,NA,NA,11.9
6. Yuba§,"5,000-6,000'",55,47,4.5,4,55.6,"41,407",193.5,NA,NA,12.0 ( 2 ),8.8
6. Yuba§,"6,000-7,000'",67,59,11.1,8.5,83,"97,013",213.6,20.8 ( 4 ),19.5 ( 4 ),17.1 ( 4 ),14
6. Yuba§,"7,000-8,000'",73,71,15.7,19,91.1,"114,411",113.1,NA,NA,23.7 ( 3 ),16.1
6. Yuba§,"8,000-9,000'",73,77,19.4,29.5,90.7,"8,339",5.3,NA,NA,NA,24
7. American,"5,000-6,000'",49,58,4.5,6.6,64.4,"103,152",294.8,7.7 ( 4 ),5.1 ( 4 ),NA,4.9
7. American,"6,000-7,000'",75,64,12,11.8,85.8,"167,679",267.6,16.4 ( 2 ),15.6 ( 2 ),17.0 ( 2 ),9.9
7. American,"7,000-8,000'",79,72,16.5,16.5,91.2,"148,163",168.1,16.4 ( 4 ),14.6 ( 4 ),14.5 ( 2 ),17.2
7. American,"8,000-9,000'",77,80,18.7,20.8,87.8,"76,628",69.1,21.9 ( 3 ),23.2 ( 3 ),NA,20.6
7. American,"9,000-10,000'",77,85,21.2,24.3,85.7,"9,633",7.4,NA,NA,NA,22.4
8. Cosumnes,"5,000-6,000'",100,97,6.7,8.1,83.3,"25,992",60.5,NA,NA,NA,5.4
8. Cosumnes,"6,000-7,000'",74,65,10,10.1,79.8,"12,812",23.7,NA,NA,NA,8.4
8. Cosumnes,"7,000-8,000'",88,74,17.2,16,96.3,"6,515",7.6,NA,NA,NA,16.4
9. Mokelumne,"5,000-6,000'",79,56,5,4.6,45.3,"20,130",82.5,NA,NA,NA,7.6
9. Mokelumne,"6,000-7,000'",75,59,9.5,8.9,72.6,"30,235",63.5,17.9 ( 1 ),17.4 ( 1 ),13.5 ( 1 ),9.8
9. Mokelumne,"7,000-8,000'",84,75,16.1,16,90.2,"73,677",86.4,NA,NA,18.3 ( 3 ),16
9. Mokelumne,"8,000-9,000'",80,80,18.2,19.8,88.5,"82,240",77.9,21.5 ( 2 ),25.1 ( 2 ),25.1 ( 4 ),19.8
9. Mokelumne,">9,000'",81,88,20.6,23.7,85.7,"9,501",7.5,NA,NA,NA,23
10. Stanislaus,"5,000-6,000'",44,58,2.6,4.2,42.5,"23,853",105.6,NA,NA,NA,7.6
10. Stanislaus,"6,000-7,000'",56,53,7.2,8,62.7,"57,129",133.9,NA,NA,10.8 ( 2 ),10.2
10. Stanislaus,"7,000-8,000'",87,74,15.2,14.8,90.1,"113,267",143.8,17.0 ( 1 ),16.7 ( 1 ),18.0 ( 6 ),13.7
10. Stanislaus,"8,000-9,000'",83,80,18.1,18.9,89.3,"116,480",115.4,23.3 ( 2 ),24.9 ( 2 ),27.0 ( 2 ),16.3
10. Stanislaus,"9,000-10,000'",81,85,20.8,22.9,85.6,"62,948",51.6,21.6 ( 1 ),21.1 ( 1 ),22.2 ( 2 ),19.1
10. Stanislaus,"10,000-11,000'",81,85,23.4,25.4,79,"16,472",12.2,NA,NA,NA,20.7
10. Stanislaus,"11,000-12,000'",87,87,24,24.7,74.8,510,0.4,NA,NA,NA,14.6
11. Tuolumne§,"5,000-6,000'",106,95,5.5,6.2,64.5,"55,691",168,NA,NA,NA,4
