No.,Basin Code,Area (mi2),SWE (in.),Vol (AF)
1,AND,975.68,8.51,5011
2,BEU,447.3,2.22,602361
3,BUL,552.61,0.01,82840
4,BUM,69.5,7.33,0
5,CCL,6.66,0.38,8282
6,CCR,112.55,8.92,141991
7,CLE,202.03,13.93,203833
8,CMO,53.76,15.48,38333
9,CSC,614.19,11.33,1203102
10,DED,109.17,16.3,389
11,GRS,3.86,13.04,1071
12,HEII,4918.27,11.99,290118
13,HGH,1660.82,12.76,579385
14,HRSI,1492.86,8.27,39502
15,ISL,499.81,10.1,454475
16,JCK,804.44,15.23,46428
17,KAC,63.13,7.05,643
18,KEE,54.44,9.37,19547
19,LUC,1711.11,6.03,1077447
20,MAN,56.18,3.92,13934
21,MCK,194.21,0,286038
22,NACW,685.52,3.67,0
23,OCH,290.83,0.1,81190
24,"OWY (Above 5,750')",2103.39,0.83,1898139
25,"OWY (Below 5,750')",8594.05,0,2174891
26,PARW,2401.75,1.71,0
27,PRV,2664.49,0.22,4886812
28,PWDO,347.97,1.67,1004955
29,RIM,186,4.94,361956
30,RIR,638.42,6.74,333315
31,TEAI,874.62,9.27,1013343
32,UNY,310.23,1.52,307110
33,VALO,2567.48,0.04,117583
34,WAR,1075,0.81,806258
35,WLD,203.28,0.46,28570
36,WOD,273.84,5.45,151826
