,4/19/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026,4/26/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026
Basin,%4/19 Avg.,%4/26 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,7,8,1.5,2.1,40,"35,295",321.4,0.4 ( 6 ),0.7 ( 6 ),1.5
1. Upper Sacramento,7,15,1.6,3.7,39.3,"22,800",115.2,0.8 ( 2 ),0.5 ( 2 ),3.2
2. McCloud,7,20,1.6,4.4,28.1,"38,443",164.9,0.0 ( 1 ),0.3 ( 1 ),5.9
3. Pit,10,13,0.5,0.4,4.7,"47,736","2,086.20",0.5 ( 5 ),0.5 ( 5 ),0.1
4. Sacramento at Bend Bridge,5,13,0.8,1.6,13.3,"19,901",240,NA,NA,1.3
5. Feather§,5,7,0.3,0.3,10.7,"38,850","2,117.50",0.4 ( 6 ),0.3 ( 4 ),0.3
6. Yuba,12,19,2.6,3.2,49,"90,476",525.6,4.7 ( 4 ),3.5 ( 4 ),1.1
7. American,14,25,2.8,3.8,55,"164,146",807,4.5 ( 8 ),4.9 ( 12 ),2
8. Cosumnes,14,12,0.7,0.8,27.5,"3,803",91.9,NA,NA,0.4
9. Mokelumne,14,29,3.1,4.1,54.5,"69,034",317.9,10.4 ( 3 ),10.4 ( 3 ),3.6
10. Stanislaus,14,29,3,3.9,51.4,"116,148",562.9,10.7 ( 4 ),11.3 ( 4 ),4.2
11. Tuolumne§,14,33,3.9,5.3,50.5,"256,655",915,6.7 ( 8 ),7.4 ( 8 ),8.5
12. Merced§,13,26,3.1,3.4,43.6,"98,088",539.4,6.8 ( 2 ),7.5 ( 2 ),8.6
13. San Joaquin§,11,30,5.7,4.6,41.3,"299,505","1,225.40",1.3 ( 7 ),1.5 ( 7 ),6.7
14. Kings§,12,30,3.8,4.7,40.1,"307,099","1,213.40",6.3 ( 6 ),7.5 ( 7 ),7.1
15. Kaweah,11,22,1.6,2.2,24.8,"37,465",314.4,0.0 ( 1 ),0.0 ( 1 ),3.1
16. Tule,3,6,0.1,0.2,3.5,"1,461",137.6,0.0 ( 1 ),0.5 ( 1 ),0.3
17. Kern§,8,24,1.2,1.7,11.4,"151,235","1,682.80",0.0 ( 4 ),2.9 ( 5 ),1.6
18. Truckee,9,20,1.6,2.2,23.4,"49,402",425.4,5.0 ( 6 ),5.3 ( 6 ),2
19. Tahoe,6,16,1.3,1.9,18.5,"52,790",508.3,0.8 ( 7 ),0.0 ( 7 ),1.8
20. W Carson,14,27,2.6,3.5,41.8,"12,243",65.3,6.0 ( 3 ),4.9 ( 3 ),2.6
21. E Carson,13,32,1.5,2.7,29,"51,013",355.2,1.5 ( 4 ),1.3 ( 4 ),2.4
22. W Walker,15,46,4.3,6.9,51.3,"65,883",179.8,12.9 ( 4 ),13.5 ( 4 ),9.4
23. E Walker,26,35,2,1.8,20.3,"33,949",356.3,6.1 ( 1 ),6.2 ( 1 ),2.8
24. Mono,17,34,0.8,0.9,8.9,"51,822","1,085.80",NA,NA,1.2
25. Upper Owens,15,28,1.4,1.4,21.8,"29,341",382.7,18.6 ( 1 ),19.4 ( 1 ),1.1
26. Owens,18,43,0.8,1.1,12.7,"106,035","1,772.90",1.5 ( 4 ),1.5 ( 4 ),1.1
