,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
0. Trinity,41,32,7.2,6.3,59.1,"107,878",321.4,7.5 ( 7 ),7.0 ( 7 ),12.5 ( 2 ),6
1. Upper Sacramento,47,37,7.8,6.9,59.6,"42,358",115.2,11.4 ( 2 ),9.8 ( 2 ),18.8 ( 2 ),9
2. McCloud,51,38,7,6.3,69.4,"55,364",164.9,15.5 ( 1 ),11.2 ( 1 ),NA,15.9
3. Pit,35,33,2.2,2.4,40.5,"264,961","2,086.20",10.0 ( 5 ),8.4 ( 5 ),5.0 ( 1 ),3
4. Sacramento at Bend Bridge,30,25,3.3,3.1,20.9,"39,862",240,NA,NA,NA,5.8
5. Feather§,76,59,4.9,5,77.3,"561,834","2,117.50",13.5 ( 7 ),12.3 ( 7 ),11.0 ( 20 ),7.2
6. Yuba§,66,59,9.7,9.3,74.8,"261,169",525.6,20.8 ( 4 ),19.5 ( 4 ),18.2 ( 9 ),12.6
7. American,70,66,10.8,11.7,79.3,"505,256",807,15.0 ( 13 ),13.8 ( 13 ),15.8 ( 4 ),10.6
8. Cosumnes,89,82,8.4,9.2,83.5,"45,319",91.9,NA,NA,NA,7.1
9. Mokelumne,80,71,12.5,12.7,74.5,"215,784",317.9,20.3 ( 3 ),22.5 ( 3 ),21.1 ( 8 ),13.7
10. Stanislaus,75,71,12.2,13,73.8,"390,660",562.9,21.3 ( 4 ),21.9 ( 4 ),19.0 ( 12 ),12.9
11. Tuolumne§,84,82,13.9,15.4,79.3,"750,406",915,16.7 ( 8 ),16.4 ( 7 ),21.3 ( 6 ),14
12. Merced§,96,87,15,12.6,78.7,"362,479",539.4,25.8 ( 2 ),24.5 ( 2 ),18.9 ( 4 ),17.9
13. San Joaquin,102,89,16.1,15.8,85.6,"1,033,095","1,225.40",20.0 ( 7 ),19.0 ( 7 ),20.8 ( 19 ),17.9
14. Kings§,101,94,16,16.5,80.4,"1,066,718","1,213.40",23.6 ( 7 ),21.7 ( 7 ),21.7 ( 21 ),16.6
15. Kaweah§,102,107,9.6,11.5,75.6,"193,210",314.4,12.7 ( 2 ),12.2 ( 2 ),16.7 ( 3 ),10.6
16. Tule,56,165,3.1,10,75,"73,628",137.6,10.4 ( 1 ),8.5 ( 1 ),NA,3.4
17. Kern§,105,117,7.4,9.8,68,"882,181","1,682.80",18.0 ( 5 ),17.3 ( 5 ),16.3 ( 13 ),5.2
18. Truckee,86,64,11.7,10.4,84.3,"234,882",425.4,15.2 ( 6 ),12.9 ( 6 ),NA,12.2
19. Tahoe,50,41,7.2,6.8,43.8,"184,880",508.3,14.6 ( 7 ),11.8 ( 7 ),24.5 ( 1 ),9.9
20. W Carson,92,76,15.8,14.6,87.6,"50,860",65.3,18.7 ( 3 ),17.1 ( 3 ),NA,13.9
21. E Carson,93,75,11.3,10.1,84.6,"191,581",355.2,12.1 ( 4 ),10.0 ( 4 ),NA,7.8
22. W Walker,85,77,14.3,14,80.5,"134,074",179.8,18.9 ( 4 ),16.9 ( 4 ),18.0 ( 1 ),13.5
23. E Walker,62,53,5.7,4.8,77.3,"91,533",356.3,13.9 ( 1 ),13.2 ( 1 ),NA,5
24. Mono,54,46,3,2.4,50.1,"138,441","1,085.80",NA,NA,25.1 ( 4 ),3.2
25. Upper Owens,94,72,7.9,6.8,71.6,"138,953",382.7,26.9 ( 1 ),26.6 ( 1 ),20.5 ( 1 ),10.6
26. Owens,89,74,4.1,3.5,35.1,"327,023","1,772.90",13.7 ( 4 ),12.2 ( 4 ),16.6 ( 4 ),2.4
