,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
10. Rogue-Umpqua,"6,000-7,000'",38,4.4,36.6,"45,555",194.2,4.7 ( 1 ),2.8 ( 2 ),5
10. Rogue-Umpqua,"7,000-8,000'",57,9.7,55.9,"8,151",15.8,NA,NA,6.3
10. Rogue-Umpqua,"8,000-9,000'",62,14,76.5,794,1.1,NA,NA,5.6
11. South Puget Sound,"2,000-3,000'",3,0,0.2,197,405.8,0.1 ( 3 ),1.5 ( 2 ),0.5
11. South Puget Sound,"3,000-4,000'",7,0.1,1.5,"2,104",377.6,5.1 ( 7 ),NA,2.6
11. South Puget Sound,"4,000-5,000'",28,0.8,6.7,"9,441",222.6,12.6 ( 3 ),NA,5.7
11. South Puget Sound,"5,000-6,000'",63,5.8,39.5,"29,600",95.4,13.7 ( 1 ),NA,15.5
11. South Puget Sound,"6,000-7,000'",75,15.1,82.1,"30,157",37.4,NA,NA,30.7
11. South Puget Sound,"7,000-8,000'",68,23.4,86.4,"4,814",3.9,NA,NA,59.9
11. South Puget Sound,"8,000-9,000'",53,35.5,86.7,"1,462",0.8,NA,NA,89.3
11. South Puget Sound,"9,000-10,000'",19,15.7,83,564,0.7,NA,NA,168.2
11. South Puget Sound,"10,000-11,000'",18,22.1,80,912,0.8,NA,NA,502.7
11. South Puget Sound,"11,000-12,000'",46,13.3,80.8,409,0.6,NA,NA,585.1
11. South Puget Sound,"12,000-13,000'",11,12.2,83.2,252,0.4,NA,NA,1061.3
11. South Puget Sound,">13,000'",2,6.3,93.8,65,0.2,NA,NA,
12. Upper Columbia,"3,000-4,000'",33,1.6,23.6,"225,104","2,566.20",2.5 ( 1 ),1.2 ( 1 ),1.4
12. Upper Columbia,"4,000-5,000'",54,3.6,40,"274,661","1,437.90",2.9 ( 3 ),1.9 ( 4 ),4.4
12. Upper Columbia,"5,000-6,000'",96,8.9,65.8,"368,054",772.6,2.9 ( 2 ),9.2 ( 2 ),16
12. Upper Columbia,"6,000-7,000'",116,14.7,86.4,"441,881",564,46.3 ( 1 ),4.7 ( 1 ),26.4
12. Upper Columbia,"7,000-8,000'",110,17,92.6,"127,959",141.2,NA,NA,29.1
12. Upper Columbia,"8,000-9,000'",105,17.9,94,"4,062",4.2,NA,NA,31.3
13. Upper Cowlitz,"3,000-4,000'",16,0.1,1.6,"1,912",281.5,10.9 ( 1 ),NA,6.1
13. Upper Cowlitz,"4,000-5,000'",44,1.3,10.1,"20,534",306.7,9.9 ( 2 ),NA,9
13. Upper Cowlitz,"5,000-6,000'",85,7.2,41.5,"40,628",106.3,NA,NA,16.7
