,,4/1/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026,4/5/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026
Basin,Elevation Band,%4/1 Avg.,%4/5 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,"5,000-6,000'",1,1,0.2,0.1,4.6,"1,146",152.3,0.0 ( 2 ),0.1 ( 2 ),0
0. Trinity,"6,000-7,000'",5,5,1.8,1.5,36.8,"10,294",133,0.3 ( 5 ),0.2 ( 5 ),0.4
0. Trinity,"7,000-8,000'",10,11,4.3,3.3,65.9,"6,225",35.1,NA,NA,1
0. Trinity,"8,000-9,000'",14,15,7.5,5.1,66.2,265,1,NA,NA,1.5
1. Upper Sacramento,"5,000-6,000'",1,1,0.3,0.2,3.6,523,64.1,0.0 ( 1 ),0.0 ( 1 ),0
1. Upper Sacramento,"6,000-7,000'",6,6,1.9,1.5,33.9,"2,824",36.2,1.7 ( 1 ),0.6 ( 1 ),0.7
1. Upper Sacramento,"7,000-8,000'",10,9,3.7,2.6,65.1,"1,241",8.8,NA,NA,8.7
1. Upper Sacramento,"8,000-9,000'",12,11,5,3.4,80.3,423,2.3,NA,NA,24.3
1. Upper Sacramento,"9,000-10,000'",15,15,8.1,5.1,85.8,472,1.7,NA,NA,44.7
1. Upper Sacramento,"10,000-11,000'",18,18,11.6,7.2,68.4,332,0.9,NA,NA,46.7
1. Upper Sacramento,">11,000'",19,20,14,8.6,59.5,530,1.2,NA,NA,41.1
2. McCloud,"5,000-6,000'",2,1,0.3,0.1,3.2,581,96.8,0.0 ( 1 ),0.0 ( 1 ),0
2. McCloud,"6,000-7,000'",8,8,2.3,1.8,50.9,"3,980",41.7,NA,NA,2.3
2. McCloud,"7,000-8,000'",11,11,4.2,3.1,85.1,"2,315",14.2,NA,NA,16.7
2. McCloud,"8,000-9,000'",13,13,5.7,3.8,75.6,"1,307",6.5,NA,NA,38.3
2. McCloud,"9,000-10,000'",16,16,7.8,5.1,67.6,846,3.1,NA,NA,46.2
