,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
9. Lower Shoshone,"6,000-7,000'",21,0,0.7,0,0,19,117.1,NA,NA,NA,0.1
9. Lower Shoshone,"7,000-8,000'",43,8,2.6,0.5,5.6,952,39.5,NA,NA,NA,0.1
9. Lower Shoshone,"8,000-9,000'",65,34,6,3.4,25.9,"4,075",22.3,NA,NA,NA,0.1
9. Lower Shoshone,"9,000-10,000'",85,0,6,0,0,0,0.7,NA,NA,NA,0
9. Lower Shoshone,"10,000-11,000'",134,103,10.9,10.1,31.3,156,0.3,NA,NA,NA,1.7
10. Madison Headwaters in WY,"4,000-5,000'",0,0,0,0,0,0,173.4,NA,NA,NA,0
10. Madison Headwaters in WY,"5,000-6,000'",0,0,0,0,0,0,437.9,NA,NA,NA,0
10. Madison Headwaters in WY,"6,000-7,000'",34,12,2.6,1,21.3,"27,719",513.2,8.8 ( 2 ),5.4 ( 2 ),0.0 ( 1 ),1.1
10. Madison Headwaters in WY,"7,000-8,000'",67,40,6.7,4.4,46.2,"168,411",717.7,14.4 ( 2 ),13.2 ( 2 ),3.4 ( 4 ),7.4
10. Madison Headwaters in WY,"8,000-9,000'",104,84,12.8,11.4,73.2,"347,894",570.5,15.2 ( 3 ),14.4 ( 3 ),NA,16.4
10. Madison Headwaters in WY,"9,000-10,000'",131,117,18.5,18.3,74.4,"131,187",134.2,NA,NA,NA,18.7
10. Madison Headwaters in WY,">10,000'",141,123,21.7,21.6,52.7,"12,430",10.8,NA,NA,NA,20
11. Powder,"2,000-3,000'",0,0,0,0,0,0,"1,211.40",NA,NA,NA,0
11. Powder,"3,000-4,000'",0,0,0,0,0,0,"3,971.60",NA,NA,NA,0
11. Powder,"4,000-5,000'",0,0,0,0,0,0,"4,662.10",NA,NA,NA,0
11. Powder,"5,000-6,000'",0,0,0,0,0,0,"2,024.50",NA,NA,NA,0
11. Powder,"6,000-7,000'",0,0,0,0,0.1,17,604.1,NA,NA,NA,0
11. Powder,"7,000-8,000'",21,0,1.3,0,0.4,709,490.3,NA,NA,NA,0.1
11. Powder,"8,000-9,000'",46,7,3.9,0.6,7.8,"9,200",290.1,2.1 ( 4 ),0.1 ( 4 ),NA,0.3
11. Powder,"9,000-10,000'",72,52,7.3,5.5,52.8,"24,172",82.1,10.3 ( 1 ),7.7 ( 1 ),NA,6.6
11. Powder,"10,000-11,000'",107,92,12.8,11.7,52.8,"27,057",43.4,NA,NA,NA,13.6
11. Powder,">11,000'",127,109,17.1,16.1,54.3,"15,071",17.6,NA,NA,NA,15.8
12. Smith-Judith-Musselshell,"4,000-5,000'",112,22,1.4,0.3,22.8,"62,667","4,194.90",NA,NA,NA,0
12. Smith-Judith-Musselshell,"5,000-6,000'",68,15,2.4,0.5,15.9,"72,524","2,493.60",NA,NA,0.0 ( 1 ),0.1
12. Smith-Judith-Musselshell,"6,000-7,000'",78,41,5.1,2.8,31.5,"165,868","1,119.40",6.7 ( 4 ),5.8 ( 4 ),4.5 ( 4 ),0.9
12. Smith-Judith-Musselshell,"7,000-8,000'",87,74,7.9,7.4,60.8,"187,273",475.5,14.2 ( 5 ),14.2 ( 5 ),10.8 ( 3 ),6.3
12. Smith-Judith-Musselshell,"8,000-9,000'",126,116,13.5,13.7,74.6,"39,680",54.2,NA,NA,NA,8.4
12. Smith-Judith-Musselshell,"9,000-10,000'",164,149,15.8,16.4,50.4,"1,860",2.1,NA,NA,NA,8.1
13. Snake,"5,000-6,000'",1,0,0.1,0,0.7,196,294.9,NA,NA,NA,0
13. Snake,"6,000-7,000'",30,8,3,0.7,13.8,"52,508","1,324.30",NA,NA,11.4 ( 2 ),0.9
13. Snake,"7,000-8,000'",75,42,9.3,5.4,59.2,"490,874","1,704.50",14.1 ( 6 ),10.5 ( 6 ),5.4 ( 5 ),5.6
13. Snake,"8,000-9,000'",104,83,14.8,12.4,85.4,"956,787","1,447.40",17.2 ( 3 ),13.7 ( 3 ),NA,13.4
13. Snake,"9,000-10,000'",120,105,19.2,17.4,87.2,"705,095",760.5,21.9 ( 2 ),21.0 ( 2 ),NA,18.4
13. Snake,"10,000-11,000'",123,112,23,21.4,77.4,"230,140",202,NA,NA,NA,21
13. Snake,"11,000-12,000'",128,112,22.1,20.8,63,"8,235",7.4,NA,NA,NA,18.9
13. Snake,">12,000'",156,130,21.3,19.8,63,408,0.4,NA,NA,NA,25.8
14. Sun-Teton-Marias,"3,000-4,000'",130,0,0.9,0,0,457,"6,452.10",NA,NA,NA,0
14. Sun-Teton-Marias,"4,000-5,000'",152,3,2.4,0,0.6,"5,469","2,583.90",NA,NA,NA,0
14. Sun-Teton-Marias,"5,000-6,000'",96,47,5.9,2.8,23.8,"90,396",615.8,2.7 ( 3 ),2.5 ( 3 ),5.5 ( 2 ),4.5
14. Sun-Teton-Marias,"6,000-7,000'",133,113,11.6,10.3,64.1,"314,595",574.4,12.2 ( 2 ),12.0 ( 2 ),5.8 ( 2 ),15.3
14. Sun-Teton-Marias,"7,000-8,000'",162,152,17.5,17.8,80.2,"276,289",291.6,NA,NA,NA,16.6
14. Sun-Teton-Marias,"8,000-9,000'",176,168,19.7,20.7,77.8,"25,669",23.3,NA,NA,NA,16.6
14. Sun-Teton-Marias,">9,000'",118,179,14.6,25.1,76,258,0.2,NA,NA,NA,35.4
15. Sweetwater,"7,000-8,000'",0,0,0,0,0,0,952.6,NA,NA,NA,0
15. Sweetwater,"8,000-9,000'",48,2,4.4,0.2,3.2,"1,756",189,3.2 ( 1 ),0.1 ( 1 ),NA,0.2
15. Sweetwater,"9,000-10,000'",82,36,8.1,4.4,62.9,"10,063",43,NA,NA,NA,5.8
15. Sweetwater,"10,000-11,000'",109,82,13.7,11.4,70.6,"6,539",10.7,NA,NA,NA,14.1
15. Sweetwater,"11,000-12,000'",119,99,17.7,16.1,52,"4,890",5.7,NA,NA,NA,16.5
15. Sweetwater,"12,000-13,000'",121,99,18,17.3,33.5,178,0.2,NA,NA,NA,16.2
16. Tongue,"2,000-3,000'",0,0,0,0,0,0,881.3,NA,NA,NA,0
16. Tongue,"3,000-4,000'",0,0,0,0,0,0,"2,790.20",NA,NA,NA,0
16. Tongue,"4,000-5,000'",0,0,0,0,0,0,"1,214.80",NA,NA,NA,0.1
16. Tongue,"5,000-6,000'",0,0,0,0,0,0,49.2,NA,NA,NA,0.2
16. Tongue,"6,000-7,000'",10,0,0.7,0,0.7,14,34.1,NA,NA,NA,0.2
16. Tongue,"7,000-8,000'",40,5,3.4,0.5,11.1,"3,167",121.5,2.9 ( 2 ),2.8 ( 2 ),NA,0.5
16. Tongue,"8,000-9,000'",50,27,4.8,2.8,35.2,"26,213",173.6,6.1 ( 3 ),3.6 ( 4 ),5.2 ( 2 ),3.7
16. Tongue,"9,000-10,000'",88,76,10.7,9.8,69.9,"60,253",115.6,NA,NA,9.2 ( 1 ),10.2
16. Tongue,"10,000-11,000'",109,99,15.2,14.7,68.8,"18,074",23.1,NA,NA,NA,14.2
16. Tongue,"11,000-12,000'",115,103,16.2,15.9,62.5,"1,553",1.8,NA,NA,NA,15.7
17. Upper Clark Fork,"3,000-4,000'",22,4,0.4,0,1.2,390,157.3,NA,NA,NA,0
17. Upper Clark Fork,"4,000-5,000'",105,40,3.1,0.9,14.2,"67,705","1,442.30",NA,NA,0.7 ( 4 ),0.6
17. Upper Clark Fork,"5,000-6,000'",105,56,5.1,2.3,23.9,"249,021","2,001.20",2.6 ( 2 ),0.0 ( 3 ),0.2 ( 1 ),2.8
17. Upper Clark Fork,"6,000-7,000'",115,95,8,6.6,51.5,"550,998","1,576.10",19.0 ( 4 ),19.2 ( 4 ),5.0 ( 6 ),9
17. Upper Clark Fork,"7,000-8,000'",133,120,12.3,11.9,69.3,"422,383",664.7,11.8 ( 3 ),11.3 ( 3 ),7.7 ( 6 ),16.3
17. Upper Clark Fork,"8,000-9,000'",153,141,16.7,16.9,81.2,"132,751",147,18.3 ( 2 ),18.9 ( 2 ),NA,16.7
17. Upper Clark Fork,"9,000-10,000'",163,151,18.4,19.2,69.1,"18,563",18.1,NA,NA,NA,14.1
17. Upper Clark Fork,">10,000'",170,147,17.5,18.1,76,186,0.2,NA,NA,NA,7
18. Upper Green§,"7,000-8,000'",12,3,0.6,0.1,1.2,"37,111","6,387.90",8.3 ( 2 ),3.3 ( 2 ),NA,0.1
18. Upper Green§,"8,000-9,000'",59,35,5.9,3.2,34.4,"275,635","1,592.70",10.8 ( 8 ),7.4 ( 8 ),NA,3.4
18. Upper Green§,"9,000-10,000'",85,63,10.7,7.3,64.9,"351,321",901,8.9 ( 9 ),6.5 ( 10 ),NA,10.1
