,,4/26/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026
Basin,Elevation Band,%4/26 Avg.,%5/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
0. Trinity,"5,000-6,000'",1,1,0.3,0.3,10.3,"2,058",152.3,0.2 ( 1 ),0.0 ( 1 ),NA,0
0. Trinity,"6,000-7,000'",7,7,2.3,2.2,56.2,"15,342",133,0.8 ( 5 ),0.1 ( 5 ),0.5 ( 2 ),0.8
0. Trinity,"7,000-8,000'",21,12,8.1,4.7,75.1,"8,852",35.1,NA,NA,NA,2.6
0. Trinity,"8,000-9,000'",51,21,25.3,9.7,68.4,501,1,NA,NA,NA,3.7
1. Upper Sacramento,"5,000-6,000'",2,2,0.4,0.3,15.5,"1,120",64.1,0.7 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),0
1. Upper Sacramento,"6,000-7,000'",9,8,2,2.3,57.8,"4,444",36.2,0.3 ( 1 ),0.0 ( 1 ),NA,0.5
1. Upper Sacramento,"7,000-8,000'",18,10,6.9,4.3,65.4,"2,021",8.8,NA,NA,19.0 ( 1 ),7.5
1. Upper Sacramento,"8,000-9,000'",39,14,16.9,6.4,50.7,789,2.3,NA,NA,NA,25.1
1. Upper Sacramento,"9,000-10,000'",70,12,37,7.3,48.4,678,1.7,NA,NA,NA,47
1. Upper Sacramento,"10,000-11,000'",108,16,68.8,10.7,58.2,494,0.9,NA,NA,NA,49.7
1. Upper Sacramento,">11,000'",127,27,91.4,17.3,52.5,"1,068",1.2,NA,NA,NA,43.4
2. McCloud,"5,000-6,000'",0,0,0,0,0.6,91,96.8,0.3 ( 1 ),0.0 ( 1 ),NA,0
2. McCloud,"6,000-7,000'",11,8,2.7,1.9,46.1,"4,286",41.7,NA,NA,0.0 ( 1 ),1
2. McCloud,"7,000-8,000'",34,14,12.7,5.6,71.2,"4,249",14.2,NA,NA,NA,15.5
2. McCloud,"8,000-9,000'",58,18,23,7.2,56.3,"2,486",6.5,NA,NA,NA,39.8
2. McCloud,"9,000-10,000'",73,17,34,7,58.2,"1,158",3.1,NA,NA,NA,49.2
2. McCloud,"10,000-11,000'",91,17,53.1,8.6,69.7,662,1.4,NA,NA,NA,62
2. McCloud,">11,000'",99,28,83.4,21.6,77.3,"1,337",1.2,NA,NA,NA,55.5
3. Pit,"5,000-6,000'",0,0,0,0,0,0,"1,428.20",0.3 ( 1 ),0.0 ( 1 ),NA,0
3. Pit,"6,000-7,000'",7,8,0.4,0.4,6.2,"11,468",507.2,0.8 ( 2 ),0.6 ( 2 ),0.0 ( 2 ),0.1
3. Pit,"7,000-8,000'",21,20,3.2,2.6,30.8,"18,270",129.4,0.3 ( 2 ),0.3 ( 2 ),NA,0.9
3. Pit,"8,000-9,000'",54,56,11.9,11,67.8,"11,367",19.4,NA,NA,NA,3
3. Pit,">9,000'",66,65,20.3,17.3,68.6,"1,778",1.9,NA,NA,NA,11.3
4. Sacramento at Bend Bridge,"5,000-6,000'",0,0,0,0,0.1,14,156.3,NA,NA,NA,0
4. Sacramento at Bend Bridge,"6,000-7,000'",5,5,1.1,0.8,20.6,"2,740",63.1,NA,NA,NA,1
4. Sacramento at Bend Bridge,"7,000-8,000'",32,20,10.9,5.9,76.7,"4,937",15.6,NA,NA,NA,6.4
4. Sacramento at Bend Bridge,"8,000-9,000'",62,26,27.6,9.2,66.5,"2,124",4.3,NA,NA,NA,12.6
4. Sacramento at Bend Bridge,">9,000'",60,26,26.8,9.5,79,294,0.6,NA,NA,NA,21.2
5. Feather§,"5,000-6,000'",1,0,0,0,0.4,312,"1,257.10",0.1 ( 1 ),0.0 ( 1 ),0.0 ( 11 ),0
5. Feather§,"6,000-7,000'",8,7,0.3,0.3,12.2,"10,445",732.9,0.4 ( 3 ),0.0 ( 4 ),0.0 ( 9 ),0.2
5. Feather§,"7,000-8,000'",20,16,3,2,42.2,"13,012",122.6,NA,0.0 ( 1 ),1.0 ( 2 ),1.4
5. Feather§,"8,000-9,000'",43,20,28.2,9.3,47.6,"2,398",4.8,NA,NA,NA,6.9
6. Yuba,"5,000-6,000'",3,1,0.3,0,2.6,383,193.5,NA,NA,0.0 ( 5 ),0
6. Yuba,"6,000-7,000'",14,13,2.5,1.9,38.3,"22,150",213.6,3.5 ( 4 ),3.1 ( 4 ),1.4 ( 7 ),0.2
6. Yuba,"7,000-8,000'",32,25,8.8,5.5,75.5,"33,363",113.1,NA,NA,11.5 ( 5 ),2.5
6. Yuba,"8,000-9,000'",58,29,22,8.2,75.8,"2,318",5.3,NA,NA,NA,15.9
7. American,"5,000-6,000'",7,0,0.4,0,0.5,114,294.8,0.0 ( 3 ),0.0 ( 4 ),0.0 ( 2 ),0
7. American,"6,000-7,000'",16,9,2.1,1.1,23.8,"15,625",267.6,1.7 ( 2 ),1.3 ( 2 ),0.5 ( 6 ),0.1
7. American,"7,000-8,000'",28,24,6.3,4.4,68.1,"39,542",168.1,0.6 ( 4 ),0.4 ( 4 ),0.2 ( 5 ),2.9
7. American,"8,000-9,000'",52,31,16.5,7.4,83.5,"27,176",69.1,17.6 ( 3 ),17.6 ( 3 ),7.5 ( 1 ),9.5
7. American,"9,000-10,000'",64,34,25.1,9.8,75.2,"3,896",7.4,NA,NA,NA,13.2
8. Cosumnes,"5,000-6,000'",1,0,0.1,0,0,0,60.5,NA,NA,NA,0
8. Cosumnes,"6,000-7,000'",14,3,1.8,0.3,9.4,361,23.7,NA,NA,NA,0.1
8. Cosumnes,"7,000-8,000'",19,24,3.3,4,82.8,"1,645",7.6,NA,NA,NA,1.2
