,4/5/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026,4/12/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026
Basin,%4/5 Avg.,%4/12 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,14,20,0.6,0.6,4.4,"11,092",322.7,NA,NA,0.3
2. Bitterroot,100,85,9.2,7.7,42.7,"798,748","1,955.00",14.6 ( 4 ),11.4 ( 4 ),9.2
3. Carson,12,15,0.6,0.8,6.6,"56,347","1,407.70",3.4 ( 7 ),3.7 ( 7 ),0.7
4. Clearwater Basin,106,82,6.6,5.1,30,"2,032,440","7,475.20",21.6 ( 11 ),18.7 ( 11 ),9.8
5. Clover Valley and Franklin,7,12,0.1,0.1,0.7,"20,348","4,115.00",0.2 ( 2 ),0.0 ( 2 ),0
6. Donner und Blitzen,16,25,1.6,2.1,13.2,"24,888",219.9,4.7 ( 2 ),4.3 ( 2 ),1.4
7. Dry Lake Valley,2,2,0,0,0.5,436,296.3,NA,NA,0
8. Eastern Nevada,5,3,0.1,0.1,1,"14,463","4,375.20",1.4 ( 8 ),0.7 ( 8 ),0.1
9. Flathead,127,125,7.2,6.5,32.3,"2,630,315","7,644.30",20.9 ( 13 ),19.1 ( 13 ),11.6
10. Grande Ronde-Burnt-Powder-Imnaha,46,42,2.6,2.1,10.8,"586,834","5,316.00",4.1 ( 11 ),3.2 ( 11 ),1.5
11. Guano,1,1,0,0,0,145,"2,062.90",0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,0,0,0,0,0,0,280.6,NA,NA,0
13. John Day,24,18,1.4,0.8,7.4,"67,575","1,504.70",0.0 ( 2 ),0.0 ( 2 ),0.1
14. Kootenai,83,76,4.7,4.2,21.1,"377,274","1,671.80",16.8 ( 5 ),15.2 ( 5 ),10.1
15. Lake County-Goose Lake,4,6,0.1,0.2,1.7,"32,794","3,623.70",3.1 ( 2 ),1.9 ( 2 ),0.1
16. Little Humboldt,3,4,0.1,0.1,0.8,"2,118",420.8,0.7 ( 3 ),0.2 ( 3 ),0
17. Lower Clark Fork,120,92,9.9,7.6,43.5,"600,534","1,474.70",38.9 ( 4 ),37.4 ( 4 ),16.8
18. Lower Humboldt,3,4,0.1,0,0.7,717,272.6,0.0 ( 1 ),0.0 ( 1 ),0
19. Lower Pend Oreille,108,86,9.6,7.8,45.8,"55,662",133.4,13.3 ( 1 ),12.8 ( 1 ),16.5
20. Lower Snake-Asotin,28,16,0.5,0.2,2.9,"4,084",333.7,0.0 ( 1 ),0.0 ( 1 ),0.4
21. Lower Snake-Tucannon,41,27,2.2,1.1,12.4,"6,613",108.3,NA,NA,2.8
22. Lower Yakima,20,16,0.9,0.6,4.7,"14,515",485,17.6 ( 1 ),7.8 ( 2 ),1.1
23. Malheur,15,15,0.7,0.6,5.2,"29,513",989.2,0.0 ( 3 ),0.0 ( 3 ),0.1
24. Middle Humboldt,0,2,0,0,0.1,507,633,NA,NA,0
25. Northern Big Smoky Valley,6,5,0.2,0.1,3.4,"4,204",572.8,NA,NA,0
26. Northern Great Basin,3,5,0.1,0.1,0.5,"6,392","2,224.90",0.0 ( 2 ),0.0 ( 2 ),0
27. Panhandle Basins,95,77,5,4.1,22.9,"356,965","1,644.60",20.4 ( 3 ),19.8 ( 3 ),8.7
28. Reese,3,2,0.1,0.1,2,"1,847",496.9,0.0 ( 2 ),0.0 ( 2 ),0
29. Rock,0,0,0,0,0,59,835.5,0.5 ( 1 ),0.0 ( 1 ),0
30. Salmon Basin,81,70,8.2,6.8,46.6,"4,352,475","11,950.50",16.4 ( 11 ),14.2 ( 11 ),7.1
31. Silver,0,0,0,0,0,0,444.3,NA,NA,0
32. Silvies,2,3,0,0,0.3,"2,432","1,317.40",0.1 ( 2 ),0.0 ( 2 ),0
33. Southern Snake Basins,6,7,0.1,0.1,0.6,"55,677","12,552.70",2.1 ( 13 ),1.7 ( 13 ),0.1
34. Spokane,88,55,2.6,1.5,10,"255,962","3,142.80",9.4 ( 8 ),5.9 ( 8 ),4.9
35. St. Mary,110,107,10.9,9.7,49.5,"344,631",668.1,0.1 ( 1 ),0.0 ( 1 ),8.2
36. Truckee,7,11,0.5,0.6,6.2,"49,026","1,443.60",5.0 ( 9 ),5.7 ( 9 ),1
37. Umatilla-Walla Walla-Willow,14,6,0.3,0.1,0.9,"5,690","1,434.30",5.2 ( 7 ),3.3 ( 7 ),0.2
38. Upper Humboldt,13,19,0.3,0.3,1.8,"67,680","5,035.80",1.6 ( 8 ),1.2 ( 8 ),0.1
39. Walker,15,24,0.6,1,7.6,"102,850","1,942.90",7.7 ( 7 ),8.2 ( 7 ),1
40. West Central Basins,50,47,5.3,4.7,29.2,"1,429,540","5,702.10",9.7 ( 16 ),7.6 ( 16 ),4.8
