,,2/8/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026,2/15/2026,2/15/2026,2/8/2026,2/15/2026,2/15/2026
Basin,Elevation Band,%2/8 Avg.,%2/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
9. Lower Shoshone,"9,000-10,000'",18,49,1,3.4,30,123,0.7,NA,NA,1.7
9. Lower Shoshone,"10,000-11,000'",89,129,5.7,9,75,139,0.3,NA,NA,1.3
10. Madison Headwaters in WY,"4,000-5,000'",0,0,0,0,0,0,173.4,NA,NA,0
10. Madison Headwaters in WY,"5,000-6,000'",0,0,0,0,0.2,426,437.9,NA,NA,0
10. Madison Headwaters in WY,"6,000-7,000'",46,50,3.1,3.2,43,"88,925",513.2,7.1 ( 2 ),7.8 ( 2 ),3.6
10. Madison Headwaters in WY,"7,000-8,000'",72,77,5.1,5.4,59,"205,261",717.7,10.7 ( 2 ),11.8 ( 2 ),8.2
10. Madison Headwaters in WY,"8,000-9,000'",102,108,8.6,8.9,74.4,"271,477",570.5,13.9 ( 2 ),13.4 ( 3 ),14.2
10. Madison Headwaters in WY,"9,000-10,000'",121,127,13,13.5,89.4,"96,512",134.2,NA,NA,14.6
10. Madison Headwaters in WY,">10,000'",124,132,15,15.4,88.3,"8,870",10.8,NA,NA,15.5
11. Powder,"2,000-3,000'",0,0,0,0,0,0,"1,211.40",NA,NA,0
11. Powder,"3,000-4,000'",0,0,0,0,0,0,"3,971.60",NA,NA,0
11. Powder,"4,000-5,000'",0,0,0,0,0,0,"4,662.10",NA,NA,0
11. Powder,"5,000-6,000'",0,0,0,0,0,0,"2,024.50",NA,NA,0
11. Powder,"6,000-7,000'",1,1,0,0,0.6,879,604.1,NA,NA,0
11. Powder,"7,000-8,000'",39,34,1.9,2,25.7,"51,877",490.3,NA,NA,1.3
11. Powder,"8,000-9,000'",66,63,3.8,4.1,50.5,"62,827",290.1,2.6 ( 4 ),2.7 ( 4 ),2.4
11. Powder,"9,000-10,000'",74,76,4.9,5.5,59.7,"23,984",82.1,8.1 ( 1 ),8.4 ( 1 ),7.1
11. Powder,"10,000-11,000'",107,109,8.9,9.9,79.1,"22,909",43.4,NA,NA,10.8
11. Powder,">11,000'",119,121,11.5,12.5,78.4,"11,721",17.6,NA,NA,11.9
12. Smith-Judith-Musselshell,"4,000-5,000'",3,67,0.1,2.2,75.6,"487,070","4,194.90",NA,NA,0.4
12. Smith-Judith-Musselshell,"5,000-6,000'",8,65,0.4,3.4,72.9,"450,122","2,493.60",NA,NA,0.7
12. Smith-Judith-Musselshell,"6,000-7,000'",31,59,1.8,3.7,52.2,"220,730","1,119.40",4.6 ( 4 ),5.3 ( 4 ),2
12. Smith-Judith-Musselshell,"7,000-8,000'",60,71,4,5,54,"127,700",475.5,9.0 ( 5 ),10.1 ( 5 ),5.7
12. Smith-Judith-Musselshell,"8,000-9,000'",95,106,7.5,8.7,74,"25,158",54.2,NA,NA,6.5
12. Smith-Judith-Musselshell,"9,000-10,000'",134,141,8.9,10.1,63.2,"1,147",2.1,NA,NA,5.6
13. Snake,"5,000-6,000'",51,56,3.5,3.9,65.5,"60,855",294.9,NA,NA,1.1
13. Snake,"6,000-7,000'",69,74,5.6,6.1,82.5,"429,775","1,324.30",NA,NA,4.9
13. Snake,"7,000-8,000'",85,90,7.6,8.1,88.9,"733,924","1,704.50",11.4 ( 6 ),12.6 ( 6 ),9.3
13. Snake,"8,000-9,000'",104,110,10.4,11,90.6,"847,010","1,447.40",13.4 ( 3 ),14.3 ( 3 ),13.9
13. Snake,"9,000-10,000'",115,122,13.2,13.8,92.1,"561,268",760.5,17.0 ( 2 ),18.1 ( 2 ),16.9
13. Snake,"10,000-11,000'",117,126,16,16.6,90.1,"178,981",202,NA,NA,19.6
13. Snake,"11,000-12,000'",125,134,15.5,16.2,87.1,"6,421",7.4,NA,NA,18.3
13. Snake,">12,000'",194,229,15.3,17.3,66.5,357,0.4,NA,NA,24.8
14. Sun-Teton-Marias,"3,000-4,000'",0,0,0,0,0,0,"6,452.10",NA,NA,0
14. Sun-Teton-Marias,"4,000-5,000'",0,0,0,0,0,202,"2,583.90",NA,NA,0.1
14. Sun-Teton-Marias,"5,000-6,000'",34,34,1.8,1.8,20,"59,766",615.8,2.9 ( 3 ),3.1 ( 3 ),4.2
14. Sun-Teton-Marias,"6,000-7,000'",99,105,6,6.7,59.4,"206,684",574.4,8.6 ( 2 ),9.3 ( 2 ),10.7
14. Sun-Teton-Marias,"7,000-8,000'",143,153,10.8,11.8,83.3,"184,158",291.6,NA,NA,11.9
14. Sun-Teton-Marias,"8,000-9,000'",159,171,12.6,13.7,82.4,"16,994",23.3,NA,NA,11.3
14. Sun-Teton-Marias,">9,000'",249,252,9.9,10.9,50,113,0.2,NA,NA,29.9
15. Sweetwater,"7,000-8,000'",24,19,1.3,1.1,13.8,"54,638",952.6,NA,NA,0
15. Sweetwater,"8,000-9,000'",68,68,5.2,5.2,67.1,"52,057",189,3.9 ( 1 ),4.0 ( 1 ),1.9
15. Sweetwater,"9,000-10,000'",92,92,7.1,7.3,88.1,"16,690",43,NA,NA,6.4
15. Sweetwater,"10,000-11,000'",109,111,10.6,11.1,84.7,"6,352",10.7,NA,NA,10.5
15. Sweetwater,"11,000-12,000'",111,113,12.8,13.2,80.3,"4,019",5.7,NA,NA,10.6
15. Sweetwater,"12,000-13,000'",110,114,13.6,13.8,86,142,0.2,NA,NA,11
16. Tongue,"2,000-3,000'",0,0,0,0,0,0,881.3,NA,NA,0
16. Tongue,"3,000-4,000'",0,0,0,0,0,11,"2,790.20",NA,NA,0
16. Tongue,"4,000-5,000'",0,0,0,0,0,0,"1,214.80",NA,NA,0
16. Tongue,"5,000-6,000'",2,0,0.1,0,0,0,49.2,NA,NA,0.1
16. Tongue,"6,000-7,000'",20,12,0.7,0.7,11.9,"1,216",34.1,NA,NA,0.3
16. Tongue,"7,000-8,000'",54,53,3,3.5,49.3,"22,412",121.5,2.2 ( 2 ),2.1 ( 2 ),1.3
16. Tongue,"8,000-9,000'",54,54,3.3,3.6,47,"33,451",173.6,3.8 ( 4 ),3.9 ( 4 ),4.3
16. Tongue,"9,000-10,000'",77,80,6.3,6.8,67.6,"41,771",115.6,NA,NA,8
16. Tongue,"10,000-11,000'",101,104,10,10.7,86.5,"13,182",23.1,NA,NA,9.6
16. Tongue,"11,000-12,000'",106,108,11.2,11.8,89.3,"1,155",1.8,NA,NA,10.3
17. Upper Clark Fork,"3,000-4,000'",4,3,0.2,0.1,1.4,823,157.3,NA,NA,1
17. Upper Clark Fork,"4,000-5,000'",17,33,0.8,1.5,22.2,"114,296","1,442.30",NA,NA,2.7
17. Upper Clark Fork,"5,000-6,000'",29,50,1.5,2.7,34.5,"286,099","2,001.20",3.2 ( 2 ),3.5 ( 2 ),3.4
17. Upper Clark Fork,"6,000-7,000'",76,86,4,4.7,47.7,"394,758","1,576.10",10.8 ( 4 ),12.0 ( 4 ),6.1
17. Upper Clark Fork,"7,000-8,000'",116,122,6.9,7.4,61.1,"263,741",664.7,7.1 ( 3 ),7.8 ( 3 ),10
17. Upper Clark Fork,"8,000-9,000'",125,133,9.7,10.5,75.4,"82,453",147,10.3 ( 2 ),11.3 ( 2 ),10
17. Upper Clark Fork,"9,000-10,000'",127,137,11.6,12.5,77.8,"12,103",18.1,NA,NA,9.1
17. Upper Clark Fork,">10,000'",129,136,11.5,12.4,68.5,128,0.2,NA,NA,5.6
18. Upper Green,"7,000-8,000'",32,30,2.1,1.8,18.7,"618,197","6,387.90",7.4 ( 2 ),7.8 ( 2 ),0.9
18. Upper Green,"8,000-9,000'",64,65,5.4,5.5,59.8,"467,495","1,592.70",9.2 ( 8 ),9.6 ( 8 ),5.8
18. Upper Green,"9,000-10,000'",84,86,8,8.1,75.5,"391,381",901,6.9 ( 9 ),7.3 ( 9 ),8.8
18. Upper Green,"10,000-11,000'",91,94,10.3,10.5,77.5,"266,268",473.5,7.1 ( 2 ),7.5 ( 2 ),11.7
18. Upper Green,"11,000-12,000'",93,96,12.4,12.8,84.9,"132,719",194.1,NA,NA,11.1
18. Upper Green,"12,000-13,000'",86,89,11.8,12.2,83.8,"22,215",34.1,NA,NA,8
18. Upper Green,"13,000-14,000'",125,130,17.5,18.1,88.6,466,0.5,NA,NA,10.7
19. Upper Missouri,"4,000-5,000'",0,8,0,0.2,5.2,"13,397","1,182.20",NA,NA,1
19. Upper Missouri,"5,000-6,000'",3,24,0.1,1.2,19.8,"66,953","1,057.70",NA,NA,1.4
19. Upper Missouri,"6,000-7,000'",41,55,2.5,3.5,43,"103,906",556.4,3.3 ( 1 ),4.1 ( 1 ),2
19. Upper Missouri,"7,000-8,000'",82,88,4.9,5.6,57.1,"40,283",135.1,4.0 ( 1 ),4.5 ( 1 ),3.8
19. Upper Missouri,"8,000-9,000'",123,125,8.9,9.5,77.8,"12,142",23.9,NA,NA,7.3
19. Upper Missouri,">9,000'",137,142,11.7,12.2,84.4,564,0.9,NA,NA,11.3
20. Upper No Platte,"7,000-8,000'",11,9,0.6,0.4,5.3,"96,651","4,078.60",4.0 ( 1 ),4.7 ( 1 ),0.2
20. Upper No Platte,"8,000-9,000'",42,42,3.3,3.1,46,"346,570","2,114.90",4.0 ( 2 ),4.2 ( 2 ),3
20. Upper No Platte,"9,000-10,000'",50,52,4.2,4.1,61.8,"208,942",945.5,9.7 ( 8 ),10.8 ( 8 ),8
20. Upper No Platte,"10,000-11,000'",53,55,5.7,5.7,64.9,"120,664",394.1,13.8 ( 6 ),15.2 ( 6 ),11.7
20. Upper No Platte,"11,000-12,000'",70,72,8.9,8.9,78.5,"26,093",54.9,NA,NA,8.9
20. Upper No Platte,"12,000-13,000'",78,80,9.5,9.4,72,"1,068",2.1,NA,NA,4.1
21. Upper Shoshone,"5,000-6,000'",0,0,0,0,0,0,101.7,NA,NA,0
21. Upper Shoshone,"6,000-7,000'",9,10,0.2,0.3,4.7,"3,241",206.7,NA,NA,0.3
21. Upper Shoshone,"7,000-8,000'",53,58,2.3,2.8,36.7,"42,458",280.5,6.8 ( 1 ),7.4 ( 1 ),3.2
21. Upper Shoshone,"8,000-9,000'",100,105,6,6.9,68.2,"121,245",330.1,6.5 ( 2 ),7.2 ( 2 ),9.2
21. Upper Shoshone,"9,000-10,000'",124,131,9.9,10.9,80,"193,285",333.2,NA,NA,13.5
21. Upper Shoshone,"10,000-11,000'",122,127,12.6,13.4,82.9,"145,534",204.2,16.1 ( 1 ),17.3 ( 1 ),13
21. Upper Shoshone,"11,000-12,000'",119,123,13.6,14.3,83.6,"37,207",48.9,NA,NA,10.1
22. Upper Snake Basins,"4,000-5,000'",0,0,0,0,0.4,214,919.5,NA,NA,0
22. Upper Snake Basins,"5,000-6,000'",22,27,1.3,1.3,25.8,"136,514","1,919.80",NA,NA,0.3
22. Upper Snake Basins,"6,000-7,000'",54,61,4.5,4.7,69.7,"730,309","2,908.40",4.7 ( 6 ),5.1 ( 6 ),3.6
22. Upper Snake Basins,"7,000-8,000'",75,80,6.5,6.8,73.3,"300,496",823.2,9.9 ( 4 ),10.7 ( 4 ),8.8
22. Upper Snake Basins,"8,000-9,000'",113,124,12.6,12.9,90.9,"226,762",329.4,NA,NA,20.4
22. Upper Snake Basins,"9,000-10,000'",130,143,16.8,17.8,91.9,"62,777",66.3,NA,NA,25.2
22. Upper Snake Basins,"10,000-11,000'",131,150,19.6,20.4,91.3,"8,526",7.8,NA,NA,30.9
23. Upper Yellowstone,"4,000-5,000'",0,16,0,0.3,6.3,"47,903","3,428.40",NA,NA,0
23. Upper Yellowstone,"5,000-6,000'",1,35,0,1.4,24.6,"131,737","1,793.50",0.3 ( 1 ),0.6 ( 1 ),0.3
23. Upper Yellowstone,"6,000-7,000'",33,49,1.8,2.9,41.7,"158,786","1,036.50",3.0 ( 4 ),3.7 ( 4 ),2.1
23. Upper Yellowstone,"7,000-8,000'",73,77,4.6,5.1,60.9,"412,818","1,514.30",7.6 ( 6 ),8.6 ( 6 ),7.2
23. Upper Yellowstone,"8,000-9,000'",119,123,8.4,8.9,78.8,"874,377","1,850.20",13.9 ( 6 ),15.1 ( 6 ),12.2
23. Upper Yellowstone,"9,000-10,000'",135,141,12.2,12.7,87,"796,793","1,177.70",19.9 ( 3 ),21.3 ( 3 ),16.4
