,,4/26/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026
Basin,Elevation Band,%4/26 Avg.,%5/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Central Columbia,"3,000-4,000'",29,21,1,0.6,4.4,"19,596",658.8,8.1 ( 2 ),5.8 ( 2 ),NA,1.9
1. Central Columbia,"4,000-5,000'",52,44,6.6,4.1,25.4,"115,427",532.7,0.0 ( 2 ),0.0 ( 2 ),NA,11.9
1. Central Columbia,"5,000-6,000'",73,72,16.4,11.3,55.8,"320,852",533.9,21.5 ( 2 ),19.8 ( 2 ),NA,27.6
1. Central Columbia,"6,000-7,000'",85,102,25.1,19.9,71,"342,153",323,NA,NA,NA,44.5
1. Central Columbia,"7,000-8,000'",82,130,28.2,27.8,71.5,"115,397",77.9,NA,NA,NA,57.1
1. Central Columbia,"8,000-9,000'",85,147,28.9,29.9,71.5,"5,239",3.3,NA,NA,NA,61.1
2. Central Puget Sound,"3,000-4,000'",48,27,2.7,1.2,10.4,"34,597",555.8,22.3 ( 3 ),18.6 ( 3 ),NA,8.2
2. Central Puget Sound,"4,000-5,000'",88,58,12.4,6,41.9,"145,250",457.3,18.0 ( 2 ),13.8 ( 2 ),NA,18
2. Central Puget Sound,"5,000-6,000'",118,106,27.9,17,72,"162,731",179.2,NA,NA,NA,39.6
2. Central Puget Sound,"6,000-7,000'",106,131,36.1,28.6,80.4,"72,872",47.8,NA,NA,NA,72.3
2. Central Puget Sound,"7,000-8,000'",91,148,38.1,38.6,91.2,"11,913",5.8,NA,NA,NA,103.5
2. Central Puget Sound,"8,000-9,000'",87,167,46.5,52.9,98.5,545,0.2,NA,NA,NA,118.8
2. Central Puget Sound,">9,000'",115,263,60.1,75.6,97.2,389,0.1,NA,NA,NA,158.8
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",0,0,0,0,0,0,"2,531.10",0.0 ( 1 ),0.0 ( 1 ),NA,0
3. Hood-Sandy-Lower Deschutes,"3,000-4,000'",0,0,0,0,0,0,"1,613.30",0.0 ( 5 ),0.0 ( 4 ),NA,0.4
3. Hood-Sandy-Lower Deschutes,"4,000-5,000'",11,5,0.4,0.2,2,"6,380",693.5,6.2 ( 2 ),4.9 ( 2 ),NA,3.8
3. Hood-Sandy-Lower Deschutes,"5,000-6,000'",41,32,5.8,3.7,29.5,"39,680",203,10.5 ( 2 ),8.9 ( 2 ),NA,15.5
3. Hood-Sandy-Lower Deschutes,"6,000-7,000'",60,71,19.5,16.1,68.4,"27,134",31.7,18.5 ( 1 ),16.4 ( 1 ),NA,49.4
3. Hood-Sandy-Lower Deschutes,"7,000-8,000'",58,109,26.3,31,77.1,"13,409",8.1,NA,NA,NA,72.9
3. Hood-Sandy-Lower Deschutes,"8,000-9,000'",61,177,40.9,72.7,91,"7,112",1.8,NA,NA,NA,94.2
3. Hood-Sandy-Lower Deschutes,"9,000-10,000'",55,199,50.6,115,92.3,"4,145",0.7,NA,NA,NA,158.8
3. Hood-Sandy-Lower Deschutes,">10,000'",48,143,35.7,67.1,92.7,691,0.2,NA,NA,NA,442.5
4. Klamath,"4,000-5,000'",0,0,0,0,0,0,"4,630.00",0.0 ( 3 ),0.0 ( 3 ),0.0 ( 1 ),0
4. Klamath,"5,000-6,000'",1,0,0,0,0,264,"2,247.50",0.0 ( 9 ),0.0 ( 9 ),NA,0
4. Klamath,"6,000-7,000'",14,9,1.6,0.8,7.7,"23,380",578.1,1.9 ( 3 ),0.7 ( 3 ),17.9 ( 1 ),0.8
4. Klamath,"7,000-8,000'",49,50,8.9,7,45,"32,082",85.8,0.0 ( 1 ),0.0 ( 1 ),NA,2.6
4. Klamath,"8,000-9,000'",67,97,17.1,18.6,73.8,"1,531",1.5,NA,NA,NA,7.4
5. Lewis,"2,000-3,000'",0,0,0,0,0,0,274.4,0.2 ( 2 ),0.0 ( 2 ),NA,0.1
5. Lewis,"3,000-4,000'",5,3,0.2,0.1,1.6,"1,615",213.1,7.5 ( 3 ),5.8 ( 3 ),NA,2.4
5. Lewis,"4,000-5,000'",16,12,1.6,1.1,10.1,"4,537",79.6,24.0 ( 2 ),21.5 ( 2 ),NA,15.6
5. Lewis,"5,000-6,000'",57,59,13,9.6,53.4,"5,521",10.8,NA,NA,NA,35
5. Lewis,"6,000-7,000'",67,90,29.2,25.1,69,"5,566",4.2,NA,NA,NA,63.3
5. Lewis,"7,000-8,000'",64,140,41.3,56.8,82.3,"2,338",0.8,NA,NA,NA,83.3
5. Lewis,">8,000'",55,152,38.2,67.1,76,"1,037",0.3,NA,NA,NA,109.4
6. Lower Cowlitz,"3,000-4,000'",6,5,0.2,0.1,1.2,778,139.5,6.8 ( 2 ),5.6 ( 2 ),NA,0.3
6. Lower Cowlitz,"4,000-5,000'",36,27,4.5,2.8,25.4,"6,361",42,NA,NA,NA,2.5
6. Lower Cowlitz,"5,000-6,000'",64,62,15.7,11.1,56.2,"3,813",6.5,NA,NA,NA,10.6
6. Lower Cowlitz,"6,000-7,000'",72,100,21.9,19.6,51.4,"1,716",1.6,NA,NA,NA,42.6
6. Lower Cowlitz,"7,000-8,000'",64,141,22.8,31.1,57.5,"1,602",1,NA,NA,NA,61
7. Naches,"4,000-5,000'",18,14,0.5,0.3,3,"4,985",328.6,10.2 ( 2 ),7.0 ( 2 ),NA,5.9
7. Naches,"5,000-6,000'",48,44,5.1,3.5,27.4,"44,122",236.5,33.4 ( 2 ),31.1 ( 2 ),NA,21
7. Naches,"6,000-7,000'",69,79,15.3,12.8,65.3,"32,481",47.6,NA,NA,NA,35.1
7. Naches,"7,000-8,000'",69,132,28.9,35.6,85.4,"2,568",1.4,NA,NA,NA,71.9
8. North Puget Sound,"1,000-2,000'",12,10,0,0,0,105,352,NA,NA,NA,0
8. North Puget Sound,"2,000-3,000'",29,16,0.3,0.1,1.1,"3,063",426.6,NA,NA,NA,2
8. North Puget Sound,"3,000-4,000'",68,40,4,1.7,12,"46,589",520.6,9.2 ( 3 ),7.4 ( 3 ),NA,13.6
8. North Puget Sound,"4,000-5,000'",107,79,15.7,7.8,43.7,"203,965",490.7,14.0 ( 4 ),11.9 ( 4 ),NA,36.2
8. North Puget Sound,"5,000-6,000'",117,117,27.8,17.8,72.8,"362,939",382.6,58.8 ( 3 ),56.2 ( 3 ),NA,58.4
8. North Puget Sound,"6,000-7,000'",110,142,31.9,25.3,81.5,"204,264",151.4,NA,NA,NA,72.8
8. North Puget Sound,"7,000-8,000'",98,169,33.6,34.6,85.9,"31,178",16.9,NA,NA,NA,102.6
8. North Puget Sound,"8,000-9,000'",97,173,42.2,47.6,93.9,"3,189",1.3,NA,NA,NA,279.6
9. Olympic,"4,000-5,000'",44,28,5.7,2.6,21.7,"18,421",132.3,12.0 ( 2 ),10.5 ( 2 ),8.4 ( 1 ),12.8
9. Olympic,"5,000-6,000'",63,59,16.2,10,48.5,"45,821",85.6,13.0 ( 1 ),9.3 ( 1 ),0.0 ( 1 ),21
9. Olympic,">6,000'",72,83,21.6,15.6,50.7,"15,299",18.4,NA,NA,NA,24.1
10. Rogue-Umpqua,"3,000-4,000'",0,0,0,0,0,0,"1,692.80",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 4 ),0
10. Rogue-Umpqua,"4,000-5,000'",0,0,0,0,0,0,927,0.1 ( 2 ),0.0 ( 2 ),0.0 ( 3 ),0
10. Rogue-Umpqua,"5,000-6,000'",10,3,1,0.2,3.8,"7,304",557.7,0.0 ( 2 ),0.0 ( 2 ),0.0 ( 2 ),0.1
10. Rogue-Umpqua,"6,000-7,000'",34,18,7.2,3.1,31.4,"31,702",194.2,0.4 ( 1 ),0.3 ( 1 ),0.0 ( 2 ),3.3
10. Rogue-Umpqua,"7,000-8,000'",58,65,17.6,12.8,63.9,"10,811",15.8,NA,NA,NA,8.8
10. Rogue-Umpqua,"8,000-9,000'",59,74,19.4,15.6,58.2,886,1.1,NA,NA,NA,11.8
11. South Puget Sound,"2,000-3,000'",0,0,0,0,0,0,405.8,0.0 ( 2 ),0.0 ( 3 ),NA,0
11. South Puget Sound,"3,000-4,000'",3,1,0.1,0,0.2,419,377.6,5.2 ( 6 ),3.0 ( 7 ),NA,1
11. South Puget Sound,"4,000-5,000'",27,18,1.4,0.7,6.7,"8,280",222.6,21.1 ( 3 ),18.9 ( 3 ),NA,6.8
11. South Puget Sound,"5,000-6,000'",70,61,11.8,7.6,50.9,"38,662",95.4,25.9 ( 1 ),23.8 ( 1 ),NA,28.4
11. South Puget Sound,"6,000-7,000'",68,86,22.6,19.2,72.9,"38,274",37.4,NA,NA,NA,57.6
11. South Puget Sound,"7,000-8,000'",68,130,38.3,46,87.3,"9,469",3.9,NA,NA,NA,109.8
11. South Puget Sound,"8,000-9,000'",66,-,62.2,-,98.7,-,0.8,NA,NA,NA,133.7
11. South Puget Sound,"9,000-10,000'",30,-,27.1,-,98.6,-,0.7,NA,NA,NA,243.7
11. South Puget Sound,"10,000-11,000'",30,-,49.1,-,98.8,-,0.8,NA,NA,NA,537.9
11. South Puget Sound,"11,000-12,000'",50,-,26.3,-,93.7,-,0.6,NA,NA,NA,690
11. South Puget Sound,"12,000-13,000'",35,-,61.9,-,99,-,0.4,NA,NA,NA,1025
11. South Puget Sound,">13,000'",18,-,84.8,-,100,-,0.2,NA,NA,NA,1151.8
12. Upper Columbia,"3,000-4,000'",7,10,0,0,0.1,942,"2,566.20",0.0 ( 1 ),0.0 ( 1 ),NA,0
12. Upper Columbia,"4,000-5,000'",29,36,0.5,0.3,2.1,"23,994","1,437.90",0.0 ( 3 ),0.0 ( 3 ),NA,1.5
12. Upper Columbia,"5,000-6,000'",73,87,6.1,4.4,26.6,"182,875",772.6,0.0 ( 2 ),0.0 ( 2 ),NA,13.4
12. Upper Columbia,"6,000-7,000'",96,120,17.8,14.2,66.9,"427,252",564,55.9 ( 1 ),54.5 ( 1 ),NA,28.5
12. Upper Columbia,"7,000-8,000'",93,128,22.4,19.2,72,"144,765",141.2,NA,NA,NA,33.7
12. Upper Columbia,"8,000-9,000'",96,144,24.8,22.5,68.1,"5,090",4.2,NA,NA,NA,36.5
13. Upper Cowlitz,"3,000-4,000'",9,5,0.1,0.1,0.9,"1,056",281.5,13.8 ( 1 ),9.8 ( 1 ),NA,2.3
13. Upper Cowlitz,"4,000-5,000'",29,18,1.9,1,10.2,"16,736",306.7,12.2 ( 2 ),8.9 ( 2 ),NA,10.8
13. Upper Cowlitz,"5,000-6,000'",65,54,12.3,7.5,47.2,"42,587",106.3,NA,NA,NA,32.4
13. Upper Cowlitz,"6,000-7,000'",77,89,29.8,22.9,82.5,"24,141",19.8,NA,NA,NA,67
13. Upper Cowlitz,"7,000-8,000'",71,142,38.3,48.3,85.7,"7,209",2.8,NA,NA,NA,99.1
13. Upper Cowlitz,"8,000-9,000'",66,167,46.1,74.6,99.9,768,0.2,NA,NA,NA,125.6
13. Upper Cowlitz,"9,000-10,000'",56,185,54.5,111,94.3,"2,286",0.4,NA,NA,NA,222.4
13. Upper Cowlitz,"10,000-11,000'",10,23,29.4,54.2,91.3,279,0.1,NA,NA,NA,635.6
14. Upper Deschutes-Crooked,"4,000-5,000'",1,0,0,0,0,140,"3,903.90",0.0 ( 1 ),0.0 ( 1 ),NA,0
14. Upper Deschutes-Crooked,"5,000-6,000'",12,6,0.5,0.2,1.8,"16,237","1,478.40",2.1 ( 6 ),2.0 ( 6 ),NA,0.4
14. Upper Deschutes-Crooked,"6,000-7,000'",35,30,6.3,3.9,25.9,"52,784",255.5,NA,NA,NA,6.2
14. Upper Deschutes-Crooked,"7,000-8,000'",51,75,16.3,16,60.9,"34,220",40.2,NA,NA,NA,13.2
14. Upper Deschutes-Crooked,"8,000-9,000'",51,117,24,33.4,76.7,"5,507",3.1,NA,NA,NA,32.6
14. Upper Deschutes-Crooked,"9,000-10,000'",69,169,33.3,47.7,81.2,"1,718",0.7,NA,NA,NA,39.9
15. Upper Yakima,"3,000-4,000'",11,6,0.3,0.2,1.8,"4,106",489,4.4 ( 1 ),0.0 ( 1 ),NA,1.5
15. Upper Yakima,"4,000-5,000'",32,23,2.9,1.5,12.8,"29,529",359.8,0.4 ( 1 ),0.0 ( 1 ),NA,5.4
15. Upper Yakima,"5,000-6,000'",59,51,10.3,6.2,34.8,"53,353",161.7,0.0 ( 1 ),0.0 ( 1 ),NA,13.8
15. Upper Yakima,"6,000-7,000'",77,89,21.4,16.7,60.6,"18,181",20.5,NA,NA,NA,33.5
15. Upper Yakima,"7,000-8,000'",76,136,44.1,46.9,88,"1,691",0.7,NA,NA,NA,79.9
16. Willamette,"0-1,000'",NA,NA,0,0,0,27,"5,006.40",0.0 ( 1 ),0.0 ( 1 ),NA,0
16. Willamette,"1,000-2,000'",0,0,0,0,0,0,"2,005.80",0.0 ( 1 ),0.0 ( 1 ),NA,0
16. Willamette,"2,000-3,000'",0,0,0,0,0,0,"1,614.10",0.0 ( 2 ),0.0 ( 2 ),NA,0
16. Willamette,"3,000-4,000'",0,0,0,0,0,0,"1,472.90",0.1 ( 7 ),0.0 ( 7 ),NA,0
16. Willamette,"4,000-5,000'",5,1,0.2,0,0.4,"1,390",879.1,0.0 ( 7 ),0.0 ( 7 ),NA,0.2
16. Willamette,"5,000-6,000'",29,15,3.8,1.7,18,"37,863",410.8,NA,NA,NA,1.1
16. Willamette,"6,000-7,000'",52,52,14.3,9.7,52.6,"35,688",68.9,NA,NA,NA,11.6
16. Willamette,"7,000-8,000'",65,104,30.4,30.1,65.1,"14,727",9.2,NA,NA,NA,28.9
16. Willamette,"8,000-9,000'",65,177,41.2,69,68.2,"11,005",3,NA,NA,NA,31.8
16. Willamette,"9,000-10,000'",67,215,38,74.9,73.7,"3,084",0.8,NA,NA,NA,36.8
