,4/1/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026,4/5/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026
Basin,%4/1 Avg.,%4/5 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,82,75,14.8,14.5,53.7,"1,645,761","2,129.50",17.1 ( 7 ),17.0 ( 7 ),25
2. Central Puget Sound,128,107,13.7,14.9,43.5,"988,617","1,246.10",24.7 ( 5 ),25.5 ( 5 ),27.8
3. Hood-Sandy-Lower Deschutes,28,32,0.7,0.8,4.9,"229,803","5,083.40",6.4 ( 11 ),6.7 ( 11 ),3.3
4. Klamath,6,8,0.2,0.2,2.1,"97,878","7,543.00",0.5 ( 16 ),0.7 ( 16 ),0.3
5. Lewis,28,33,1.4,1.8,7.9,"54,933",583.2,12.4 ( 7 ),13.8 ( 7 ),7.7
6. Lower Cowlitz,45,54,4,4.9,29.2,"50,160",190.5,6.7 ( 2 ),7.8 ( 2 ),5.2
7. Naches,53,53,5.2,5.6,33.7,"183,788",614,25.2 ( 4 ),25.8 ( 4 ),19.8
8. North Puget Sound,133,121,14,15.3,42.7,"1,915,548","2,342.10",31.5 ( 9 ),31.7 ( 9 ),33.3
9. Olympic,79,82,15.2,18.6,60.5,"234,569",236.4,15.1 ( 3 ),15.7 ( 3 ),22.6
10. Rogue-Umpqua,11,13,0.5,0.6,3.5,"110,211","3,388.60",0.2 ( 6 ),0.3 ( 6 ),0.7
11. South Puget Sound,53,66,2.8,4.1,14.5,"253,428","1,146.00",12.4 ( 14 ),13.7 ( 13 ),15.7
12. Upper Columbia,75,82,5.9,6,27.3,"1,753,464","5,486.20",8.3 ( 7 ),8.9 ( 7 ),8.3
13. Upper Cowlitz,61,57,4.6,5.4,19.7,"205,349",717.7,17.4 ( 3 ),18.3 ( 3 ),20.5
14. Upper Deschutes-Crooked,13,17,0.5,0.7,3.4,"205,191","5,681.70",2.5 ( 7 ),2.9 ( 7 ),0.9
15. Upper Yakima,51,46,5.3,5.2,24.5,"284,851","1,031.70",8.3 ( 3 ),7.7 ( 3 ),10
16. Willamette,21,26,0.3,0.4,1.9,"247,590","11,470.90",0.4 ( 18 ),0.7 ( 18 ),0.5
