,,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,Elevation Band,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
10. Grande Ronde-Burnt-Powder-Imnaha,"6,000-7,000'",88,71,11.5,9.8,70.3,"248,830",477.3,2.9 ( 1 ),0.0 ( 1 ),7.6
10. Grande Ronde-Burnt-Powder-Imnaha,"7,000-8,000'",111,102,21.8,21.1,88.6,"306,040",271.5,11.3 ( 2 ),10.4 ( 2 ),10.8
10. Grande Ronde-Burnt-Powder-Imnaha,"8,000-9,000'",115,110,26,26.3,80.6,"108,981",77.8,NA,NA,10.7
10. Grande Ronde-Burnt-Powder-Imnaha,"9,000-10,000'",108,101,20.4,20.1,69.9,"2,074",1.9,NA,NA,3.3
11. Guano,"5,000-6,000'",0,0,0,0,0,0,"1,512.90",0.0 ( 1 ),0.0 ( 1 ),0
11. Guano,"6,000-7,000'",1,0,0,0,0,0,525.7,NA,NA,0
11. Guano,"7,000-8,000'",36,0,3.4,0,0,0,24.3,NA,NA,0
12. Harney-Malheur Lakes,"5,000-6,000'",16,0,0.5,0,0,0,254.2,NA,NA,0
12. Harney-Malheur Lakes,"6,000-7,000'",10,1,0.6,0.1,1.1,85,26.4,NA,NA,0
13. John Day,"5,000-6,000'",10,5,0.6,0.3,4.4,"17,267","1,202.60",1.7 ( 3 ),0.1 ( 3 ),0.1
13. John Day,"6,000-7,000'",60,44,6.8,5.2,47.1,"68,461",247.5,NA,NA,1.3
13. John Day,"7,000-8,000'",107,91,17.2,15.5,81.6,"43,901",53,NA,NA,4.6
13. John Day,"8,000-9,000'",115,98,18.7,17.2,75.1,"1,501",1.6,NA,NA,7.1
14. Kootenai,"4,000-5,000'",48,41,1.6,1.2,13.2,"58,386",880.8,6.9 ( 2 ),6.3 ( 2 ),3.6
14. Kootenai,"5,000-6,000'",97,85,6.7,6.2,39.1,"202,044",611.9,17.9 ( 2 ),23.6 ( 3 ),13.6
14. Kootenai,"6,000-7,000'",165,147,15,15,73.2,"137,834",172.1,32.1 ( 1 ),33.0 ( 1 ),28.9
14. Kootenai,">7,000'",182,173,20.4,20.9,87.8,"7,849",7,NA,NA,42
15. Lake County-Goose Lake,"5,000-6,000'",1,0,0,0,0.1,423,"2,708.10",0.0 ( 1 ),0.0 ( 1 ),0
15. Lake County-Goose Lake,"6,000-7,000'",14,4,1.3,0.4,6.2,"16,442",801.6,NA,NA,0
15. Lake County-Goose Lake,"7,000-8,000'",49,27,6.8,3.9,44.3,"23,078",111.4,12.8 ( 1 ),8.9 ( 1 ),0.6
15. Lake County-Goose Lake,"8,000-9,000'",68,45,12.2,8.3,69.1,"1,108",2.5,NA,NA,4
16. Little Humboldt,"6,000-7,000'",0,0,0,0,0,16,326.8,0.4 ( 2 ),0.0 ( 2 ),0
16. Little Humboldt,"7,000-8,000'",17,5,1.6,0.5,5.7,"2,202",84.7,NA,NA,0
16. Little Humboldt,"8,000-9,000'",51,30,7.2,4.1,40,"1,943",8.8,6.6 ( 1 ),3.3 ( 1 ),0.3
16. Little Humboldt,"9,000-10,000'",61,51,8.9,7.4,55.8,192,0.5,NA,NA,2.1
17. Lower Clark Fork,"5,000-6,000'",141,122,8.4,7.7,55.7,"451,969","1,098.30",33.0 ( 1 ),33.7 ( 1 ),14.4
17. Lower Clark Fork,"6,000-7,000'",182,161,16.2,16.1,86.4,"300,002",348.7,41.2 ( 1 ),41.6 ( 1 ),24.3
17. Lower Clark Fork,"7,000-8,000'",228,203,21.6,22.1,95.2,"31,916",27.1,37.2 ( 1 ),38.0 ( 1 ),36.4
17. Lower Clark Fork,"8,000-9,000'",289,282,23.5,25.5,95,788,0.6,NA,NA,40.2
18. Lower Humboldt,"6,000-7,000'",0,0,0,0,0,0,207.6,0.0 ( 1 ),0.0 ( 1 ),0
18. Lower Humboldt,"7,000-8,000'",3,0,0.2,0,0,0,48.6,NA,NA,0
18. Lower Humboldt,"8,000-9,000'",36,5,3.3,0.5,3.3,402,15.9,NA,NA,0
18. Lower Humboldt,"9,000-10,000'",76,45,9.5,5.2,16.6,134,0.5,NA,NA,0
19. Lower Pend Oreille,"5,000-6,000'",115,100,8.4,7.5,46.9,"43,857",109.3,12.9 ( 1 ),12.1 ( 1 ),14.8
19. Lower Pend Oreille,">6,000'",150,140,16.4,16.1,77.9,"20,759",24.1,NA,NA,21.7
20. Lower Snake-Asotin,"3,000-4,000'",12,5,0.1,0,0.7,181,192.5,0.2 ( 1 ),0.0 ( 1 ),0
20. Lower Snake-Asotin,"4,000-5,000'",70,57,2.8,1.9,40.2,"10,440",102.1,NA,NA,0.4
20. Lower Snake-Asotin,"5,000-6,000'",75,54,7.7,5.4,77.1,"10,750",37.5,NA,NA,5.3
20. Lower Snake-Asotin,"6,000-7,000'",98,92,15.9,15,100,"1,312",1.6,NA,NA,14.4
21. Lower Snake-Tucannon,"4,000-5,000'",100,77,4.5,2.8,62.1,"9,613",64.2,NA,NA,1.5
21. Lower Snake-Tucannon,"5,000-6,000'",92,73,9.3,7.1,92.2,"15,895",41.8,NA,NA,9.1
21. Lower Snake-Tucannon,"6,000-7,000'",119,104,16.4,15,97.1,"1,851",2.3,NA,NA,16.5
22. Lower Yakima,"3,000-4,000'",4,0,0.1,0,0.1,26,311.2,NA,NA,0
