,,3/1/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026,3/8/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026
Basin,Elevation Band,%3/1 Avg.,%3/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,"3,000-4,000'",36,35,3.2,3.2,22.8,"110,725",658.8,16.6 ( 2 ),16.0 ( 2 ),5.4
1. Central Columbia,"4,000-5,000'",69,69,10,10.8,56.5,"306,141",532.7,3.7 ( 2 ),2.7 ( 2 ),16.2
1. Central Columbia,"5,000-6,000'",91,93,17.7,19.5,80,"555,981",533.9,22.0 ( 2 ),23.1 ( 2 ),28
1. Central Columbia,"6,000-7,000'",95,98,23.2,25.8,86.9,"443,642",323,NA,NA,39.5
1. Central Columbia,"7,000-8,000'",89,91,25.5,28.4,87.2,"117,936",77.9,NA,NA,47
1. Central Columbia,"8,000-9,000'",87,89,24.6,27.8,91.3,"4,865",3.3,NA,NA,47.5
2. Central Puget Sound,"3,000-4,000'",77,78,2.5,3,14.4,"88,546",555.8,19.3 ( 3 ),19.4 ( 3 ),12.1
2. Central Puget Sound,"4,000-5,000'",128,129,9.5,11,40.3,"267,749",457.3,16.4 ( 2 ),16.3 ( 2 ),19.1
2. Central Puget Sound,"5,000-6,000'",155,158,22.7,25.1,72.2,"239,670",179.2,NA,NA,35.2
2. Central Puget Sound,"6,000-7,000'",129,132,30.5,33.5,87.3,"85,432",47.8,NA,NA,59.2
2. Central Puget Sound,"7,000-8,000'",105,108,32.6,36.1,97.2,"11,155",5.8,NA,NA,80
2. Central Puget Sound,"8,000-9,000'",93,100,39.2,43.3,100,446,0.2,NA,NA,90.2
2. Central Puget Sound,">9,000'",133,122,49.2,54.5,98.9,281,0.1,NA,NA,132.4
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",3,3,0,0,0.8,"1,596","2,531.10",0.5 ( 1 ),0.2 ( 1 ),0.2
3. Hood-Sandy-Lower Deschutes,"3,000-4,000'",9,8,0.2,0.2,5.6,"15,433","1,613.30",5.7 ( 5 ),4.9 ( 5 ),3.6
3. Hood-Sandy-Lower Deschutes,"4,000-5,000'",29,26,1.9,1.8,25.4,"65,821",693.5,10.2 ( 2 ),9.9 ( 2 ),9.9
3. Hood-Sandy-Lower Deschutes,"5,000-6,000'",60,58,7.8,8.2,64.5,"88,868",203,10.8 ( 2 ),10.9 ( 2 ),16.4
3. Hood-Sandy-Lower Deschutes,"6,000-7,000'",69,69,17.9,19.4,88.1,"32,720",31.7,15.9 ( 1 ),16.4 ( 1 ),36.6
3. Hood-Sandy-Lower Deschutes,"7,000-8,000'",63,62,23.1,25.4,91.9,"10,968",8.1,NA,NA,51.9
3. Hood-Sandy-Lower Deschutes,"8,000-9,000'",59,57,32.9,36.9,95.2,"3,614",1.8,NA,NA,67.7
3. Hood-Sandy-Lower Deschutes,"9,000-10,000'",52,52,40.3,45.4,96.8,"1,635",0.7,NA,NA,131.8
3. Hood-Sandy-Lower Deschutes,">10,000'",48,47,29.5,33.7,95.6,347,0.2,NA,NA,418.1
4. Klamath,"4,000-5,000'",1,0,0,0,0.2,569,"4,630.00",0.2 ( 3 ),0.1 ( 3 ),0.1
4. Klamath,"5,000-6,000'",8,5,0.6,0.4,6,"42,629","2,247.50",3.3 ( 9 ),3.4 ( 9 ),1.3
4. Klamath,"6,000-7,000'",37,36,5.2,5.2,56.8,"159,339",578.1,7.4 ( 3 ),7.4 ( 3 ),5.1
4. Klamath,"7,000-8,000'",61,62,10.8,11.5,82.8,"52,737",85.8,4.0 ( 1 ),4.4 ( 1 ),9
4. Klamath,"8,000-9,000'",74,74,16.3,17.2,93.7,"1,418",1.5,NA,NA,16.1
5. Lewis,"2,000-3,000'",6,5,0.1,0.1,1,992,274.4,0.5 ( 2 ),0.2 ( 2 ),1.7
5. Lewis,"3,000-4,000'",19,17,0.8,0.9,8.7,"10,173",213.1,14.4 ( 3 ),14.0 ( 3 ),9.3
5. Lewis,"4,000-5,000'",37,35,2.4,2.6,18.8,"11,153",79.6,22.8 ( 2 ),24.3 ( 2 ),19
5. Lewis,"5,000-6,000'",77,74,11.3,12.3,59.6,"7,068",10.8,NA,NA,27.5
5. Lewis,"6,000-7,000'",76,76,24.4,26.6,84,"5,886",4.2,NA,NA,42.9
5. Lewis,"7,000-8,000'",64,63,33.3,36.4,82.4,"1,499",0.8,NA,NA,56.5
5. Lewis,">8,000'",55,54,30.6,33.7,77.3,520,0.3,NA,NA,84.2
6. Lower Cowlitz,"3,000-4,000'",24,24,1.4,1.4,19.8,"10,561",139.5,8.8 ( 2 ),7.9 ( 2 ),3.9
6. Lower Cowlitz,"4,000-5,000'",51,50,6.7,7.2,56.8,"16,059",42,NA,NA,10.4
6. Lower Cowlitz,"5,000-6,000'",68,69,14.9,16.1,80.3,"5,555",6.5,NA,NA,15.4
6. Lower Cowlitz,"6,000-7,000'",86,81,20,21.3,73.2,"1,862",1.6,NA,NA,31.7
6. Lower Cowlitz,"7,000-8,000'",68,67,18.5,20.6,77.6,"1,061",1,NA,NA,42.9
7. Naches,"4,000-5,000'",37,35,2.2,2.1,38.4,"36,854",328.6,12.0 ( 2 ),11.6 ( 2 ),9.9
7. Naches,"5,000-6,000'",65,66,6.6,7.3,57.3,"91,591",236.5,25.6 ( 2 ),26.8 ( 2 ),19.5
7. Naches,"6,000-7,000'",81,83,14.4,15.8,81.3,"40,159",47.6,NA,NA,28
7. Naches,"7,000-8,000'",75,75,24.4,27,96.7,"1,943",1.4,NA,NA,49.5
8. North Puget Sound,"1,000-2,000'",11,10,0,0,0.2,355,352,NA,NA,0.2
8. North Puget Sound,"2,000-3,000'",54,52,0.7,0.9,5.1,"19,870",426.6,NA,NA,4.4
8. North Puget Sound,"3,000-4,000'",117,113,4.9,5.7,24.5,"158,358",520.6,10.4 ( 3 ),11.4 ( 3 ),17.1
8. North Puget Sound,"4,000-5,000'",146,144,14.4,16.3,54,"426,131",490.7,18.3 ( 4 ),19.1 ( 4 ),35.8
8. North Puget Sound,"5,000-6,000'",138,140,23.9,26.6,78.2,"543,594",382.6,52.0 ( 3 ),54.9 ( 3 ),52.7
8. North Puget Sound,"6,000-7,000'",122,125,27.2,30.4,87.2,"245,260",151.4,NA,NA,62.4
8. North Puget Sound,"7,000-8,000'",107,108,27.8,31.4,91.7,"28,328",16.9,NA,NA,85.4
8. North Puget Sound,"8,000-9,000'",107,112,35.7,40,94.8,"2,678",1.3,NA,NA,251.8
9. Olympic,"4,000-5,000'",54,54,6.1,6.7,34.3,"47,417",132.3,12.7 ( 2 ),13.2 ( 2 ),15
9. Olympic,"5,000-6,000'",71,72,17.1,18.6,76,"84,866",85.6,13.8 ( 1 ),12.7 ( 1 ),21.3
9. Olympic,">6,000'",74,74,20.7,22.5,78.2,"22,077",18.4,NA,NA,23.3
10. Rogue-Umpqua,"3,000-4,000'",2,0,0,0,0.2,220,"1,692.80",0.3 ( 1 ),0.4 ( 1 ),0
10. Rogue-Umpqua,"4,000-5,000'",3,2,0.1,0.1,1.1,"3,244",927,0.2 ( 2 ),0.4 ( 2 ),0.3
10. Rogue-Umpqua,"5,000-6,000'",23,23,2.3,2.7,27.1,"79,494",557.7,0.3 ( 2 ),0.2 ( 2 ),4.2
10. Rogue-Umpqua,"6,000-7,000'",41,44,7.8,9.2,61.1,"95,577",194.2,6.5 ( 1 ),6.3 ( 1 ),10.5
10. Rogue-Umpqua,"7,000-8,000'",66,68,15.7,17.3,87.4,"14,614",15.8,NA,NA,14.3
10. Rogue-Umpqua,"8,000-9,000'",66,67,18.7,20.4,88.3,"1,154",1.1,NA,NA,16.2
11. South Puget Sound,"2,000-3,000'",1,0,0,0,0,58,405.8,0.0 ( 2 ),0.0 ( 3 ),0.2
11. South Puget Sound,"3,000-4,000'",5,6,0.1,0.2,1.5,"3,166",377.6,5.5 ( 7 ),5.3 ( 7 ),2.9
11. South Puget Sound,"4,000-5,000'",29,32,1.4,1.6,10.1,"19,185",222.6,16.6 ( 3 ),17.3 ( 3 ),7.9
11. South Puget Sound,"5,000-6,000'",72,76,9.7,10.9,53.5,"55,538",95.4,17.4 ( 1 ),18.9 ( 1 ),22.2
11. South Puget Sound,"6,000-7,000'",75,76,20,21.6,86,"43,084",37.4,NA,NA,41.8
11. South Puget Sound,"7,000-8,000'",65,65,29.5,32.4,90.5,"6,677",3.9,NA,NA,77
11. South Puget Sound,"8,000-9,000'",60,60,44.7,50.1,87.1,"2,062",0.8,NA,NA,97.4
