,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,20,9,1.2,0.5,4.1,"8,740",322.7,NA,NA,0
2. Bitterroot,115,110,9.3,9.4,57.2,"975,845","1,955.00",18.3 ( 4 ),16.5 ( 4 ),11.3
3. Carson,41,25,2.4,1.4,12.8,"102,893","1,407.70",11.5 ( 7 ),7.7 ( 7 ),1
4. Clearwater Basin,127,115,7,6.7,41.6,"2,659,072","7,475.20",23.0 ( 11 ),22.0 ( 11 ),12.4
5. Clover Valley and Franklin,12,7,0.2,0.1,1.4,"29,271","4,115.00",2.1 ( 2 ),0.0 ( 2 ),0
6. Donner und Blitzen,36,16,3.9,1.6,14.2,"18,970",219.9,7.4 ( 2 ),4.8 ( 2 ),0.4
7. Dry Lake Valley,10,4,0.3,0.1,1.3,"1,989",296.3,NA,NA,0
8. Eastern Nevada,19,8,0.7,0.3,3.2,"69,525","4,375.20",4.8 ( 7 ),3.2 ( 8 ),0.1
9. Flathead,150,136,7.2,7.2,41.6,"2,922,770","7,644.30",20.2 ( 13 ),19.9 ( 13 ),11.7
10. Grande Ronde-Burnt-Powder-Imnaha,52,44,3.8,3,20.7,"860,040","5,316.00",7.4 ( 11 ),5.2 ( 11 ),2.1
11. Guano,4,0,0,0,0,0,"2,062.90",0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,14,0,0.5,0,0.1,85,280.6,NA,NA,0
13. John Day,30,24,2.2,1.6,14.3,"131,129","1,504.70",2.6 ( 2 ),0.2 ( 2 ),0.5
14. Kootenai,93,84,4.9,4.6,29.2,"406,113","1,671.80",16.3 ( 5 ),15.9 ( 5 ),10
15. Lake County-Goose Lake,11,5,0.5,0.2,2.8,"41,052","3,623.70",6.4 ( 2 ),4.5 ( 2 ),0
16. Little Humboldt,9,4,0.5,0.2,2.1,"4,352",420.8,2.4 ( 3 ),1.1 ( 3 ),0
17. Lower Clark Fork,156,136,10.5,10,63.7,"784,674","1,474.70",37.1 ( 3 ),37.5 ( 4 ),17.2
18. Lower Humboldt,9,2,0.2,0,0.2,536,272.6,0.0 ( 1 ),0.0 ( 1 ),0
19. Lower Pend Oreille,123,110,9.9,9.1,52.5,"64,616",133.4,12.9 ( 1 ),12.1 ( 1 ),16
20. Lower Snake-Asotin,67,53,1.8,1.3,21.9,"22,684",333.7,0.2 ( 1 ),0.0 ( 1 ),0.8
21. Lower Snake-Tucannon,96,75,6.6,4.7,74.5,"27,359",108.3,NA,NA,4.7
22. Lower Yakima,33,22,1.9,1.2,14.9,"30,672",485,14.3 ( 2 ),12.3 ( 2 ),1.3
23. Malheur,28,17,2,1.1,12.4,"56,227",989.2,2.3 ( 3 ),1.4 ( 3 ),0.5
24. Middle Humboldt,4,0,0.1,0,0,136,633,NA,NA,0
25. Northern Big Smoky Valley,19,10,1,0.6,7.4,"17,361",572.8,NA,NA,0.2
26. Northern Great Basin,9,4,0.3,0.1,1,"11,796","2,224.90",1.3 ( 2 ),0.0 ( 2 ),0
27. Panhandle Basins,107,96,5.4,5,32.1,"434,334","1,644.60",19.4 ( 3 ),18.6 ( 3 ),9.5
28. Reese,16,7,0.9,0.4,4.8,"10,592",496.9,3.3 ( 2 ),0.9 ( 2 ),0.1
29. Rock,3,1,0.1,0,0.1,352,835.5,6.2 ( 1 ),1.8 ( 1 ),0
30. Salmon Basin,110,95,10.5,9.2,64.9,"5,880,371","11,950.50",17.2 ( 11 ),16.5 ( 11 ),8.8
31. Silver,7,0,0.2,0,0.1,96,444.3,NA,NA,0
32. Silvies,9,2,0.4,0.1,0.8,"4,817","1,317.40",3.0 ( 2 ),1.5 ( 2 ),0
33. Southern Snake Basins,17,6,0.5,0.2,1.5,"104,520","12,552.70",3.7 ( 11 ),2.5 ( 13 ),0.1
34. Spokane,126,111,4.1,3.5,32.7,"592,880","3,142.80",11.6 ( 8 ),10.2 ( 8 ),6.9
35. St. Mary,146,124,11.6,10.8,65.2,"384,576",668.1,4.3 ( 1 ),0.7 ( 1 ),8.5
36. Truckee,32,15,2.4,1,11.4,"79,513","1,443.60",10.9 ( 9 ),7.4 ( 9 ),1.6
37. Umatilla-Walla Walla-Willow,25,19,0.7,0.5,6.3,"34,976","1,434.30",7.1 ( 7 ),5.9 ( 7 ),0.5
38. Upper Humboldt,19,13,0.6,0.4,3.4,"98,898","5,035.80",4.3 ( 8 ),2.0 ( 8 ),0.2
39. Walker,39,24,2.3,1.3,14.6,"139,744","1,942.90",13.3 ( 7 ),10.9 ( 7 ),1.5
40. West Central Basins,68,54,8,6.2,46.1,"1,879,401","5,702.10",12.4 ( 16 ),10.7 ( 16 ),6
