,,4/20/2025,4/27/2025,4/20/2025,4/27/2025,4/27/2025,4/27/2025,4/27/2025,4/20/2025,4/27/2025
Basin,Elevation Band,%4/20 Avg.,%4/27 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,"2,000-3,000'",0,0,0,0,0,0,"1,720",NA,NA
,"3,000-4,000'",0,0,0,0,0,0,"1,722",NA,NA
,"4,000-5,000'",14,0,0,0,0,0,"2,827",NA,NA
,"5,000-6,000'",90,11,0.2,0,0.2,294,721,1.5 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",120,14,1.4,0.1,1.1,749,209,NA,NA
,"7,000-8,000'",126,0,2.7,0,0,0,1,NA,NA
2. Bighorn,"2,000-3,000'",0,0,0,0,0,0,213,NA,NA
,"3,000-4,000'",80,>300†,0,0,0,1,"2,480",NA,NA
,"4,000-5,000'",>300†,53,0,0,0,33,"5,267",NA,NA
,"5,000-6,000'",>300†,>300†,0.1,0,0.5,"5,951","5,480",NA,NA
,"6,000-7,000'",309,197,1,0.2,3.9,"40,763","3,200",NA,NA
,"7,000-8,000'",189,156,4.2,1.7,22.2,"169,747","1,827",5.0 ( 3 ),4.7 ( 3 )
,"8,000-9,000'",119,132,9.1,7.3,66.6,"608,766","1,565",6.9 ( 7 ),6.5 ( 7 )
,"9,000-10,000'",100,102,13,12.3,87.1,"906,961","1,381",14.1 ( 8 ),14.5 ( 8 )
,"10,000-11,000'",92,89,15.5,15,88.4,"740,804",926,17.2 ( 3 ),18.3 ( 3 )
,"11,000-12,000'",90,86,17.6,16.8,86.7,"326,880",364,NA,NA
,">12,000'",89,84,21.7,20.1,88.1,"38,296",36,NA,NA
3. Cheyenne,"2,000-3,000'",0,0,0,0,0,0,"3,403",NA,NA
,"3,000-4,000'",0,0,0,0,0,0,"3,657",NA,NA
,"4,000-5,000'",0,0,0,0,0,0,"5,671",NA,NA
,"5,000-6,000'",29,1,0,0,0,2,"2,141",NA,NA
,"6,000-7,000'",81,50,0.2,0.1,1.2,"1,353",472,0.1 ( 2 ),0.1 ( 2 )
,"7,000-8,000'",100,32,0.8,0.1,2.2,28,5,NA,NA
4. Gallatin,"4,000-5,000'",38,0,0,0,0,0,462,NA,NA
,"5,000-6,000'",194,23,0.8,0,0.6,622,300,NA,NA
,"6,000-7,000'",141,105,3.9,1.5,18,"21,754",271,11.8 ( 1 ),11.7 ( 1 )
,"7,000-8,000'",103,97,8.1,5.2,49.5,"106,119",380,NA,NA
,"8,000-9,000'",87,76,12.4,9.7,68.1,"161,511",314,24.5 ( 2 ),24.7 ( 2 )
,"9,000-10,000'",90,72,16.5,13,69.8,"78,878",114,26.8 ( 1 ),26.2 ( 1 )
,"10,000-11,000'",94,81,19.7,16.1,76.2,"5,394",6,NA,NA
5. Jefferson,"5,000-6,000'",171,30,0.1,0,0,98,"1,658",NA,NA
,"6,000-7,000'",131,76,1.3,0.4,3.6,"58,599","3,121",0.2 ( 2 ),0.0 ( 2 )
,"7,000-8,000'",121,102,5.7,3.3,27.9,"468,144","2,638",7.2 ( 3 ),5.9 ( 3 )
,"8,000-9,000'",92,94,10.8,8.7,58.8,"526,161","1,135",17.0 ( 6 ),16.9 ( 6 )
,"9,000-10,000'",88,90,14.8,13.7,73.8,"166,870",228,19.8 ( 2 ),19.4 ( 2 )
,"10,000-11,000'",97,94,15.8,15.3,78.2,"5,815",7,NA,NA
6. Madison Headwaters in WY,"4,000-5,000'",34,0,0,0,0,0,165,NA,NA
,"5,000-6,000'",263,12,0.3,0,0,42,440,NA,NA
,"6,000-7,000'",136,64,2.7,0.5,7.6,"14,285",491,10.2 ( 2 ),7.2 ( 2 )
,"7,000-8,000'",93,92,6.7,4.7,46,"181,485",719,17.3 ( 3 ),16.5 ( 3 )
,"8,000-9,000'",86,80,12.1,10.3,72.4,"310,191",564,24.2 ( 2 ),23.9 ( 2 )
,"9,000-10,000'",91,81,17.7,15.1,79.9,"107,267",133,NA,NA
,">10,000'",92,81,21.5,19.1,84.3,"11,297",11,NA,NA
7. North Platte,"7,000-8,000'",172,12,1.5,0,0.3,"8,318","6,341",3.6 ( 2 ),1.2 ( 2 )
,"8,000-9,000'",119,54,4.5,1,13,"138,133","2,477",8.1 ( 6 ),6.1 ( 6 )
,"9,000-10,000'",86,69,9.3,6.1,65.7,"323,471",990,18.5 ( 9 ),16.2 ( 9 )
,"10,000-11,000'",87,72,14.9,11.8,84.7,"257,340",409,29.3 ( 5 ),29.1 ( 5 )
,"11,000-12,000'",90,73,18.2,13.8,81,"44,953",61,NA,NA
,"12,000-13,000'",93,74,20.2,12.9,71.7,"2,054",3,NA,NA
8. Powder,"2,000-3,000'",0,0,0,0,0,0,"1,208",NA,NA
,"3,000-4,000'",0,0,0,0,0,0,"3,983",NA,NA
,"4,000-5,000'",>300†,0,0,0,0,0,"4,641",NA,NA
,"5,000-6,000'",105,25,0,0,0,8,"2,030",NA,NA
,"6,000-7,000'",192,81,0.3,0.1,0.8,"1,857",596,NA,NA
,"7,000-8,000'",136,78,4,0.8,9.1,"20,224",496,NA,NA
,"8,000-9,000'",98,94,6.8,3.8,43.1,"58,710",289,3.0 ( 4 ),2.5 ( 4 )
,"9,000-10,000'",86,88,10.3,9.7,85.4,"41,819",81,11.1 ( 1 ),11.6 ( 1 )
,"10,000-11,000'",86,85,13.4,13.5,90.6,"30,333",42,NA,NA
,">11,000'",87,84,16.6,17.4,92.1,"17,612",19,NA,NA
9. Smith-Judith-Musselshell,"4,000-5,000'",83,26,0,0,0,189,"4,188",NA,NA
