,,5/11/2025,5/17/2025,5/11/2025,5/17/2025,5/17/2025,5/17/2025,5/17/2025,5/11/2025,5/17/2025
Basin,Elevation Band,%5/11 Avg.,%5/17 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,"3,000-4,000'",44,58,0.5,0.7,6.6,"24,998",658,0.0 ( 2 ),0.0 ( 2 )
,"4,000-5,000'",52,61,3.6,4.4,32.1,"129,129",548,2.5 ( 3 ),0.7 ( 3 )
,"5,000-6,000'",59,63,9.2,9.8,57.6,"274,534",527,7.6 ( 2 ),6.5 ( 2 )
,"6,000-7,000'",62,69,15.1,15.1,68,"261,276",324,30.4 ( 1 ),27.5 ( 1 )
,"7,000-8,000'",65,78,19.2,20.1,70.2,"80,950",75,NA,NA
,"8,000-9,000'",65,83,21,18.9,68.3,"3,114",3,NA,NA
2. Central Puget Sound,"3,000-4,000'",35,33,1,1.2,9.5,"36,243",555,16.8 ( 3 ),14.8 ( 3 )
,"4,000-5,000'",57,50,6.8,6.9,40.3,"166,733",451,18.1 ( 2 ),14.6 ( 2 )
,"5,000-6,000'",65,56,16,14.5,65.9,"140,607",182,NA,NA
,"6,000-7,000'",61,65,23,22.4,74.7,"54,478",46,NA,NA
,"7,000-8,000'",59,75,26.9,29.5,91.3,"7,145",5,NA,NA
,"8,000-9,000'",68,84,-,-,99.9,-,0,NA,NA
,">9,000'",128,41,-,23.3,99.7,120,0,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",0,0,0,0,0,0,"2,525",0.2 ( 1 ),0.3 ( 1 )
,"3,000-4,000'",9,10,0,0,0.3,"1,710","1,622",0.1 ( 4 ),0.1 ( 4 )
,"4,000-5,000'",49,54,0.8,0.8,9.4,"30,801",682,8.8 ( 3 ),7.0 ( 3 )
,"5,000-6,000'",77,82,6.9,6.6,42.6,"72,652",206,18.2 ( 2 ),35.2 ( 1 )
,"6,000-7,000'",75,81,20.5,21.8,80.8,"38,993",33,39.1 ( 1 ),36.7 ( 1 )
,"7,000-8,000'",70,86,33.9,37.2,86.5,"17,047",9,NA,NA
,"8,000-9,000'",79,98,-,-,96.4,-,1,NA,NA
,"9,000-10,000'",84,101,-,-,97.1,-,1,NA,NA
,">10,000'",90,116,-,-,100,-,0,NA,NA
4. Klamath,"4,000-5,000'",33,107,0,0,0.1,"1,226","4,328",0.1 ( 3 ),0.1 ( 3 )
,"5,000-6,000'",65,113,0.5,0.5,5.5,"56,243","2,236",6.2 ( 7 ),5.3 ( 7 )
,"6,000-7,000'",75,107,5.1,5,40.9,"147,016",551,18.0 ( 3 ),15.9 ( 3 )
,"7,000-8,000'",83,94,12.6,12,71.3,"53,354",84,0.0 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",80,103,21.1,24.1,94.2,"1,118",1,NA,NA
5. Lewis,"2,000-3,000'",18,14,0,0,0.2,228,271,0.0 ( 2 ),0.9 ( 1 )
,"3,000-4,000'",27,31,0.7,0.6,4.2,"7,363",217,21.2 ( 3 ),18.2 ( 3 )
,"4,000-5,000'",45,46,3.4,3.2,18.4,"12,872",76,55.6 ( 2 ),52.7 ( 2 )
,"5,000-6,000'",66,70,13.3,15.8,67.2,"9,952",12,NA,NA
,"6,000-7,000'",61,77,23.6,35.5,90.2,"7,483",4,NA,NA
,"7,000-8,000'",57,82,41.2,58.7,95.6,"2,115",1,NA,NA
,">8,000'",63,84,45.4,63.3,97.5,977,0,NA,NA
6. Lower Cowlitz,"3,000-4,000'",32,25,0.3,0.2,2.4,"1,778",135,0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",58,56,4.5,3.8,21.2,"8,445",42,27.6 ( 1 ),25.0 ( 1 )
,"5,000-6,000'",63,62,12.9,12.1,47.2,"4,414",7,NA,NA
,"6,000-7,000'",65,97,13,27.6,68.4,"1,991",1,NA,NA
,"7,000-8,000'",77,105,13.8,33.2,66.9,"1,367",1,NA,NA
7. Naches,"4,000-5,000'",33,59,0.3,0.7,7.1,"12,443",324,9.6 ( 2 ),5.9 ( 2 )
,"5,000-6,000'",56,72,3.6,5.1,37,"64,057",237,39.9 ( 2 ),35.9 ( 2 )
,"6,000-7,000'",66,74,12,13.5,67.5,"34,360",48,NA,NA
,"7,000-8,000'",60,74,23.9,27.4,87.3,"1,413",1,NA,NA
8. North Puget Sound,"1,000-2,000'",29,38,0,0,0,132,325,NA,NA
,"2,000-3,000'",42,36,0.2,0.2,1.4,"4,222",423,0.0 ( 1 ),0.0 ( 1 )
,"3,000-4,000'",55,55,2,2.2,12.5,"60,413",515,27.2 ( 2 ),23.8 ( 2 )
,"4,000-5,000'",67,64,8.4,8.9,41.4,"233,622",492,28.7 ( 5 ),26.1 ( 5 )
,"5,000-6,000'",67,67,15.7,15.9,64.6,"325,908",385,39.0 ( 1 ),36.7 ( 1 )
,"6,000-7,000'",65,70,19.7,19.4,73.9,"157,721",152,26.8 ( 1 ),25.0 ( 1 )
,"7,000-8,000'",66,78,23.5,24.2,81.5,"23,278",18,NA,NA
,"8,000-9,000'",83,95,-,44.3,93.1,"2,735",1,NA,NA
9. Olympic,"4,000-5,000'",66,80,8.1,8.3,37.2,"57,778",131,18.4 ( 2 ),16.8 ( 2 )
,"5,000-6,000'",72,78,15.8,17.6,65.9,"81,695",87,22.7 ( 1 ),18.8 ( 1 )
,">6,000'",70,81,16.1,21.3,72.1,"23,076",20,NA,NA
10. Rogue-Umpqua,"3,000-4,000'",1,6,0,0,0,42,"1,688",0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",28,57,0.1,0.2,2.1,"8,875",917,0.0 ( 2 ),0.0 ( 2 )
