,,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,Elevation Band,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
,"6,000-7,000'",0,96,0,0,9.9,"5,623","3,476",NA,NA
,"7,000-8,000'",4,62,0.1,0.8,46.5,"37,477",872,0.1 ( 1 ),1.8 ( 1 )
,"8,000-9,000'",13,40,0.6,2.7,80.6,"77,407",542,2.9 ( 1 ),4.7 ( 1 )
,"9,000-10,000'",24,47,1.7,4.9,86.4,"21,075",81,5.2 ( 2 ),10.4 ( 2 )
,"10,000-11,000'",25,55,1.5,6,73.2,401,1,NA,NA
12. Lower Green,"7,000-8,000'",23,66,1.1,2.4,43,"292,410","2,254",7.6 ( 1 ),8.8 ( 1 )
,"8,000-9,000'",55,80,4.4,6.7,75.8,"635,321","1,767",6.0 ( 10 ),8.3 ( 10 )
,"9,000-10,000'",76,88,8.4,10.7,86.5,"513,097",898,7.9 ( 8 ),11.0 ( 8 )
,"10,000-11,000'",86,94,11.1,13.6,93.5,"363,840",503,10.7 ( 5 ),13.6 ( 5 )
,"11,000-12,000'",85,91,11.8,14.1,95.4,"149,367",199,NA,NA
,">12,000'",81,89,11.5,13.8,92.8,"20,159",27,NA,NA
13. Lower Rio Grande,"8,000-9,000'",0,2,0,0,0.3,567,"1,497",0.0 ( 3 ),0.4 ( 3 )
,"9,000-10,000'",6,17,0.1,0.3,7.2,"3,824",248,3.2 ( 1 ),3.8 ( 1 )
,"10,000-11,000'",28,44,1.3,1.5,30.3,"3,855",47,0.0 ( 1 ),0.4 ( 1 )
,"11,000-12,000'",40,54,2.9,3.7,61.3,521,3,5.1 ( 1 ),6.2 ( 1 )
14. Lower Sevier,"6,000-7,000'",10,192,0.1,2,43.1,"52,555",500,9.8 ( 1 ),16.5 ( 1 )
,"7,000-8,000'",46,105,1.9,4.9,61.8,"65,681",252,5.1 ( 2 ),7.5 ( 2 )
,"8,000-9,000'",66,91,4.4,7.3,68.8,"44,389",113,NA,NA
,"9,000-10,000'",70,85,7.3,10,78.5,"17,140",32,10.3 ( 1 ),14.2 ( 1 )
15. Pecos,"9,000-10,000'",10,25,0.1,0.3,7.5,"2,810",195,NA,NA
,"10,000-11,000'",48,69,1.7,3,56.7,"15,556",96,1.3 ( 2 ),1.2 ( 2 )
,"11,000-12,000'",59,64,5,6,89.7,"12,001",38,NA,NA
,"12,000-13,000'",60,62,7.1,7.7,99.2,912,2,NA,NA
16. Provo-Utah Lake-Jordan,"5,000-6,000'",41,140,0.6,0.6,17.1,"21,451",678,NA,NA
,"6,000-7,000'",70,120,3.1,3.8,57.4,"141,552",701,NA,NA
,"7,000-8,000'",82,99,7.6,8.5,80.1,"296,967",656,12.6 ( 5 ),16.0 ( 5 )
,"8,000-9,000'",87,97,11,12.6,86.6,"264,458",394,17.8 ( 8 ),21.5 ( 8 )
,"9,000-10,000'",98,104,14.5,17.4,90.1,"187,319",202,17.6 ( 4 ),21.4 ( 4 )
,"10,000-11,000'",107,111,17.6,21.3,92.3,"53,470",47,NA,NA
,"11,000-12,000'",100,107,16.1,20.2,90.6,"1,351",1,NA,NA
17. Rio Chama-Upper Rio Grande,"7,000-8,000'",0,3,0,0,0.6,537,"2,421",NA,NA
,"8,000-9,000'",3,16,0.1,0.2,10.1,"11,315","1,223",1.1 ( 2 ),1.9 ( 2 )
,"9,000-10,000'",25,37,1.1,1.3,33.6,"60,650",843,2.3 ( 4 ),2.9 ( 4 )
,"10,000-11,000'",40,48,2.7,3,51.4,"86,259",532,5.2 ( 5 ),6.2 ( 5 )
,"11,000-12,000'",43,50,3.5,4.1,56.4,"35,351",161,6.6 ( 1 ),7.8 ( 1 )
,"12,000-13,000'",61,65,6.7,7.7,91.9,"10,860",26,NA,NA
18. Rio Grande Headwaters,"7,000-8,000'",0,0,0,0,0.2,9,"2,670",NA,NA
,"8,000-9,000'",4,25,0.1,0.3,12.6,"19,875","1,418",NA,NA
,"9,000-10,000'",30,48,1.3,1.8,39.9,"124,482","1,262",3.3 ( 3 ),3.8 ( 3 )
,"10,000-11,000'",51,61,3.6,4.1,59.2,"251,667","1,149",5.8 ( 5 ),6.7 ( 5 )
,"11,000-12,000'",64,71,6.5,7.6,78.8,"338,251",839,7.4 ( 5 ),8.9 ( 5 )
,"12,000-13,000'",74,78,8.9,10.4,89.9,"136,012",244,NA,NA
,"13,000-14,000'",76,79,8.9,10,86.4,"6,451",12,NA,NA
19. Roaring Fork,"7,000-8,000'",62,79,3.5,2.6,39.6,"26,851",196,NA,NA
,"8,000-9,000'",79,85,6.8,5.9,64.7,"80,689",258,7.5 ( 1 ),8.6 ( 1 )
,"9,000-10,000'",79,85,7.7,7.7,67.2,"110,077",268,10.7 ( 2 ),12.7 ( 2 )
,"10,000-11,000'",82,89,9,10.4,70,"147,928",266,14.0 ( 4 ),16.0 ( 4 )
,"11,000-12,000'",97,100,14.3,16.9,89.8,"229,641",254,NA,NA
,"12,000-13,000'",99,101,16.5,19.1,96.3,"110,863",109,NA,NA
,"13,000-14,000'",100,102,16.9,19.7,96.9,"6,693",6,NA,NA
20. Salt,"6,000-7,000'",0,0,0,0,0,0,"1,253",NA,NA
,"7,000-8,000'",0,1,0,0,0.1,44,510,0.0 ( 3 ),0.7 ( 4 )
,"8,000-9,000'",0,3,0,0.1,3.4,"1,305",401,1.0 ( 2 ),2.5 ( 2 )
,"9,000-10,000'",0,11,0,0.6,25.6,"5,410",167,0.0 ( 2 ),0.8 ( 2 )
,">10,000'",4,19,0.2,1.4,32.7,"2,279",31,NA,NA
21. San Juan,"7,000-8,000'",1,20,0,0.1,7.7,"16,561","3,747",NA,NA
,"8,000-9,000'",11,38,0.4,1,33,"58,381","1,063",4.2 ( 2 ),3.8 ( 2 )
,"9,000-10,000'",34,53,2.1,3.2,57.3,"100,486",580,3.1 ( 4 ),6.0 ( 3 )
,"10,000-11,000'",51,63,4.6,6.1,69.7,"141,292",438,10.5 ( 8 ),12.8 ( 8 )
,"11,000-12,000'",64,72,8,10.2,84.6,"217,277",399,13.0 ( 2 ),15.6 ( 2 )
,"12,000-13,000'",76,82,11,13.8,93.7,"126,370",172,NA,NA
,"13,000-14,000'",84,89,12.3,15.7,94.2,"5,988",7,NA,NA
22. San Pitch,"5,000-6,000'",0,49,0,0.1,7.7,"2,012",269,NA,NA
,"6,000-7,000'",25,96,0.7,2,44.1,"23,438",217,NA,NA
,"7,000-8,000'",53,83,2.9,4.6,58.7,"34,721",141,NA,NA
,"8,000-9,000'",70,85,6.4,8.3,65.1,"51,744",118,8.4 ( 4 ),10.7 ( 4 )
,"9,000-10,000'",87,97,10.8,13.8,78.6,"56,973",77,13.8 ( 1 ),18.0 ( 1 )
,"10,000-11,000'",93,103,14.2,18.7,91.2,"35,214",35,12.8 ( 1 ),16.2 ( 1 )
23. South Platte,"7,000-8,000'",6,26,0.1,0.1,5.3,"7,815","1,415",NA,NA
,"8,000-9,000'",48,39,1.2,0.7,16.4,"55,816","1,467",4.9 ( 3 ),4.2 ( 3 )
,"9,000-10,000'",52,44,2.1,1.4,22,"109,937","1,435",13.6 ( 6 ),14.4 ( 6 )
,"10,000-11,000'",74,77,5.7,5.7,54,"208,073",687,10.8 ( 7 ),11.8 ( 7 )
,"11,000-12,000'",88,90,9.7,10.4,79,"242,963",439,11.0 ( 5 ),12.3 ( 5 )
,"12,000-13,000'",92,93,11.4,12.2,89,"101,328",156,NA,NA
,">13,000'",92,95,11.5,12.1,89.1,"13,774",21,NA,NA
24. Southwestern Utah,"6,000-7,000'",0,31,0,0,3,"1,173",965,0.6 ( 2 ),2.4 ( 2 )
,"7,000-8,000'",1,29,0,0.3,11.6,"4,825",275,NA,1.5 ( 1 )
,"8,000-9,000'",8,40,0.3,2,34.6,"13,908",129,2.4 ( 1 ),3.8 ( 2 )
,"9,000-10,000'",32,59,2.1,5.4,70.5,"17,194",60,NA,NA
,">10,000'",42,62,3.7,7.3,79.3,"4,195",11,6.6 ( 1 ),11.0 ( 1 )
25. Toole Valley-Vernon Creek,"5,000-6,000'",3,171,0,0.1,6,"2,671",555,NA,NA
,"6,000-7,000'",30,149,0.6,2.6,49,"26,274",191,5.0 ( 1 ),6.3 ( 1 )
,"7,000-8,000'",84,116,4.2,7.7,78.5,"44,168",107,6.2 ( 1 ),9.4 ( 1 )
,"8,000-9,000'",90,97,9.8,12.5,87,"27,727",42,15.1 ( 2 ),20.1 ( 2 )
,">9,000'",92,95,13.3,16.2,90.4,"10,234",12,NA,NA
26. Upper Arkansas,"7,000-8,000'",6,2,0,0,0.4,177,"1,755",NA,NA
,"8,000-9,000'",22,9,0.2,0.1,4.2,"5,996","1,502",NA,NA
,"9,000-10,000'",49,47,1.5,1.1,24,"75,355","1,314",1.8 ( 1 ),0.7 ( 1 )
,"10,000-11,000'",64,71,3.6,3.6,47.4,"112,614",586,7.2 ( 4 ),7.8 ( 4 )
,"11,000-12,000'",81,83,8.3,9.1,75.5,"209,883",433,6.5 ( 2 ),7.6 ( 2 )
,"12,000-13,000'",87,88,11.1,12,88,"158,046",247,NA,NA
,">13,000'",88,90,11.6,12.6,91.2,"26,906",40,NA,NA
27. Upper Colorado-Dirty Devil,"7,000-8,000'",1,18,0,0.1,6.4,"5,624","1,116",NA,NA
,"8,000-9,000'",13,40,0.5,1.7,29.8,"69,861",787,2.3 ( 2 ),3.2 ( 2 )
,"9,000-10,000'",31,58,2.2,4.9,56.2,"111,364",428,4.2 ( 5 ),5.9 ( 5 )
,"10,000-11,000'",44,67,4,7.1,64.4,"79,530",209,NA,NA
,"11,000-12,000'",59,78,6.2,10.4,87.5,"31,986",58,NA,NA
28. Upper Colorado-Dolores,"7,000-8,000'",9,37,0.2,0.4,15.5,"28,808","1,409",NA,NA
,"8,000-9,000'",40,59,2.4,2.4,45,"140,328","1,082",4.3 ( 1 ),4.9 ( 1 )
,"9,000-10,000'",57,69,5,5.4,67.2,"143,614",500,7.8 ( 3 ),10.2 ( 3 )
,"10,000-11,000'",54,66,4.9,5.8,58.9,"87,455",280,9.7 ( 3 ),11.9 ( 3 )
,"11,000-12,000'",66,77,8.4,10.5,74.5,"67,575",121,13.1 ( 1 ),15.7 ( 1 )
,"12,000-13,000'",82,89,13.2,16.5,94.9,"33,207",38,NA,NA
,"13,000-14,000'",95,100,16.5,20.8,94.9,"4,074",4,NA,NA
29. Upper Sevier,"6,000-7,000'",1,65,0,0.2,6,"7,952",831,NA,NA
,"7,000-8,000'",9,43,0.3,1,26.3,"69,614","1,307",2.0 ( 2 ),3.7 ( 2 )
,"8,000-9,000'",23,50,1.3,3,48.3,"147,480",928,4.4 ( 4 ),6.1 ( 4 )
,"9,000-10,000'",43,68,3.2,6.5,71.7,"179,607",522,6.0 ( 9 ),8.6 ( 9 )
,"10,000-11,000'",55,74,5.4,8.9,76.9,"76,684",161,4.9 ( 1 ),6.7 ( 1 )
,"11,000-12,000'",71,88,9.4,13.8,89.7,"6,907",9,NA,NA
30. Verde,"6,000-7,000'",0,26,0,0,3,"3,127","1,299",0.0 ( 1 ),2.0 ( 1 )
,"7,000-8,000'",0,44,0,0.8,38.2,"22,057",497,0.3 ( 6 ),3.5 ( 6 )
,"8,000-9,000'",0,49,0,2.4,71.4,"2,343",18,NA,NA
,"9,000-10,000'",5,50,0.2,4.1,78.3,403,2,NA,NA
,">10,000'",21,51,1.3,5.6,81.1,374,1,NA,NA
31. Weber-Ogden,"5,000-6,000'",81,71,3.7,1.3,22.3,"19,714",288,NA,NA
,"6,000-7,000'",83,103,5.4,4.4,56.8,"166,664",712,12.9 ( 3 ),14.1 ( 3 )
,"7,000-8,000'",89,101,9.8,9.7,83.1,"349,514",675,15.4 ( 6 ),21.5 ( 6 )
,"8,000-9,000'",97,105,13.4,14.9,91.7,"186,752",234,15.3 ( 5 ),17.6 ( 5 )
,"9,000-10,000'",100,106,14,16.3,87.5,"83,221",96,14.5 ( 2 ),17.5 ( 2 )
,">10,000'",105,109,16.2,19.1,90.7,"35,744",35,NA,NA
32. White-Yampa,"7,000-8,000'",65,86,4.6,3.8,51.4,"686,219","3,361",9.1 ( 1 ),9.6 ( 1 )
,"8,000-9,000'",88,94,9.4,9.1,82.5,"701,131","1,446",14.8 ( 6 ),16.0 ( 6 )
,"9,000-10,000'",98,103,12,13.2,86.8,"491,469",700,14.2 ( 6 ),15.7 ( 6 )
,"10,000-11,000'",108,112,14.6,17.1,86.2,"329,680",362,27.1 ( 2 ),29.3 ( 2 )
,">11,000'",113,114,17.7,20.7,94.9,"88,093",80,NA,NA
