,,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,Elevation Band,%5/17 Avg.,%5/26 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
,"9,000-10,000'",84,87,11.8,9,70.5,"367,344",767,15.4 ( 2 ),14.7 ( 2 )
,"10,000-11,000'",92,84,18.1,14.9,88,"155,744",196,NA,NA
,">11,000'",86,78,18.2,13,79.5,"4,887",7,NA,NA
11. Sun-Teton-Marias,"3,000-4,000'",0,0,0,0,0,0,"6,402",NA,NA
,"4,000-5,000'",1,0,0,0,0,0,"2,559",NA,NA
,"5,000-6,000'",34,61,0.2,0,0.8,"1,498",622,0.0 ( 4 ),0.0 ( 3 )
,"6,000-7,000'",77,87,2.4,0.7,7.7,"20,822",562,4.8 ( 1 ),0.1 ( 1 )
,"7,000-8,000'",90,106,6.7,3.2,28.3,"51,403",298,12.8 ( 1 ),9.0 ( 1 )
,">8,000'",78,108,7,5.7,43.3,"6,060",20,NA,NA
12. Tongue,"2,000-3,000'",NA,NA,0,0,0,0,883,NA,NA
,"3,000-4,000'",NA,NA,0,0,0,0,"2,793",NA,NA
,"4,000-5,000'",NA,NA,0,0,0,0,"1,207",NA,NA
,"5,000-6,000'",0,NA,0,0,0,0,51,NA,NA
,"6,000-7,000'",1,0,0,0,0,0,35,NA,NA
,"7,000-8,000'",72,180,1,0.2,3.5,"1,178",120,4.2 ( 2 ),3.2 ( 2 )
,"8,000-9,000'",83,201,4,2.3,41.3,"20,952",172,5.2 ( 4 ),4.0 ( 4 )
,"9,000-10,000'",82,103,10,6.3,82,"39,081",116,NA,NA
,"10,000-11,000'",87,84,14.6,9.2,83.8,"10,643",22,NA,NA
,"11,000-12,000'",81,75,14.7,11.4,93.8,"1,174",2,NA,NA
13. Upper Clark Fork,"3,000-4,000'",NA,NA,0,0,0,0,157,NA,NA
,"4,000-5,000'",41,0,0,0,0,0,"1,435",NA,NA
,"5,000-6,000'",65,111,0.1,0,0.1,408,"1,986",0.0 ( 3 ),0.0 ( 3 )
,"6,000-7,000'",94,110,1.1,0.2,2.6,"18,110","1,577",4.6 ( 2 ),0.9 ( 2 )
,"7,000-8,000'",103,141,5.5,2.4,24.2,"85,452",660,8.4 ( 6 ),5.7 ( 6 )
