,,3/31/2025,4/6/2025,3/31/2025,4/6/2025,4/6/2025,4/6/2025,4/6/2025,3/31/2025,4/6/2025
Basin,Elevation Band,%3/31 Avg.,%4/6 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,"6,000-7,000'",224,239,3.1,3.1,26.2,"39,941",241,NA,NA
,"7,000-8,000'",141,166,10.5,12.5,74.5,"46,621",70,NA,NA
,"8,000-9,000'",129,140,22.3,24.9,95.5,"14,882",11,NA,NA
,"9,000-10,000'",124,131,24.9,28.4,98.2,"2,339",2,NA,NA
2. Bitterroot,"5,000-6,000'",109,150,3.2,3.3,29.5,"116,589",658,18.8 ( 2 ),16.9 ( 2 )
,"6,000-7,000'",98,111,8.9,9.8,59.3,"370,643",707,22.1 ( 2 ),22.4 ( 2 )
,"7,000-8,000'",100,103,16.2,17.5,76,"462,319",495,20.6 ( 1 ),21.0 ( 1 )
,"8,000-9,000'",109,111,21.5,23.4,84.8,"111,088",89,NA,NA
,"9,000-10,000'",108,108,23.3,24.1,88,"2,849",2,NA,NA
3. Carson,"5,000-6,000'",57,103,0,0.1,1.5,"2,193",619,NA,NA
,"6,000-7,000'",64,112,0.5,1.6,18.3,"30,342",351,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",94,119,6.7,10.3,68.6,"120,282",219,16.4 ( 1 ),17.7 ( 1 )
,"8,000-9,000'",102,114,18,20.1,85.5,"167,563",156,20.6 ( 5 ),22.4 ( 5 )
,"9,000-10,000'",98,108,23.8,23.9,83.6,"60,937",48,NA,NA
,">10,000'",94,106,26.1,27.8,86,"15,771",11,NA,NA
4. Clearwater Basin,"3,000-4,000'",96,125,0.6,0.6,5.9,"75,065","2,295",5.3 ( 1 ),4.7 ( 1 )
,"4,000-5,000'",84,93,2.9,3.2,21.2,"330,729","1,963",18.9 ( 2 ),19.2 ( 2 )
,"5,000-6,000'",94,103,8,9.4,46.1,"905,015","1,809",38.7 ( 5 ),37.6 ( 4 )
,"6,000-7,000'",109,116,16.2,18.2,73.4,"1,114,987","1,147",29.4 ( 3 ),30.1 ( 3 )
,"7,000-8,000'",113,114,22.1,23.7,83.8,"331,455",262,NA,NA
,"8,000-9,000'",116,116,24,26.1,88.4,"18,415",13,NA,NA
5. Clover Valley and Franklin,"5,000-6,000'",193,207,0,0.1,3.3,"2,598",730,NA,NA
,"6,000-7,000'",77,215,0.1,0.3,5.4,"33,469","2,366",NA,NA
,"7,000-8,000'",77,130,1.5,2.1,25,"85,061",756,13.0 ( 1 ),13.4 ( 1 )
,"8,000-9,000'",95,118,6.2,8.3,64.5,"69,908",158,26.8 ( 1 ),29.2 ( 1 )
,"9,000-10,000'",107,116,15.7,19.2,93.5,"36,635",36,NA,NA
,"10,000-11,000'",105,110,16.4,21.7,96.5,"6,477",6,NA,NA
6. Donner und Blitzen,"6,000-7,000'",159,207,8.2,10.6,80.7,"81,109",143,23.9 ( 1 ),24.7 ( 1 )
,"7,000-8,000'",132,147,18.6,20.7,94.9,"64,623",58,52.2 ( 1 ),53.5 ( 1 )
,"8,000-9,000'",134,142,25.8,27.7,96.4,"26,492",18,NA,NA
,"9,000-10,000'",132,138,27.2,30.3,96.6,"3,585",2,NA,NA
7. Dry Lake Valley,"7,000-8,000'",24,34,0.1,0.3,5.7,"3,026",226,NA,NA
,"8,000-9,000'",61,77,1.5,2.3,26.7,"6,249",52,NA,NA
,"9,000-10,000'",94,101,5.3,6.5,49.3,"3,061",9,NA,NA
,"10,000-11,000'",107,107,11.6,12.6,70,"1,363",2,NA,NA
8. Eastern Nevada,"7,000-8,000'",79,113,0.8,1.1,15.9,"172,880","2,847",0.0 ( 1 ),0.1 ( 1 )
,"8,000-9,000'",89,111,3,4.2,43.2,"248,389","1,108",5.8 ( 3 ),6.2 ( 3 )
,"9,000-10,000'",99,111,5.9,8.1,63.4,"133,351",308,13.5 ( 2 ),15.4 ( 2 )
,"10,000-11,000'",108,114,11.7,13.9,78.2,"69,318",93,8.2 ( 2 ),8.8 ( 2 )
,">11,000'",115,120,14.9,17.8,87.6,"15,777",17,NA,NA
9. Flathead,"3,000-4,000'",63,167,0.3,0.5,6.5,"52,167","2,015",8.5 ( 1 ),10.3 ( 1 )
,"4,000-5,000'",97,155,2.1,3.2,27.9,"325,283","1,900",9.9 ( 3 ),11.1 ( 3 )
,"5,000-6,000'",66,92,4,7.2,45.5,"647,030","1,690",19.8 ( 3 ),22.4 ( 3 )
,"6,000-7,000'",64,82,7.1,12.6,64.2,"937,685","1,392",30.6 ( 5 ),32.6 ( 5 )
,"7,000-8,000'",81,91,10.6,17.4,77.8,"448,771",483,NA,NA
,"8,000-9,000'",90,90,12.8,19.3,71.4,"41,062",40,NA,NA
,"9,000-10,000'",83,86,9.4,15.3,46.1,"1,256",2,NA,NA
10. Grande Ronde-Burnt-Powder_Imnaha,"4,000-5,000'",164,160,2.2,1.7,14.3,"280,123","3,094",1.3 ( 1 ),1.2 ( 1 )
,"5,000-6,000'",117,134,6.7,7.3,45.6,"535,909","1,376",22.3 ( 8 ),22.6 ( 8 )
,"6,000-7,000'",89,101,11.8,14.2,59.5,"367,591",485,NA,NA
,"7,000-8,000'",112,119,23.4,27.4,80,"399,587",274,19.0 ( 2 ),19.6 ( 2 )
,"8,000-9,000'",123,123,28.1,33.8,88.6,"142,874",79,NA,NA
,"9,000-10,000'",121,120,25,29,89,"4,327",3,NA,NA
11. Guano,"5,000-6,000'",>200†,>200†,0.3,0.1,1,"6,482","1,486",0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",214,411,1.5,1.9,17.5,"53,753",528,NA,NA
,"7,000-8,000'",134,170,10.3,13,84.3,"17,183",25,NA,NA
12. Harney-Malheur Lakes,"5,000-6,000'",>200†,>200†,2.8,2.6,21,"33,865",248,NA,NA
,"6,000-7,000'",163,231,5.1,8.3,71.4,"12,383",28,NA,NA
13. John Day,"5,000-6,000'",130,142,4,4.1,30.9,"261,466","1,198",20.0 ( 2 ),19.9 ( 2 )
,"6,000-7,000'",105,104,11.4,11.9,55.1,"158,031",249,NA,NA
,"7,000-8,000'",121,118,21.2,22.3,74.4,"62,808",53,NA,NA
,"8,000-9,000'",142,120,27.6,24.4,75.7,"2,260",2,NA,NA
14. Kootenai,"4,000-5,000'",44,65,1,1.3,10.2,"63,118",887,12.0 ( 2 ),12.5 ( 2 )
,"5,000-6,000'",42,50,3.2,4.3,23.6,"141,249",612,23.7 ( 2 ),24.3 ( 2 )
,"6,000-7,000'",32,52,4,8.1,33.3,"71,751",166,32.5 ( 1 ),33.7 ( 1 )
,">7,000'",53,56,9.4,10.9,39.2,"4,534",8,NA,NA
15. Lake County-Goose Lake,"5,000-6,000'",>200†,>200†,2.8,3,26.7,"422,891","2,686",0.8 ( 1 ),0.8 ( 1 )
,"6,000-7,000'",159,185,12.2,12.7,75.1,"541,038",797,NA,NA
,"7,000-8,000'",147,158,23.5,22.7,88.4,"139,344",115,43.2 ( 1 ),45.5 ( 1 )
,"8,000-9,000'",152,160,33.1,33,97.8,"3,060",2,NA,NA
16. Little Humboldt,"6,000-7,000'",97,185,0.7,1.6,16.2,"27,414",326,6.5 ( 2 ),7.2 ( 2 )
,"7,000-8,000'",113,141,6.4,11.1,74.3,"48,505",82,NA,NA
,"8,000-9,000'",119,129,14.6,18.8,90.5,"10,911",11,28.9 ( 1 ),30.2 ( 1 )
,"9,000-10,000'",125,137,16.2,18.4,80,569,1,NA,NA
17. Lower Clark Fork,"5,000-6,000'",89,97,5.4,6.4,36.3,"370,382","1,091",45.4 ( 2 ),46.5 ( 2 )
,"6,000-7,000'",89,96,10.6,13.3,61.1,"248,650",350,35.3 ( 1 ),36.1 ( 1 )
,"7,000-8,000'",92,100,12.9,18.1,80.8,"23,282",24,29.4 ( 1 ),31.5 ( 1 )
,"8,000-9,000'",66,91,6.4,18.3,70.5,377,0,NA,NA
18. Lower Humboldt,"6,000-7,000'",165,>200†,0.4,2.1,27.6,"23,375",213,2.9 ( 1 ),3.8 ( 1 )
,"7,000-8,000'",129,182,3.6,8.2,72.5,"20,501",47,NA,NA
,"8,000-9,000'",120,136,8.4,13.9,91.6,"10,393",14,NA,NA
,"9,000-10,000'",122,130,9.4,15.3,87,394,0,NA,NA
19. Lower Pend Oreille,"5,000-6,000'",42,68,3.4,5.7,26.5,"32,635",108,26.5 ( 1 ),27.7 ( 1 )
,">6,000'",66,79,9.3,11.6,42.7,"12,963",21,NA,NA
20. Lower Snake-Asotin,"3,000-4,000'",18,54,0,0,0.1,119,190,0.1 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",128,140,1.7,1.7,15.4,"8,660",98,NA,NA
,"5,000-6,000'",130,143,8.6,10,71.1,"20,604",39,12.9 ( 1 ),13.2 ( 1 )
,"6,000-7,000'",126,125,22,23.6,94.6,"1,457",1,NA,NA
