,,5/3/2025,5/11/2025,5/3/2025,5/11/2025,5/11/2025,5/11/2025,5/11/2025,5/3/2025,5/11/2025
Basin,Elevation Band,%5/3 Avg.,%5/11 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,"2,000-3,000'",NA,NA,0,0,0,0,"1,720",NA,NA
,"3,000-4,000'",NA,NA,0,0,0,0,"1,722",NA,NA
,"4,000-5,000'",0,0,0,0,0,0,"2,827",NA,NA
,"5,000-6,000'",2,8,0,0,0,41,721,0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",4,70,0,0.1,1.8,877,209,NA,NA
,"7,000-8,000'",0,0,0,0,0,0,1,NA,NA
2. Bighorn,"2,000-3,000'",NA,NA,0,0,0,0,213,NA,NA
,"3,000-4,000'",NA,NA,0,0,0,0,"2,480",NA,NA
,"4,000-5,000'",0,0,0,0,0,0,"5,267",NA,NA
,"5,000-6,000'",20,75,0,0,0,59,"5,480",NA,NA
,"6,000-7,000'",102,91,0.1,0,0.5,"3,600","3,200",NA,NA
,"7,000-8,000'",113,62,0.9,0.3,4.4,"26,213","1,827",4.6 ( 3 ),2.1 ( 3 )
,"8,000-9,000'",113,80,5.2,2.4,25.9,"197,530","1,565",5.4 ( 7 ),2.6 ( 7 )
,"9,000-10,000'",98,82,10.6,6.4,55.1,"469,717","1,381",14.8 ( 8 ),11.5 ( 8 )
,"10,000-11,000'",88,76,14.6,9.9,68.9,"490,514",926,19.0 ( 3 ),15.7 ( 3 )
,"11,000-12,000'",87,77,17.9,13.4,76.8,"260,875",364,NA,NA
,">12,000'",88,80,22.6,19.1,88.4,"36,398",36,NA,NA
3. Cheyenne,"2,000-3,000'",NA,NA,0,0,0,0,"3,403",NA,NA
,"3,000-4,000'",NA,NA,0,0,0,0,"3,657",NA,NA
,"4,000-5,000'",0,NA,0,0,0,0,"5,671",NA,NA
,"5,000-6,000'",0,0,0,0,0,0,"2,141",NA,NA
,"6,000-7,000'",0,12,0,0,0.1,94,472,0.0 ( 2 ),0.0 ( 1 )
,"7,000-8,000'",0,0,0,0,0,0,5,NA,NA
4. Gallatin,"4,000-5,000'",0,NA,0,0,0,0,462,NA,NA
,"5,000-6,000'",8,140,0,0,0.7,468,300,NA,NA
,"6,000-7,000'",78,78,0.7,0.4,8.9,"5,711",271,10.7 ( 1 ),7.3 ( 1 )
,"7,000-8,000'",90,79,4,2.1,31.3,"43,152",380,NA,NA
,"8,000-9,000'",85,80,10.2,8.1,70.6,"136,033",314,24.4 ( 2 ),22.4 ( 2 )
,"9,000-10,000'",89,86,16,14.7,85.1,"89,116",114,25.9 ( 1 ),23.6 ( 1 )
,"10,000-11,000'",89,82,18.9,16.4,86.9,"5,504",6,NA,NA
5. Jefferson,"5,000-6,000'",1,62,0,0,0,10,"1,658",NA,NA
,"6,000-7,000'",30,43,0.1,0,1.1,"7,899","3,121",0.0 ( 2 ),0.0 ( 2 )
,"7,000-8,000'",70,64,1.7,1.1,16.6,"151,236","2,638",4.9 ( 3 ),1.9 ( 3 )
,"8,000-9,000'",84,72,7,5.2,51.8,"317,421","1,135",16.7 ( 6 ),12.3 ( 5 )
,"9,000-10,000'",91,79,13.8,10.8,73.2,"131,491",228,19.0 ( 2 ),15.8 ( 2 )
,"10,000-11,000'",94,77,15.2,10.7,70.8,"4,082",7,NA,NA
6. Madison Headwaters in WY,"4,000-5,000'",0,NA,0,0,0,0,165,NA,NA
,"5,000-6,000'",0,42,0,0,0,22,440,NA,NA
,"6,000-7,000'",31,28,0.1,0.1,2.2,"1,823",491,5.4 ( 2 ),3.7 ( 2 )
,"7,000-8,000'",69,42,2.8,1,16.2,"39,308",719,15.0 ( 3 ),11.5 ( 3 )
,"8,000-9,000'",81,67,9.7,6.2,58.6,"187,060",564,22.3 ( 2 ),18.0 ( 2 )
,"9,000-10,000'",88,79,15.8,13.2,82.3,"93,640",133,NA,NA
,">10,000'",87,83,20.6,18.4,87,"10,909",11,NA,NA
7. North Platte,"7,000-8,000'",2,4,0,0,0,370,"6,341",0.2 ( 2 ),0.1 ( 2 )
,"8,000-9,000'",31,18,0.4,0.1,1.9,"13,893","2,477",4.8 ( 6 ),1.8 ( 6 )
,"9,000-10,000'",65,51,5.2,2.7,38.2,"144,717",990,14.5 ( 9 ),9.6 ( 9 )
,"10,000-11,000'",63,52,10.5,6.9,75.6,"149,400",409,28.4 ( 5 ),25.2 ( 5 )
,"11,000-12,000'",64,52,13.5,9.2,83.8,"30,207",61,NA,NA
,"12,000-13,000'",69,57,15.4,11.3,91.1,"1,797",3,NA,NA
8. Powder,"2,000-3,000'",NA,NA,0,0,0,0,"1,208",NA,NA
,"3,000-4,000'",NA,NA,0,0,0,0,"3,983",NA,NA
,"4,000-5,000'",NA,NA,0,0,0,0,"4,641",NA,NA
,"5,000-6,000'",0,0,0,0,0,0,"2,030",NA,NA
,"6,000-7,000'",121,68,0,0,0.3,323,596,NA,NA
