,,4/20/2025,4/27/2025,4/20/2025,4/27/2025,4/27/2025,4/27/2025,4/27/2025,4/20/2025,4/27/2025
Basin,Elevation Band,%4/20 Avg.,%4/27 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,"4,000-5,000'",78,98,0.3,0.2,2.5,601,66,NA,NA
,"5,000-6,000'",164,178,10.3,7,53.9,"15,419",41,NA,NA
,"6,000-7,000'",129,124,23.8,19.2,90.4,"1,876",2,NA,NA
22. Lower Yakima,"3,000-4,000'",11,4,0,0,0,7,315,NA,NA
,"4,000-5,000'",98,87,2.7,1.3,11.8,"8,999",126,NA,NA
,"5,000-6,000'",121,116,13.5,10.8,63.7,"22,625",39,15.5 ( 2 ),11.0 ( 2 )
,"6,000-7,000'",127,121,23.6,21.3,83.3,"10,095",9,NA,NA
23. Malheur,"5,000-6,000'",167,186,1.1,0.6,6.4,"26,591",863,5.1 ( 3 ),3.7 ( 3 )
,"6,000-7,000'",148,160,12,8.1,57.4,"44,756",103,NA,NA
,"7,000-8,000'",129,131,22.1,19.2,87,"26,668",26,NA,NA
,"8,000-9,000'",120,111,28,23.9,96.3,491,0,NA,NA
24. Middle Humboldt,"6,000-7,000'",104,>300†,0,0,0.5,394,475,NA,NA
,"7,000-8,000'",73,161,0.4,0.3,5.1,"2,282",144,NA,NA
,"8,000-9,000'",90,103,2.5,1.5,19.9,"1,034",13,NA,NA
,"9,000-10,000'",104,103,2.6,2.9,31.7,89,1,NA,NA
25. Northern Big Smoky Valley,"7,000-8,000'",26,66,0,0,1.4,593,312,NA,NA
,"8,000-9,000'",47,52,0.7,0.3,9.7,"2,915",158,NA,NA
,"9,000-10,000'",70,71,3,1.8,28.6,"6,717",71,NA,NA
,"10,000-11,000'",78,73,5,3,35.8,"4,157",26,NA,NA
,"11,000-12,000'",72,63,4.9,2.3,27,367,3,NA,NA
26. Northern Great Basin,"6,000-7,000'",11,53,0,0,0.2,999,"1,932",0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",64,93,1,0.7,8,"10,040",253,5.3 ( 1 ),1.3 ( 1 )
,"8,000-9,000'",96,104,6.7,4.6,35.4,"10,070",41,NA,NA
,"9,000-10,000'",115,113,14.8,7.8,51.3,241,1,NA,NA
27. Panhandle Basins,"3,000-4,000'",91,152,0.2,0.1,1.2,"3,789",702,0.2 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",71,97,3,2.5,20.3,"68,235",508,NA,NA
,"5,000-6,000'",81,101,11.5,11.8,58.9,"217,541",344,45.0 ( 2 ),42.9 ( 2 )
,"6,000-7,000'",98,106,18.9,20.4,81.6,"95,408",88,NA,NA
,"7,000-8,000'",121,109,24.7,20.5,81.4,"2,538",2,NA,NA
28. Reese,"7,000-8,000'",41,139,0.1,0.2,3.7,"2,269",282,6.4 ( 1 ),0.4 ( 1 )
,"8,000-9,000'",52,67,0.9,0.7,11.9,"5,245",150,13.9 ( 1 ),10.5 ( 1 )
,"9,000-10,000'",88,84,4,2.2,26.3,"5,585",47,NA,NA
,">10,000'",88,85,6.2,3.8,39.1,"2,274",11,NA,NA
29. Rock,"5,000-6,000'",223,0,0,0,0,4,591,NA,NA
,"6,000-7,000'",68,>300†,0,0,0.8,456,212,NA,NA
,"7,000-8,000'",73,136,1.3,0.8,8.3,"1,186",29,12.2 ( 1 ),7.0 ( 1 )
,"8,000-9,000'",117,126,8,3.4,25.4,603,3,NA,NA
30. Salmon Basin,"5,000-6,000'",213,228,1.8,1,11.2,"113,502","2,058",20.6 ( 1 ),19.0 ( 1 )
,"6,000-7,000'",145,147,6.7,4.9,34.7,"935,555","3,565",26.2 ( 3 ),22.1 ( 3 )
,"7,000-8,000'",113,111,12.6,10.1,56.6,"2,058,434","3,809",9.5 ( 1 ),6.8 ( 1 )
,"8,000-9,000'",100,97,15.7,12.8,68.8,"1,319,978","1,926",18.5 ( 5 ),17.0 ( 5 )
,"9,000-10,000'",96,93,18.1,14.3,71.7,"382,702",502,13.3 ( 1 ),12.6 ( 1 )
,"10,000-11,000'",94,91,18.5,15.1,74.9,"56,435",70,NA,NA
,"11,000-12,000'",95,92,20.1,20,89.7,"2,879",3,NA,NA
31. Silver,"5,000-6,000'",271,54,0.2,0,0.4,918,428,NA,NA
,"6,000-7,000'",188,226,4,1.9,19.3,352,3,NA,NA
32. Silvies,"4,000-5,000'",236,290,0,0,0.1,153,713,NA,NA
,"5,000-6,000'",158,113,0.9,0.3,3.7,"9,753",570,NA,NA
,"6,000-7,000'",163,163,7.7,4.1,36.8,"6,721",31,14.2 ( 1 ),8.0 ( 1 )
,"7,000-8,000'",104,100,24.4,20.4,92.3,"2,105",2,NA,NA
33. Southern Snake Basins,"5,000-6,000'",32,243,0,0,0.1,"1,376","8,108",0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",138,131,0.5,0.2,2.3,"32,936","3,280",1.5 ( 5 ),0.0 ( 5 )
,"7,000-8,000'",126,103,4.2,1.5,14.2,"73,868",908,8.9 ( 4 ),4.1 ( 4 )
,"8,000-9,000'",109,107,13,7.9,53.5,"69,836",166,19.2 ( 3 ),16.0 ( 3 )
,"9,000-10,000'",104,101,19.2,13.4,70.8,"25,784",36,NA,NA
,"10,000-11,000'",96,94,18.8,15.2,77.7,"1,333",2,NA,NA
34. Spokane,"3,000-4,000'",29,44,0,0,0.2,"2,231","1,665",0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",79,116,1.9,1.7,13.2,"93,877","1,020",12.9 ( 4 ),8.9 ( 4 )
,"5,000-6,000'",87,119,7.5,8.1,46.5,"178,553",412,23.6 ( 2 ),18.6 ( 3 )
,"6,000-7,000'",91,104,14.3,15.1,68.2,"38,554",48,NA,NA
,"7,000-8,000'",112,98,23.6,21.2,85.8,546,0,NA,NA
35. St. Mary,"4,000-5,000'",74,41,1.8,0.5,6.1,"4,396",166,3.7 ( 1 ),0.2 ( 1 )
,"5,000-6,000'",92,67,7.1,3.7,31.4,"40,707",207,NA,NA
,"6,000-7,000'",68,81,10.7,12,74.8,"98,427",153,NA,NA
,"7,000-8,000'",78,87,13.9,15.4,85.1,"83,407",101,NA,NA
,">8,000'",84,93,14,18.3,91,"20,041",21,NA,NA
36. Truckee,"5,000-6,000'",2,6,0,0,0,58,669,NA,NA
,"6,000-7,000'",49,44,1.5,1,7.1,"24,598",479,10.5 ( 5 ),9.9 ( 5 )
,"7,000-8,000'",80,76,9.2,6.7,41.1,"70,060",196,7.5 ( 1 ),3.3 ( 1 )
,"8,000-9,000'",75,79,14.3,11.5,67.1,"36,486",60,32.0 ( 2 ),22.6 ( 3 )
