,,4/20/2025,4/27/2025,4/20/2025,4/27/2025,4/27/2025,4/27/2025,4/27/2025,4/20/2025,4/27/2025
Basin,Elevation Band,%4/20 Avg.,%4/27 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,"3,000-4,000'",52,67,1.7,1.9,9,"65,189",658,11.1 ( 2 ),5.9 ( 2 )
,"4,000-5,000'",70,85,9.8,10.5,42.7,"305,996",548,10.9 ( 3 ),8.4 ( 3 )
,"5,000-6,000'",87,93,22.3,22.1,76.7,"620,912",527,15.7 ( 2 ),13.3 ( 2 )
,"6,000-7,000'",99,91,35.2,29.9,89.3,"517,303",324,40.2 ( 1 ),38.8 ( 1 )
,"7,000-8,000'",110,91,46.4,35,92.7,"140,561",75,NA,NA
,"8,000-9,000'",105,89,46.5,34.4,91.9,"5,662",3,NA,NA
2. Central Puget Sound,"3,000-4,000'",34,44,2.2,2.8,13.3,"83,086",555,32.1 ( 3 ),29.2 ( 3 )
,"4,000-5,000'",58,75,11.4,14,50.6,"336,449",451,34.2 ( 2 ),31.4 ( 2 )
,"5,000-6,000'",75,92,25.1,29.1,82.9,"282,950",182,NA,NA
,"6,000-7,000'",96,85,45.9,37.8,93.7,"91,884",46,NA,NA
,"7,000-8,000'",107,82,58.5,41.9,97.7,"10,131",5,NA,NA
,"8,000-9,000'",114,90,-,56,99.6,866,0,NA,NA
,">9,000'",33,146,27,-,97.8,-,0,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",18,0,0,0,0,0,"2,525",0.1 ( 1 ),0.1 ( 1 )
,"3,000-4,000'",53,41,0.3,0.2,1.4,"17,258","1,622",7.3 ( 4 ),3.4 ( 4 )
,"4,000-5,000'",114,121,4.7,4.1,23.6,"148,472",682,19.8 ( 3 ),16.0 ( 3 )
,"5,000-6,000'",134,121,21.9,17.9,70.7,"196,083",206,26.8 ( 2 ),24.9 ( 2 )
,"6,000-7,000'",127,103,51.4,36.5,93.8,"65,223",33,49.1 ( 1 ),46.9 ( 1 )
,"7,000-8,000'",136,95,-,48.3,94.8,"22,122",9,NA,NA
,"8,000-9,000'",148,102,-,-,98.1,-,1,NA,NA
,"9,000-10,000'",150,104,-,-,99.5,-,1,NA,NA
,">10,000'",170,112,-,-,100,-,0,NA,NA
