,,4/20/2025,4/27/2025,4/20/2025,4/27/2025,4/27/2025,4/27/2025,4/27/2025,4/20/2025,4/27/2025
Basin,Elevation Band,%4/20 Avg.,%4/27 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,"6,000-7,000'",130,153,0.4,0.2,2.5,"2,950",241,NA,NA
,"7,000-8,000'",113,133,3.4,2.5,20.4,"9,150",70,NA,NA
,"8,000-9,000'",117,104,15.8,12.1,60.5,"7,209",11,NA,NA
,"9,000-10,000'",108,109,19.4,19.2,89.6,"1,580",2,NA,NA
2. Bitterroot,"5,000-6,000'",58,91,0.6,0.6,7.1,"21,755",658,12.7 ( 2 ),9.0 ( 2 )
,"6,000-7,000'",72,107,4.1,5.3,41.7,"201,436",707,19.0 ( 2 ),18.6 ( 2 )
,"7,000-8,000'",64,93,8.9,13.8,75.4,"366,013",496,21.5 ( 1 ),22.0 ( 1 )
,"8,000-9,000'",61,88,10.6,19.4,83.9,"92,154",89,NA,NA
,"9,000-10,000'",50,83,8.7,20.2,92.5,"2,392",2,NA,NA
3. Carson,"5,000-6,000'",11,94,0,0,0.2,94,619,NA,NA
,"6,000-7,000'",22,100,0.1,0.3,4.7,"6,170",351,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",65,81,3,4,37.9,"46,579",220,12.9 ( 1 ),10.1 ( 1 )
,"8,000-9,000'",82,84,11.4,11.1,75.1,"92,789",157,16.1 ( 5 ),12.6 ( 5 )
,"9,000-10,000'",74,74,15.3,14.3,82,"36,562",48,NA,NA
,">10,000'",69,69,17.2,16.7,84.3,"9,482",11,NA,NA
4. Clearwater Basin,"3,000-4,000'",54,57,0.1,0.1,0.8,"8,897","2,294",0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",72,96,1.7,1.7,14.4,"177,824","1,963",10.3 ( 2 ),4.7 ( 2 )
,"5,000-6,000'",88,112,7,7.6,47.3,"735,115","1,808",37.8 ( 5 ),35.9 ( 5 )
,"6,000-7,000'",84,103,13.1,15.5,76.3,"948,651","1,147",29.4 ( 3 ),28.3 ( 3 )
,"7,000-8,000'",79,95,16.5,20.4,87.6,"285,332",262,NA,NA
,"8,000-9,000'",79,91,17.6,22.2,90.7,"15,629",13,NA,NA
5. Clover Valley and Franklin,"5,000-6,000'",3,6,0,0,0.5,3,727,NA,NA
,"6,000-7,000'",50,>300†,0,0,0.2,359,"2,366",NA,NA
,"7,000-8,000'",65,120,0.2,0.1,3.6,"5,818",756,5.9 ( 1 ),0.4 ( 1 )
,"8,000-9,000'",82,92,2.9,1.8,19.2,"14,792",158,19.7 ( 1 ),15.3 ( 1 )
,"9,000-10,000'",110,111,13.5,9.4,60,"17,884",36,NA,NA
,"10,000-11,000'",101,104,15.5,12.7,73.2,"3,807",6,NA,NA
6. Donner und Blitzen,"6,000-7,000'",185,163,3.5,1.7,16.1,"13,291",143,20.3 ( 1 ),14.5 ( 1 )
,"7,000-8,000'",125,121,13,9.6,64.7,"29,836",58,52.0 ( 1 ),49.5 ( 1 )
,"8,000-9,000'",116,109,19.6,17.5,84.2,"16,768",18,NA,NA
,"9,000-10,000'",114,110,21.8,21.9,89.8,"2,598",2,NA,NA
7. Dry Lake Valley,"7,000-8,000'",1,0,0,0,0,0,226,NA,NA
,"8,000-9,000'",8,3,0,0,0.3,24,52,NA,NA
,"9,000-10,000'",42,25,1,0.7,10,311,9,NA,NA
,"10,000-11,000'",82,65,4.3,4.8,40,516,2,NA,NA
8. Eastern Nevada,"7,000-8,000'",25,50,0,0,0.7,"3,060","2,847",0.1 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",32,27,0.3,0.1,2.7,"8,210","1,108",0.0 ( 3 ),0.1 ( 3 )
,"9,000-10,000'",56,38,1.6,0.8,10.5,"13,501",308,8.7 ( 2 ),6.5 ( 2 )
,"10,000-11,000'",87,73,6.2,4,31.9,"19,978",93,5.3 ( 2 ),1.7 ( 2 )
,">11,000'",97,88,10.3,5.7,40.7,"5,041",17,NA,NA
9. Flathead,"3,000-4,000'",18,41,0,0,0.2,"1,076","2,020",7.5 ( 1 ),5.2 ( 1 )
,"4,000-5,000'",66,140,0.6,0.7,8.4,"74,830","1,900",7.4 ( 3 ),4.6 ( 3 )
,"5,000-6,000'",66,124,3.3,5.3,42,"477,724","1,689",26.2 ( 2 ),19.5 ( 3 )
,"6,000-7,000'",54,97,6.6,12.5,75.7,"926,076","1,392",33.0 ( 5 ),33.0 ( 5 )
,"7,000-8,000'",56,89,8.3,16.5,84.4,"426,297",483,NA,NA
,"8,000-9,000'",58,93,9.1,21.3,89.4,"45,391",40,NA,NA
,"9,000-10,000'",52,101,4.6,20.3,79.2,"1,675",2,NA,NA
10. Grande Ronde-Burnt-Powder_Imnaha,"4,000-5,000'",116,127,0.6,0.3,2.7,"44,660","3,095",1.2 ( 1 ),0.9 ( 1 )
,"5,000-6,000'",120,129,4.4,2.8,22.4,"205,100","1,376",14.8 ( 7 ),9.8 ( 7 )
,"6,000-7,000'",113,113,14.4,11.2,62.4,"290,507",485,NA,NA
,"7,000-8,000'",117,111,28.5,23.9,83.1,"348,894",274,18.5 ( 2 ),18.5 ( 2 )
,"8,000-9,000'",113,103,32.3,29,85.5,"122,397",79,NA,NA
,"9,000-10,000'",107,98,24.7,22.3,82,"3,329",3,NA,NA
11. Guano,"5,000-6,000'",62,>300†,0,0,0,18,"1,484",0.0 ( 1 ),0.1 ( 1 )
,"6,000-7,000'",148,135,0.2,0.1,1.1,"3,089",527,NA,NA
,"7,000-8,000'",112,114,4.9,3.1,27.9,"4,107",25,NA,NA
12. Harney-Malheur Lakes,"5,000-6,000'",84,13,0.1,0,0.2,334,248,NA,NA
,"6,000-7,000'",107,61,0.8,0.2,2.4,338,28,NA,NA
13. John Day,"5,000-6,000'",138,130,1.9,0.9,9.1,"57,807","1,199",11.2 ( 2 ),5.2 ( 2 )
