,,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,Elevation Band,%4/13 Avg.,%4/20 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
,"5,000-6,000'",105,106,20.5,23.6,56.6,"125,165",100,51.5 ( 2 ),50.4 ( 2 )
,"6,000-7,000'",127,120,49.3,52.7,92.2,"95,196",34,NA,NA
,"7,000-8,000'",135,136,-,-,98.4,-,4,NA,NA
,"8,000-9,000'",153,151,-,-,99.4,-,1,NA,NA
,"9,000-10,000'",87,78,-,-,99.9,-,0,NA,NA
,"10,000-11,000'",223,199,-,-,99.6,-,1,NA,NA
,"11,000-12,000'",244,207,-,-,99.8,-,1,NA,NA
,"12,000-13,000'",204,179,-,-,99.9,-,0,NA,NA
,">13,000'",230,186,-,-,99.8,-,0,NA,NA
12. Upper Columbia,"3,000-4,000'",104,66,0.4,0.1,0.8,"13,734","2,568",NA,NA
,"4,000-5,000'",159,141,5.1,2.5,16,"197,233","1,451",5.0 ( 4 ),1.2 ( 4 )
,"5,000-6,000'",125,117,14.9,10.6,49.9,"434,773",767,13.8 ( 2 ),10.6 ( 2 )
,"6,000-7,000'",103,102,22.7,22.2,76.5,"671,634",566,NA,NA
,"7,000-8,000'",109,108,28.6,32.3,89.8,"251,512",146,NA,NA
,"8,000-9,000'",121,115,31.6,38.6,92.2,"6,953",3,NA,NA
13. Upper Cowlitz,"3,000-4,000'",26,31,0.3,0.4,1.5,"6,492",282,33.5 ( 1 ),29.7 ( 1 )
,"4,000-5,000'",46,64,3,5.2,14.1,"82,590",300,46.6 ( 3 ),43.2 ( 3 )
,"5,000-6,000'",91,102,17.3,26.1,53.1,"151,442",109,NA,NA
,"6,000-7,000'",129,130,53.7,-,94.2,-,19,NA,NA
,"7,000-8,000'",140,143,-,-,94.1,-,3,NA,NA
,"8,000-9,000'",166,165,-,-,100,-,0,NA,NA
,"9,000-10,000'",97,87,-,-,100,-,0,NA,NA
,"10,000-11,000'",25,20,-,-,98.3,-,0,NA,NA
14. Upper Deschutes-Crooked,"4,000-5,000'",166,125,0.7,0.4,2.7,"90,135","3,836",16.7 ( 1 ),11.0 ( 1 )
,"5,000-6,000'",161,142,8.1,7,32.1,"550,138","1,479",26.3 ( 5 ),22.1 ( 5 )
,"6,000-7,000'",143,132,28.9,29.5,81,"394,150",250,NA,NA
