,,5/11/2025,5/17/2025,5/11/2025,5/17/2025,5/17/2025,5/17/2025,5/17/2025,5/11/2025,5/17/2025
Basin,Elevation Band,%5/11 Avg.,%5/17 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,"5,000-6,000'",0,144,0,0,0,17,"1,145",NA,NA
,"6,000-7,000'",12,89,0,0,1.8,"3,842","2,441",0.1 ( 3 ),0.0 ( 3 )
,"7,000-8,000'",26,54,0.2,0.4,12.9,"35,150","1,791",2.1 ( 6 ),0.7 ( 6 )
,"8,000-9,000'",49,55,3.2,2.8,52.3,"87,912",585,10.3 ( 7 ),8.3 ( 7 )
,"9,000-10,000'",59,61,6.3,5.3,60.4,"40,404",142,0.0 ( 2 ),0.1 ( 2 )
,"10,000-11,000'",48,47,7.2,5.5,76.1,"17,633",60,NA,NA
,"11,000-12,000'",47,45,8.5,6.2,76.8,"5,230",16,NA,NA
,"12,000-13,000'",51,51,8.3,7.2,82.8,298,1,NA,NA
2. Beaver,"6,000-7,000'",NA,NA,0,0,0,0,481,NA,NA
,"7,000-8,000'",0,0,0,0,0,0,181,NA,NA
,"8,000-9,000'",6,14,0,0.1,4.3,228,77,0.0 ( 1 ),0.0 ( 1 )
,"9,000-10,000'",33,28,0.8,0.5,26,"1,867",66,NA,NA
,"10,000-11,000'",42,31,3.1,2,61.5,"2,705",25,13.6 ( 1 ),12.0 ( 1 )
,"11,000-12,000'",41,35,5.9,3.9,84.8,986,5,NA,NA
3. Blue§,"7,000-8,000'",0,0,0,0,0,0,32,NA,NA
,"8,000-9,000'",16,118,0,0.1,4.7,733,100,NA,NA
,"9,000-10,000'",24,121,0.3,1,29.4,"7,794",144,0.0 ( 1 ),0.1 ( 1 )
,"10,000-11,000'",42,56,4.1,3.4,42.6,"28,183",158,13.4 ( 2 ),10.1 ( 2 )
,"11,000-12,000'",45,58,8.3,8.7,76.8,"77,080",166,16.9 ( 2 ),16.0 ( 2 )
,"12,000-13,000'",51,60,9.6,9.4,90.8,"32,742",65,NA,NA
,">13,000'",54,59,10,8.6,91.8,"2,707",6,NA,NA
4. Canadian,"8,000-9,000'",>300†,NA,0,0,0,0,735,NA,NA
,"9,000-10,000'",26,9,0,0,0,2,365,0.1 ( 1 ),0.0 ( 1 )
,"10,000-11,000'",34,34,0.3,0,2.2,345,132,2.6 ( 2 ),0.2 ( 2 )
,"11,000-12,000'",57,59,2.6,1.3,41.6,"2,083",30,NA,NA
,"12,000-13,000'",58,50,5.4,3.7,98.4,501,3,NA,NA
5. Colorado Headwaters§,"5,000-6,000'",NA,NA,0,0,0,0,1,NA,NA
,"6,000-7,000'",NA,NA,0,0,0,0,84,NA,NA
,"7,000-8,000'",0,37,0,0,0,12,431,NA,NA
,"8,000-9,000'",10,146,0,0.3,10.2,"13,789",836,0.1 ( 2 ),0.1 ( 2 )
,"9,000-10,000'",33,73,0.8,1.3,32.6,"58,543",819,4.0 ( 4 ),2.8 ( 4 )
,"10,000-11,000'",49,53,5.7,4.9,57.4,"120,292",465,13.5 ( 5 ),11.3 ( 5 )
,"11,000-12,000'",48,57,11.8,11.3,84.1,"126,143",209,20.0 ( 2 ),18.2 ( 2 )
,">12,000'",52,59,11.2,10.2,91.6,"16,381",30,NA,NA
6. Colorado Headwaters-Plateau,"7,000-8,000'",4,6,0,0,0,11,693,NA,NA
,"8,000-9,000'",17,26,0.1,0,1.8,"1,566",644,NA,NA
,"9,000-10,000'",28,20,1.1,0.5,11.8,"7,315",277,NA,NA
,"10,000-11,000'",45,39,4.9,3.4,52.3,"33,310",183,1.9 ( 1 ),0.2 ( 1 )
,"11,000-12,000'",49,59,10.5,11.2,96.5,"3,059",5,NA,NA
7. Eagle,"7,000-8,000'",21,75,0,0,0.1,24,155,NA,NA
,"8,000-9,000'",19,41,0,0.1,2.7,816,181,0.0 ( 1 ),0.0 ( 1 )
,"9,000-10,000'",26,44,0.5,0.5,11.4,"5,279",199,0.0 ( 1 ),0.0 ( 1 )
,"10,000-11,000'",39,45,2.7,2.1,32.9,"24,379",219,0.2 ( 1 ),0.1 ( 1 )
,"11,000-12,000'",44,55,7.2,7.3,74.5,"51,626",132,NA,NA
