, ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025
Basin,Elevation Band,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
,"5,000-6,000'",103,82,7.3,7.1,31.5,"155,190",412,20.5 ( 3 ),21.5 ( 3 ),10.7 ( 1 )
,"6,000-7,000'",118,98,10.7,12.7,46.3,"32,293",48,NA,NA,NA
,"7,000-8,000'",125,144,13.4,26.8,92.4,689,0,NA,NA,NA
35. St. Mary,"4,000-5,000'",98,50,3.8,2.4,26.1,"21,421",166,7.6 ( 1 ),8.2 ( 1 ),NA
,"5,000-6,000'",97,71,7.6,6.6,53.7,"73,423",207,NA,NA,NA
,"6,000-7,000'",95,69,11.6,10,56.3,"81,430",153,NA,NA,NA
,"7,000-8,000'",93,84,13.1,13.3,68.7,"72,004",101,NA,NA,NA
,">8,000'",97,81,13.2,11.5,56,"12,627",21,NA,NA,NA
36. Truckee,"5,000-6,000'",111,42,0.9,0.1,1.2,"3,771",669,NA,NA,NA
,"6,000-7,000'",106,89,7.4,4.5,27.9,"114,919",479,14.5 ( 5 ),13.5 ( 5 ),NA
,"7,000-8,000'",107,97,16.3,14.6,63,"152,887",196,11.2 ( 1 ),18.7 ( 1 ),NA
,"8,000-9,000'",106,100,22.3,23.4,86.3,"74,318",60,28.9 ( 3 ),31.0 ( 3 ),NA
,"9,000-10,000'",107,101,26.4,27.4,89.7,"21,851",15,NA,NA,34.4 ( 1 )
,"10,000-11,000'",100,93,26.4,23.5,84.6,"1,209",1,NA,NA,NA
37. Umatilla-Walla Walla-Willow,"3,000-4,000'",72,44,0.3,0.1,0.8,"2,676",890,0.5 ( 1 ),0.3 ( 1 ),NA
,"4,000-5,000'",103,101,3.4,2.1,19.7,"53,403",471,19.3 ( 2 ),19.9 ( 2 ),NA
,"5,000-6,000'",99,101,10,9.6,53.2,"36,870",72,20.7 ( 4 ),21.7 ( 4 ),NA
38. Upper Humboldt,"5,000-6,000'",91,77,0.4,0,0.5,"2,469","2,395",NA,NA,0.0 ( 1 )
,"6,000-7,000'",141,83,3.2,0.6,7.6,"57,148","1,939",5.3 ( 1 ),0.0 ( 1 ),1.0 ( 3 )
,"7,000-8,000'",133,116,10.7,5.6,47.7,"129,874",437,8.9 ( 2 ),6.6 ( 2 ),7.9 ( 2 )
,"8,000-9,000'",124,116,17.6,14.1,79.3,"116,430",155,17.3 ( 4 ),17.5 ( 4 ),33.2 ( 1 )
,"9,000-10,000'",118,113,20.6,18,80.4,"82,956",87,32.9 ( 1 ),35.3 ( 1 ),NA
,">10,000'",114,110,19.9,17,73,"18,844",21,NA,NA,NA
39. Walker,"6,000-7,000'",216,27,0.4,0,0.5,578,673,NA,NA,NA
,"7,000-8,000'",166,54,2.6,0.5,6.2,"16,680",616,6.0 ( 1 ),4.7 ( 1 ),NA
,"8,000-9,000'",136,90,7.8,4,29.2,"81,649",381,16.8 ( 2 ),17.1 ( 2 ),NA
,"9,000-10,000'",112,103,18.2,15.1,65.7,"145,589",180,22.3 ( 4 ),23.0 ( 4 ),NA
,"10,000-11,000'",105,100,22.6,20.3,74,"84,829",78,NA,NA,NA
,">11,000'",108,103,19.5,16,69.5,"9,480",11,NA,NA,NA
40. West Central Basins,"4,000-5,000'",144,183,5.1,3.4,39,"278,328","1,513",6.0 ( 3 ),3.7 ( 2 ),6.6 ( 1 )
,"5,000-6,000'",118,140,11.1,9.6,68.7,"868,425","1,692",20.3 ( 2 ),22.1 ( 2 ),18.8 ( 5 )
,"6,000-7,000'",105,119,16.5,16.5,77.6,"1,122,594","1,272",31.9 ( 6 ),34.3 ( 7 ),15.0 ( 2 )
,"7,000-8,000'",102,117,21.3,22.4,80.2,"962,646",806,30.7 ( 3 ),35.1 ( 3 ),NA
,"8,000-9,000'",95,112,23.5,24.9,79.8,"389,478",294,NA,NA,NA
,">9,000'",97,111,24,26.5,80.2,"59,979",42,NA,NA,NA
