,,3/31/2025,4/6/2025,3/31/2025,4/6/2025,4/6/2025,4/6/2025,4/6/2025,3/31/2025,4/6/2025
Basin,Elevation Band,%3/31 Avg.,%4/6 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
,"7,000-8,000'",84,81,13.3,15.8,78.9,"85,234",101,NA,NA
,">8,000'",81,74,11.5,13.7,63.6,"15,048",21,NA,NA
36. Truckee,"5,000-6,000'",42,136,0.1,0.8,7.1,"27,894",670,NA,NA
,"6,000-7,000'",89,124,4.5,8.3,51.8,"211,282",479,13.5 ( 5 ),15.3 ( 5 )
,"7,000-8,000'",97,121,14.6,18.2,84.2,"190,244",196,18.7 ( 1 ),13.2 ( 1 )
,"8,000-9,000'",100,110,23.4,23,89.2,"73,053",60,31.0 ( 3 ),34.1 ( 3 )
,"9,000-10,000'",101,108,27.4,24.5,85,"19,521",15,NA,NA
,"10,000-11,000'",93,109,23.5,27,92,"1,391",1,NA,NA
37. Umatilla-Walla Walla-Willow,"3,000-4,000'",44,27,0.1,0,0.3,"1,247",890,0.3 ( 1 ),0.3 ( 1 )
,"4,000-5,000'",101,114,2.1,2.3,18.4,"56,569",471,19.9 ( 2 ),19.7 ( 2 )
,"5,000-6,000'",101,118,9.6,11.6,62.1,"44,677",72,21.7 ( 4 ),22.0 ( 4 )
38. Upper Humboldt,"5,000-6,000'",77,160,0,0,0.3,"1,697","2,395",NA,NA
,"6,000-7,000'",83,162,0.6,0.8,9.6,"80,519","1,938",0.0 ( 1 ),0.4 ( 1 )
,"7,000-8,000'",116,149,5.6,8.1,65.7,"188,821",437,6.6 ( 2 ),7.0 ( 2 )
,"8,000-9,000'",116,128,14.1,17.3,94,"142,426",155,17.5 ( 4 ),18.6 ( 4 )
,"9,000-10,000'",113,120,18,22.2,96.4,"102,465",87,35.3 ( 1 ),36.3 ( 1 )
,">10,000'",110,114,17,22.7,94.3,"25,175",21,NA,NA
39. Walker,"6,000-7,000'",27,110,0,0.1,3.9,"4,863",673,NA,NA
,"7,000-8,000'",54,108,0.5,1.6,24.8,"52,146",615,4.7 ( 1 ),3.3 ( 1 )
,"8,000-9,000'",90,116,4,6.2,53.1,"125,344",381,17.1 ( 2 ),18.6 ( 2 )
,"9,000-10,000'",103,111,15.1,16.9,83.9,"162,387",180,23.0 ( 4 ),24.7 ( 4 )
,"10,000-11,000'",100,106,20.3,22,86.5,"92,037",79,NA,NA
,">11,000'",103,112,16,19.8,83.7,"11,703",11,NA,NA
40. West Central Basins,"4,000-5,000'",183,243,3.4,3.5,33.7,"282,089","1,514",3.7 ( 2 ),3.1 ( 3 )
,"5,000-6,000'",140,173,9.6,11.3,74.6,"1,019,899","1,688",22.1 ( 2 ),21.6 ( 2 )
,"6,000-7,000'",119,129,16.5,19.5,87.7,"1,321,058","1,272",34.3 ( 7 ),35.0 ( 7 )
,"7,000-8,000'",117,122,22.4,26.3,92,"1,129,963",806,35.1 ( 3 ),35.9 ( 3 )
,"8,000-9,000'",112,115,24.9,29,91.7,"455,044",294,NA,NA
,">9,000'",111,113,26.5,30.8,91.7,"69,803",42,NA,NA
