,,2/1/2025,2/16/2025,2/1/2025,2/16/2025,2/16/2025,2/16/2025,2/16/2025,2/1/2025,2/16/2025
Basins,Elevation Band,% 2/1 Avg.,% 2/16 Avg.,SWE (in),SWE (in),% SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,"4,000",113,143,4.4,8.8,87.7,"31,011",66.41,NA,NA
,"5,000",140,153,10.1,14.1,98.1,"30,778",41.02,NA,NA
,"6,000",157,168,16.1,20.8,99.2,"2,030",1.83,NA,NA
22. Lower Yakima,"3,000",169,246,4.7,9.4,80.5,"157,693",315.35,NA,NA
,"4,000",123,136,8.7,11.6,81.5,"77,803",125.68,NA,NA
,"5,000",118,129,11.9,15.4,89.1,"32,383",39.38,16.1 ( 2 ),17.5 ( 2 )
,"6,000",127,135,16.5,20.3,94.3,"9,594",8.88,NA,NA
23. Malheur,"5,000",114,141,6.6,9.6,83.5,"440,014",862.84,11.1 ( 3 ),14.6 ( 3 )
,"6,000",112,125,10.4,12.9,79.8,"71,188",103.09,NA,NA
,"7,000",123,139,15.7,19.8,95.4,"27,472",26.06,NA,NA
,"8,000",118,133,17.6,22.6,99.8,466,0.39,NA,NA
24. Middle Humboldt,"6,000",40,83,0.7,2.7,35.8,"68,522",474.91,NA,NA
,"7,000",83,114,3.7,7.2,75,"55,326",144.5,NA,NA
,"8,000",94,119,6.4,9.6,86,"6,754",13.13,NA,NA
,"9,000",90,116,6.6,9.8,92.2,302,0.58,NA,NA
25. Northern Big Smoky Valley,"7,000",44,80,1,3,38.6,"50,688",312.07,NA,NA
,"8,000",56,89,2.2,5.1,57.4,"42,990",157.82,NA,NA
,"9,000",64,92,3.4,7.3,75.5,"27,825",71.14,NA,NA
,"10,000",71,92,4.6,8.6,81.9,"11,752",25.68,NA,NA
,"11,000",68,99,5,9.5,95.1,"1,518",2.99,NA,NA
26. Northern Great Basin,"6,000",35,94,0.9,4.2,45.7,"433,036",1932.15,3.4 ( 1 ),4.3 ( 1 )
,"7,000",84,113,4.5,9,79.1,"121,010",253.09,5.8 ( 1 ),8.6 ( 1 )
,"8,000",96,121,8.9,13.5,92.3,"29,649",41.12,NA,NA
,"9,000",111,136,11.8,16.3,97.5,503,0.58,NA,NA
27. Panhandle Basins,"3,000",85,170,1.1,3.7,34,"138,905",701.35,3.9 ( 1 ),4.9 ( 1 )
,"4,000",100,171,2.3,6.9,51,"187,675",507.63,NA,NA
,"5,000",130,170,7.2,13.6,71.7,"249,297",344.5,26.7 ( 2 ),29.1 ( 2 )
,"6,000",145,176,13.4,19.4,87.5,"90,460",87.55,NA,NA
,"7,000",122,152,12.4,18.4,85.4,"2,272",2.32,NA,NA
28. Reese,"7,000",40,74,1.2,3.3,40,"49,627",282.34,8.6 ( 1 ),10.6 ( 1 )
,"8,000",68,109,2.6,7.4,74.8,"59,248",150.48,7.1 ( 1 ),8.2 ( 1 )
,"9,000",87,123,4.8,10.3,91.7,"25,919",47.01,NA,NA
,">10,000",81,112,5.4,10.7,94.5,"6,409",11.2,NA,NA
29. Rock,"5,000",6,27,0,0.8,9.3,"25,934",590.83,NA,NA
,"6,000",69,113,1.9,6.1,67.1,"68,761",211.58,NA,NA
,"7,000",95,119,6.7,10.6,93.9,"16,355",29.05,8.4 ( 1 ),12.1 ( 1 )
,"8,000",107,127,11.1,15.4,98.6,"2,692",3.28,NA,NA
30. Salmon Basin,"5,000",91,119,4.1,6.3,69,"692,411",2057.35,12.0 ( 1 ),16.3 ( 1 )
